dataset,scenario,operatorset,avg_duration_secs,std_duration_secs
airQuality,MAX,FM,265.7746,70.66836972295313
airQuality,MAX,FMA,398.02439999999996,62.25123552428496
airQuality,MAX,FO,122.0556,3.0502463507067783
airQuality,Q99,FM,323.94320000000005,107.5092310208756
airQuality,Q99,FMA,227.80059999999997,2.5794491272362756
airQuality,Q99,FO,123.52260000000001,3.558676481502638
geoLife,MAX,FM,166.7836,3.87253454471357
geoLife,MAX,FMA,162.163,11.069980916876059
geoLife,MAX,FO,130.66519999999997,4.4993033571876415
geoLife,Q99,FM,155.0786,5.7414215835453195
geoLife,Q99,FMA,159.6642,12.340526354252482
geoLife,Q99,FO,124.22080000000001,1.5701779198549477
