problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→performance-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→performance-similarity;100]→quality→privacy";"all→percentile[quality→performance-similarity;100]→quality→performance-similarity";"all→percentile[quality→performance-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→performance-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→performance-similarity;75]→quality→privacy";"all→percentile[quality→performance-similarity;75]→quality→performance-similarity";"all→percentile[quality→performance-similarity;75]→solution"
datasets/airQuality_parallel.csv;nsga2;1;1;100;100;1.07590e+01;100;6;1;9.40000e-01;9.40000e-01;3.70000e-01;7.41505e-01;9.09321e-01;Pipeline { map_noise(attribute=CO(GT), percentage=0.01) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.25) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=RH, percentage=0.25) };4.21419e-01;7.31119e-01;Pipeline { map_duplicate(probability=0.90) | filter(RH > 0.0073) | map_noise(attribute=NO2(GT), percentage=0.01) | map_noise(attribute=AH, percentage=0.05) };4.21419e-01;7.31119e-01;Pipeline { map_duplicate(probability=0.90) | filter(RH > 0.0073) | map_noise(attribute=NO2(GT), percentage=0.01) | map_noise(attribute=AH, percentage=0.05) }
datasets/airQuality_parallel.csv;nsga2;1;2;200;200;1.56010e+01;100;2;2;9.40000e-01;9.40000e-01;7.70000e-01;7.51274e-01;9.98851e-01;Pipeline { map_noise(attribute=NMHC(GT), percentage=0.10) | map_noise(attribute=NO2(GT), percentage=0.05) };7.40254e-01;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.01) };7.40254e-01;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.01) };7.39254e-01;9.49204e-01;Pipeline { filter(PT08.S1(CO) < 8150000000.0000) }
datasets/airQuality_parallel.csv;nsga2;1;3;300;300;1.98580e+01;100;1;4;1.00000e+00;1.00000e+00;4.80000e-01;7.60868e-01;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.25) };7.38739e-01;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.10) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.10) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=NMHC(GT), percentage=0.10) | map_noise(attribute=RH, percentage=0.05) }
datasets/airQuality_parallel.csv;nsga2;1;4;400;400;2.34350e+01;100;1;5;1.00000e+00;1.00000e+00;4.30000e-01;7.60868e-01;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.25) };7.38739e-01;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.10) };7.42361e-01;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.10) | map_noise(attribute=NO2(GT), percentage=0.05) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=T, percentage=0.10) }
datasets/airQuality_parallel.csv;nsga2;1;5;500;500;2.82160e+01;100;2;80;1.00000e+00;1.00000e+00;2.50000e-01;7.69933e-01;7.17929e-01;Pipeline { map_noise(attribute=NMHC(GT), percentage=0.05) | map_noise(attribute=CO(GT), percentage=0.25) | filter(AH > 0.0041) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.10) | map_noise(attribute=PT08.S5(O3), percentage=0.01) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.10) | map_noise(attribute=PT08.S5(O3), percentage=0.01) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.01) | map_noise(attribute=PT08.S3(NOx), percentage=0.25) }
datasets/airQuality_parallel.csv;nsga2;1;6;600;600;3.21560e+01;100;5;61;1.00000e+00;1.00000e+00;4.10000e-01;7.69933e-01;7.17929e-01;Pipeline { map_noise(attribute=NMHC(GT), percentage=0.05) | map_noise(attribute=CO(GT), percentage=0.25) | filter(AH > 0.0041) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=NMHC(GT), percentage=0.10) | map_noise(attribute=RH, percentage=0.25) };7.46151e-01;9.69597e-01;Pipeline { map_noise(attribute=AH, percentage=0.10) | map_noise(attribute=CO(GT), percentage=0.01) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=NMHC(GT), percentage=0.25) | map_noise(attribute=RH, percentage=0.25) }
datasets/airQuality_parallel.csv;nsga2;1;7;700;700;3.65480e+01;100;5;52;1.00000e+00;1.00000e+00;5.20000e-01;7.69933e-01;7.17929e-01;Pipeline { map_noise(attribute=NMHC(GT), percentage=0.05) | map_noise(attribute=CO(GT), percentage=0.25) | filter(AH > 0.0041) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.01) | map_noise(attribute=PT08.S3(NOx), percentage=0.05) };7.51090e-01;9.49204e-01;Pipeline { map_noise(attribute=PT08.S5(O3), percentage=0.10) | map_noise(attribute=NMHC(GT), percentage=0.25) | filter(RH < 281.0000) | map_noise(attribute=NO2(GT), percentage=0.01) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.25) | map_noise(attribute=RH, percentage=0.05) }
datasets/airQuality_parallel.csv;nsga2;1;8;800;800;4.10260e+01;100;4;45;1.00000e+00;1.00000e+00;5.80000e-01;7.69933e-01;7.17929e-01;Pipeline { map_noise(attribute=NMHC(GT), percentage=0.05) | map_noise(attribute=CO(GT), percentage=0.25) | filter(AH > 0.0041) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=NMHC(GT), percentage=0.05) | map_noise(attribute=AH, percentage=0.25) };7.55888e-01;9.49204e-01;Pipeline { map_noise(attribute=AH, percentage=0.10) | map_noise(attribute=AH, percentage=0.25) | filter(AH > 0.0041) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=T, percentage=0.25) }
datasets/airQuality_parallel.csv;nsga2;1;9;900;900;4.49910e+01;100;4;24;1.00000e+00;1.00000e+00;7.90000e-01;7.69933e-01;7.17929e-01;Pipeline { map_noise(attribute=NMHC(GT), percentage=0.05) | map_noise(attribute=CO(GT), percentage=0.25) | filter(AH > 0.0041) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.01) | map_noise(attribute=PT08.S3(NOx), percentage=0.05) };7.56319e-01;9.27110e-01;Pipeline { map_noise(attribute=PT08.S5(O3), percentage=0.10) | map_noise(attribute=NMHC(GT), percentage=0.25) | filter(RH < 281.0000) | map_noise(attribute=CO(GT), percentage=0.01) };7.41750e-01;1.00000e+00;Pipeline { map_noise(attribute=NO2(GT), percentage=0.01) }
datasets/airQuality_parallel.csv;nsga2;1;10;1000;1000;4.94300e+01;100;2;17;1.00000e+00;1.00000e+00;8.60000e-01;7.72444e-01;9.49309e-01;Pipeline { map_noise(attribute=NO2(GT), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.25) | filter(C6H6(GT) > 0.0229) | map_noise(attribute=PT08.S3(NOx), percentage=0.05) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.25) | map_noise(attribute=RH, percentage=0.10) };7.57745e-01;9.49204e-01;Pipeline { map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=NMHC(GT), percentage=0.25) | filter(AH > 0.0040) };7.43491e-01;1.00000e+00;Pipeline { map_noise(attribute=NO2(GT), percentage=0.05) }
