problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→performance-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→performance-similarity;100]→quality→privacy";"all→percentile[quality→performance-similarity;100]→quality→performance-similarity";"all→percentile[quality→performance-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→performance-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→performance-similarity;75]→quality→privacy";"all→percentile[quality→performance-similarity;75]→quality→performance-similarity";"all→percentile[quality→performance-similarity;75]→solution"
datasets/airQuality_parallel.csv;nsga2;1;1;100;100;1.17370e+01;100;10;60;9.80000e-01;9.80000e-01;3.30000e-01;7.84668e-01;9.49204e-01;Pipeline { map_noise(attribute=PT08.S1(CO), percentage=0.05) | map_aggregate(attribute=C6H6(GT), function=avg, window=10) | filter(PT08.S2(NMHC) > 0.0000) | map_aggregate(attribute=PT08.S4(NO2), function=max, window=3) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S4(NO2), percentage=0.05) };4.91049e-01;8.26459e-01;Pipeline { map_duplicate(probability=0.50) };5.51823e-01;7.82569e-01;Pipeline { map_duplicate(probability=0.30) | map_duplicate(probability=0.40) | filter(NOx(GT) > 0.5210) | map_aggregate(attribute=NOx(GT), function=avg, window=5) | filter(AH > 0.0000) }
datasets/airQuality_parallel.csv;nsga2;1;2;200;200;1.86070e+01;100;31;2;9.80000e-01;9.70000e-01;7.10000e-01;7.87882e-01;9.49204e-01;Pipeline { map_noise(attribute=PT08.S1(CO), percentage=0.05) | map_aggregate(attribute=C6H6(GT), function=avg, window=10) | filter(PT08.S2(NMHC) > 0.0000) | map_aggregate(attribute=NMHC(GT), function=max, window=3) };6.80518e-01;1.00000e+00;Pipeline { map_noise(attribute=NO2(GT), percentage=0.10) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=NMHC(GT), percentage=0.01) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) }
datasets/airQuality_parallel.csv;nsga2;1;3;300;300;2.34100e+01;100;3;1;1.00000e+00;1.00000e+00;3.40000e-01;7.95433e-01;7.97486e-01;Pipeline { map_aggregate(attribute=NO2(GT), function=min, window=7) };7.20776e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S3(NOx), function=max, window=8) };7.45192e-01;9.75424e-01;Pipeline { map_aggregate(attribute=NO2(GT), function=max, window=5) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) }
datasets/airQuality_parallel.csv;nsga2;1;4;400;400;2.73740e+01;100;4;76;1.00000e+00;1.00000e+00;2.70000e-01;8.00138e-01;6.72845e-01;Pipeline { map_aggregate(attribute=CO(GT), function=avg, window=5) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S5(O3), percentage=0.01) };7.45243e-01;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.05) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=RH, function=max, window=6) }
datasets/airQuality_parallel.csv;nsga2;1;5;500;500;3.14010e+01;100;7;71;1.00000e+00;1.00000e+00;3.10000e-01;8.05377e-01;6.54266e-01;Pipeline { map_aggregate(attribute=CO(GT), function=avg, window=9) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S1(CO), percentage=0.10) };7.56866e-01;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=5) | map_noise(attribute=T, percentage=0.25) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=NMHC(GT), function=max, window=3) }
datasets/airQuality_parallel.csv;nsga2;1;6;600;600;3.53210e+01;100;5;57;1.00000e+00;1.00000e+00;4.00000e-01;8.16501e-01;6.65588e-01;Pipeline { map_aggregate(attribute=CO(GT), function=avg, window=6) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=RH, function=min, window=5) };7.80475e-01;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=avg, window=7) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S1(CO), percentage=0.05) | map_aggregate(attribute=C6H6(GT), function=avg, window=10) | map_noise(attribute=PT08.S1(CO), percentage=0.10) | map_noise(attribute=PT08.S4(NO2), percentage=0.05) }
datasets/airQuality_parallel.csv;nsga2;1;7;700;700;3.92720e+01;100;5;54;1.00000e+00;1.00000e+00;4.60000e-01;8.16501e-01;6.65588e-01;Pipeline { map_aggregate(attribute=CO(GT), function=avg, window=6) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=AH, function=avg, window=10) };7.88682e-01;9.49204e-01;Pipeline { map_noise(attribute=PT08.S1(CO), percentage=0.05) | map_aggregate(attribute=C6H6(GT), function=avg, window=10) | filter(PT08.S2(NMHC) > 0.0000) | map_aggregate(attribute=T, function=max, window=3) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S4(NO2), function=max, window=7) }
datasets/airQuality_parallel.csv;nsga2;1;8;800;800;4.31520e+01;100;5;49;1.00000e+00;1.00000e+00;4.70000e-01;8.16501e-01;6.65588e-01;Pipeline { map_aggregate(attribute=CO(GT), function=avg, window=6) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=NMHC(GT), function=min, window=9) | map_aggregate(attribute=PT08.S3(NOx), function=min, window=8) };7.90272e-01;9.49204e-01;Pipeline { map_noise(attribute=RH, percentage=0.05) | map_aggregate(attribute=C6H6(GT), function=avg, window=10) | filter(PT08.S2(NMHC) > 0.0080) | map_aggregate(attribute=T, function=max, window=3) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S4(NO2), percentage=0.10) }
datasets/airQuality_parallel.csv;nsga2;1;9;900;900;4.73140e+01;100;5;40;1.00000e+00;1.00000e+00;5.10000e-01;8.16501e-01;6.65588e-01;Pipeline { map_aggregate(attribute=CO(GT), function=avg, window=6) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=T, function=avg, window=4) | map_noise(attribute=T, percentage=0.01) };7.90433e-01;9.49204e-01;Pipeline { map_noise(attribute=PT08.S1(CO), percentage=0.05) | map_aggregate(attribute=NOx(GT), function=min, window=10) | filter(PT08.S2(NMHC) > 0.0000) | map_aggregate(attribute=T, function=max, window=10) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=T, function=avg, window=6) }
datasets/airQuality_parallel.csv;nsga2;1;10;1000;1000;5.14260e+01;100;5;31;1.00000e+00;1.00000e+00;5.20000e-01;8.16501e-01;6.65588e-01;Pipeline { map_aggregate(attribute=CO(GT), function=avg, window=6) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S1(CO), function=min, window=10) };7.92630e-01;9.49204e-01;Pipeline { map_noise(attribute=RH, percentage=0.05) | map_aggregate(attribute=C6H6(GT), function=avg, window=4) | filter(PT08.S2(NMHC) > 0.0000) | map_aggregate(attribute=T, function=max, window=10) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=T, percentage=0.05) }
