problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→performance-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→performance-similarity;100]→quality→privacy";"all→percentile[quality→performance-similarity;100]→quality→performance-similarity";"all→percentile[quality→performance-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→performance-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→performance-similarity;75]→quality→privacy";"all→percentile[quality→performance-similarity;75]→quality→performance-similarity";"all→percentile[quality→performance-similarity;75]→solution"
datasets/airQuality_parallel.csv;nsga2;1;1;100;100;1.17810e+01;100;2;1;9.40000e-01;9.40000e-01;4.20000e-01;8.74121e-01;7.07282e-01;Pipeline { map_noise(attribute=AH, percentage=0.10) | map_noise(attribute=CO(GT), percentage=0.25) };8.56001e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.25) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=RH, percentage=0.25) };4.78708e-01;7.28372e-01;Pipeline { map_duplicate(probability=0.90) | filter(RH > 0.0073) | map_noise(attribute=NO2(GT), percentage=0.01) | map_noise(attribute=AH, percentage=0.05) };4.56082e-01;7.08730e-01;Pipeline { map_duplicate(probability=0.90) }
datasets/airQuality_parallel.csv;nsga2;1;2;200;200;1.76180e+01;100;2;1;9.40000e-01;9.40000e-01;9.10000e-01;8.74121e-01;7.07282e-01;Pipeline { map_noise(attribute=AH, percentage=0.10) | map_noise(attribute=CO(GT), percentage=0.25) };8.56001e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.25) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=RH, percentage=0.25) };8.58702e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.25) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=AH, percentage=0.25) };8.67836e-01;9.53894e-01;Pipeline { map_noise(attribute=CO(GT), percentage=0.01) }
datasets/airQuality_parallel.csv;nsga2;1;3;300;300;2.25350e+01;100;1;1;9.90000e-01;9.90000e-01;8.80000e-01;8.75428e-01;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.01) | map_noise(attribute=PT08.S1(CO), percentage=0.10) };8.56001e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.25) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=RH, percentage=0.25) };8.70591e-01;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.10) | map_noise(attribute=NMHC(GT), percentage=0.25) };8.68938e-01;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.05) }
datasets/airQuality_parallel.csv;nsga2;1;4;400;400;2.74910e+01;100;1;1;1.00000e+00;1.00000e+00;9.90000e-01;8.75428e-01;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.01) | map_noise(attribute=PT08.S1(CO), percentage=0.10) };8.67777e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S4(NO2), percentage=0.01) };8.73160e-01;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.10) | map_noise(attribute=NOx(GT), percentage=0.25) };8.69394e-01;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.10) | map_noise(attribute=AH, percentage=0.01) }
datasets/airQuality_parallel.csv;nsga2;1;5;500;500;3.18140e+01;100;1;4;1.00000e+00;1.00000e+00;9.80000e-01;8.75428e-01;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.01) | map_noise(attribute=PT08.S1(CO), percentage=0.10) };8.70800e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S4(NO2), percentage=0.01) | map_noise(attribute=RH, percentage=0.10) };8.73885e-01;9.77748e-01;Pipeline { map_noise(attribute=NO2(GT), percentage=0.05) | map_noise(attribute=NO2(GT), percentage=0.05) | map_noise(attribute=PT08.S1(CO), percentage=0.10) };8.72015e-01;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.10) | map_noise(attribute=PT08.S3(NOx), percentage=0.10) }
datasets/airQuality_parallel.csv;nsga2;1;6;600;600;3.69760e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;8.76475e-01;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.05) | map_noise(attribute=PT08.S2(NMHC), percentage=0.10) | map_noise(attribute=PT08.S1(CO), percentage=0.10) };8.72040e-01;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.25) | map_noise(attribute=PT08.S5(O3), percentage=0.01) };8.74239e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S2(NMHC), percentage=0.10) | map_noise(attribute=NOx(GT), percentage=0.25) };8.72901e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S2(NMHC), percentage=0.10) | map_noise(attribute=PT08.S1(CO), percentage=0.05) }
datasets/airQuality_parallel.csv;nsga2;1;7;700;700;4.15550e+01;100;2;3;1.00000e+00;1.00000e+00;1.00000e+00;8.77389e-01;7.17081e-01;Pipeline { map_noise(attribute=PT08.S1(CO), percentage=0.05) | map_noise(attribute=CO(GT), percentage=0.25) };8.72682e-01;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.01) | map_noise(attribute=T, percentage=0.05) | map_noise(attribute=PT08.S1(CO), percentage=0.10) };8.74742e-01;7.50561e-01;Pipeline { map_noise(attribute=PT08.S1(CO), percentage=0.10) | map_noise(attribute=CO(GT), percentage=0.25) };8.73832e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S1(CO), percentage=0.10) }
datasets/airQuality_parallel.csv;nsga2;1;8;800;800;4.59360e+01;100;1;1;1.00000e+00;1.00000e+00;9.80000e-01;8.78550e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S2(NMHC), percentage=0.01) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=C6H6(GT), percentage=0.25) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=PT08.S3(NOx), percentage=0.05) };8.73296e-01;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.10) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) };8.75052e-01;1.00000e+00;Pipeline { map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=NOx(GT), percentage=0.25) };8.74017e-01;1.00000e+00;Pipeline { map_noise(attribute=RH, percentage=0.10) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) }
datasets/airQuality_parallel.csv;nsga2;1;9;900;900;5.05370e+01;100;1;1;1.00000e+00;1.00000e+00;1.00000e+00;8.78550e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S2(NMHC), percentage=0.01) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=C6H6(GT), percentage=0.25) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=PT08.S3(NOx), percentage=0.05) };8.73656e-01;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.05) | map_noise(attribute=PT08.S1(CO), percentage=0.10) };8.75350e-01;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.05) | map_noise(attribute=AH, percentage=0.25) | map_noise(attribute=NOx(GT), percentage=0.01) };8.74663e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S5(O3), percentage=0.05) | map_noise(attribute=NOx(GT), percentage=0.25) }
datasets/airQuality_parallel.csv;nsga2;1;10;1000;1000;5.51830e+01;100;1;2;1.00000e+00;1.00000e+00;1.00000e+00;8.78550e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S2(NMHC), percentage=0.01) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=C6H6(GT), percentage=0.25) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=PT08.S3(NOx), percentage=0.05) };8.74239e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S2(NMHC), percentage=0.10) | map_noise(attribute=NOx(GT), percentage=0.25) };8.75804e-01;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.05) | map_noise(attribute=PT08.S5(O3), percentage=0.01) | map_noise(attribute=PT08.S1(CO), percentage=0.10) };8.75155e-01;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.10) | map_noise(attribute=AH, percentage=0.25) | map_noise(attribute=PT08.S1(CO), percentage=0.10) }
