problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→performance-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→performance-similarity;100]→quality→privacy";"all→percentile[quality→performance-similarity;100]→quality→performance-similarity";"all→percentile[quality→performance-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→performance-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→performance-similarity;75]→quality→privacy";"all→percentile[quality→performance-similarity;75]→quality→performance-similarity";"all→percentile[quality→performance-similarity;75]→solution"
datasets/airQuality_parallel.csv;nsga2;1;1;100;100;1.18950e+01;100;2;59;9.80000e-01;9.80000e-01;4.20000e-01;8.79455e-01;9.23203e-01;Pipeline { map_aggregate(attribute=NO2(GT), function=avg, window=10) };8.46251e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S1(CO), function=min, window=7) };5.41671e-01;7.95239e-01;Pipeline { map_duplicate(probability=0.60) };6.12640e-01;7.81266e-01;Pipeline { map_duplicate(probability=0.30) | map_duplicate(probability=0.40) | filter(NOx(GT) > 0.5210) | map_aggregate(attribute=NOx(GT), function=avg, window=5) | filter(AH > 0.0000) }
datasets/airQuality_parallel.csv;nsga2;1;2;200;200;2.17870e+01;100;1;2;9.80000e-01;9.80000e-01;9.50000e-01;8.81885e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S4(NO2), function=avg, window=8) };8.44283e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S1(CO), function=min, window=9) };8.63339e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S5(O3), function=max, window=3) };7.85888e-01;9.65522e-01;Pipeline { map_duplicate(probability=0.10) }
datasets/airQuality_parallel.csv;nsga2;1;3;300;300;2.66560e+01;100;1;2;1.00000e+00;1.00000e+00;9.60000e-01;8.84183e-01;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=3) };8.41904e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S1(CO), function=min, window=10) };8.72417e-01;1.00000e+00;Pipeline { map_aggregate(attribute=T, function=min, window=9) };8.67861e-01;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.01) }
datasets/airQuality_parallel.csv;nsga2;1;4;400;400;3.04360e+01;100;1;3;1.00000e+00;1.00000e+00;9.20000e-01;8.84183e-01;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=3) };8.68460e-01;1.00000e+00;Pipeline { map_aggregate(attribute=AH, function=max, window=8) };8.79169e-01;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=10) };8.70450e-01;1.00000e+00;Pipeline { map_aggregate(attribute=T, function=min, window=3) | map_noise(attribute=PT08.S5(O3), percentage=0.01) }
datasets/airQuality_parallel.csv;nsga2;1;5;500;500;3.48100e+01;100;2;2;1.00000e+00;1.00000e+00;9.20000e-01;8.84183e-01;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=3) };8.70800e-01;1.00000e+00;Pipeline { map_aggregate(attribute=T, function=avg, window=4) };8.80022e-01;1.00000e+00;Pipeline { map_aggregate(attribute=C6H6(GT), function=avg, window=7) };8.73204e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S2(NMHC), percentage=0.10) }
datasets/airQuality_parallel.csv;nsga2;1;6;600;600;3.90050e+01;100;2;1;1.00000e+00;1.00000e+00;9.30000e-01;8.84183e-01;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=3) };8.72991e-01;1.00000e+00;Pipeline { map_aggregate(attribute=AH, function=min, window=8) };8.80982e-01;1.00000e+00;Pipeline { map_aggregate(attribute=C6H6(GT), function=avg, window=4) };8.77968e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S4(NO2), function=avg, window=6) | map_noise(attribute=AH, percentage=0.25) }
datasets/airQuality_parallel.csv;nsga2;1;7;700;700;4.37760e+01;100;2;1;1.00000e+00;1.00000e+00;8.70000e-01;8.84183e-01;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=3) };8.78301e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S2(NMHC), function=avg, window=5) };8.81578e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S4(NO2), function=avg, window=6) | map_noise(attribute=PT08.S5(O3), percentage=0.05) };8.79699e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S5(O3), function=avg, window=3) }
datasets/airQuality_parallel.csv;nsga2;1;8;800;800;4.82940e+01;100;2;2;1.00000e+00;1.00000e+00;8.70000e-01;8.84183e-01;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=3) };8.79224e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S4(NO2), function=avg, window=9) | map_aggregate(attribute=RH, function=min, window=3) };8.81677e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S4(NO2), function=avg, window=6) };8.80022e-01;1.00000e+00;Pipeline { map_aggregate(attribute=C6H6(GT), function=avg, window=7) }
datasets/airQuality_parallel.csv;nsga2;1;9;900;900;5.24030e+01;100;2;1;1.00000e+00;1.00000e+00;8.90000e-01;8.84183e-01;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=3) };8.80009e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S5(O3), function=avg, window=7) };8.82027e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S4(NO2), function=avg, window=10) | map_noise(attribute=NO2(GT), percentage=0.01) };8.80862e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S5(O3), function=avg, window=4) | map_noise(attribute=NOx(GT), percentage=0.25) }
datasets/airQuality_parallel.csv;nsga2;1;10;1000;1000;5.69240e+01;100;2;1;1.00000e+00;1.00000e+00;8.30000e-01;8.84183e-01;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=3) };8.80862e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S5(O3), function=avg, window=4) | map_noise(attribute=NOx(GT), percentage=0.25) };8.82313e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S4(NO2), function=avg, window=6) | map_aggregate(attribute=NMHC(GT), function=min, window=3) };8.81412e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S4(NO2), function=avg, window=6) | map_noise(attribute=RH, percentage=0.10) }
