problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→performance-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→performance-similarity;100]→quality→privacy";"all→percentile[quality→performance-similarity;100]→quality→performance-similarity";"all→percentile[quality→performance-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→performance-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→performance-similarity;75]→quality→privacy";"all→percentile[quality→performance-similarity;75]→quality→performance-similarity";"all→percentile[quality→performance-similarity;75]→solution"
datasets/airQuality_parallel.csv;nsga2;1;1;100;100;3.71300e+00;100;3;83;1.00000e+00;1.00000e+00;1.40000e-01;8.38116e-01;9.19684e-01;Pipeline { filter(RH > 0.0000) };8.38116e-01;9.19684e-01;Pipeline { filter(RH > 0.0000) };0.00000e+00;0.00000e+00;Pipeline { filter(PT08.S3(NOx) < 96.5000) | filter(PT08.S4(NO2) > 43.3000) | filter(C6H6(GT) > 4.7100) | filter(PT08.S1(CO) < 336.0000) | filter(CO(GT) < 0.0000) | filter(RH > 0.0000) };0.00000e+00;0.00000e+00;Pipeline { filter(PT08.S3(NOx) < 96.5000) | filter(PT08.S4(NO2) > 43.3000) | filter(C6H6(GT) > 4.7100) | filter(PT08.S1(CO) < 336.0000) | filter(CO(GT) < 0.0000) | filter(RH > 0.0000) }
datasets/airQuality_parallel.csv;nsga2;1;2;200;200;6.43000e+00;100;10;63;1.00000e+00;1.00000e+00;1.90000e-01;8.38116e-01;9.19684e-01;Pipeline { filter(PT08.S5(O3) > 17.6000) };8.38116e-01;9.19684e-01;Pipeline { filter(PT08.S5(O3) > 17.6000) };8.54353e-02;1.01922e-01;Pipeline { filter(NMHC(GT) > 0.9000) };8.54353e-02;1.01922e-01;Pipeline { filter(NMHC(GT) > 0.9000) }
datasets/airQuality_parallel.csv;nsga2;1;3;300;300;8.89300e+00;100;21;29;1.00000e+00;9.90000e-01;2.40000e-01;8.38116e-01;9.19684e-01;Pipeline { filter(PT08.S3(NOx) < 24500000.0000) };8.38116e-01;9.19684e-01;Pipeline { filter(PT08.S3(NOx) < 24500000.0000) };7.11560e-01;8.78132e-01;Pipeline { filter(NOx(GT) > 0.5400) | filter(NOx(GT) < 630000.0000) };7.07174e-01;8.99054e-01;Pipeline { filter(CO(GT) < 26300000.0000) }
datasets/airQuality_parallel.csv;nsga2;1;4;400;400;1.12360e+01;100;44;11;1.00000e+00;9.70000e-01;1.80000e-01;8.38116e-01;9.19684e-01;Pipeline { filter(RH > 0.0514) };8.38116e-01;9.19684e-01;Pipeline { filter(RH > 0.0514) };8.38116e-01;9.19684e-01;Pipeline { filter(PT08.S3(NOx) < 9350000000.0000) };8.38116e-01;9.19684e-01;Pipeline { filter(PT08.S3(NOx) < 9350000000.0000) }
datasets/airQuality_parallel.csv;nsga2;1;5;500;500;1.42620e+01;100;88;2;1.00000e+00;1.00000e+00;6.00000e-02;8.38116e-01;9.19684e-01;Pipeline { filter(RH > 0.0000) };8.38116e-01;9.19684e-01;Pipeline { filter(RH > 0.0000) };8.38116e-01;9.19684e-01;Pipeline { filter(C6H6(GT) < 3600000.0000) };8.38116e-01;9.19684e-01;Pipeline { filter(C6H6(GT) < 3600000.0000) }
datasets/airQuality_parallel.csv;nsga2;1;6;600;600;1.71700e+01;100;100;100;1.00000e+00;1.00000e+00;1.00000e-02;8.38116e-01;9.19684e-01;Pipeline { filter(RH > 0.0000) };8.38116e-01;9.19684e-01;Pipeline { filter(RH > 0.0000) };8.38116e-01;9.19684e-01;Pipeline { filter(PT08.S2(NMHC) > 0.0030) | filter(C6H6(GT) > 0.0000) };8.38116e-01;9.19684e-01;Pipeline { filter(PT08.S2(NMHC) > 0.0030) | filter(C6H6(GT) > 0.0000) }
datasets/airQuality_parallel.csv;nsga2;1;7;700;700;2.02590e+01;100;100;100;1.00000e+00;1.00000e+00;1.00000e-02;8.38116e-01;9.19684e-01;Pipeline { filter(AH > 0.0001) };8.38116e-01;9.19684e-01;Pipeline { filter(AH > 0.0001) };8.38116e-01;9.19684e-01;Pipeline { filter(C6H6(GT) > 0.0006) };8.38116e-01;9.19684e-01;Pipeline { filter(C6H6(GT) > 0.0006) }
datasets/airQuality_parallel.csv;nsga2;1;8;800;800;2.31040e+01;100;100;100;1.00000e+00;1.00000e+00;1.00000e-02;8.38116e-01;9.19684e-01;Pipeline { filter(PT08.S2(NMHC) > 0.0000) | filter(C6H6(GT) > 0.0000) };8.38116e-01;9.19684e-01;Pipeline { filter(PT08.S2(NMHC) > 0.0000) | filter(C6H6(GT) > 0.0000) };8.38116e-01;9.19684e-01;Pipeline { filter(RH > 0.0012) };8.38116e-01;9.19684e-01;Pipeline { filter(RH > 0.0012) }
datasets/airQuality_parallel.csv;nsga2;1;9;900;900;2.61410e+01;100;100;100;1.00000e+00;1.00000e+00;1.00000e-02;8.38116e-01;9.19684e-01;Pipeline { filter(C6H6(GT) > 0.0000) };8.38116e-01;9.19684e-01;Pipeline { filter(C6H6(GT) > 0.0000) };8.38116e-01;9.19684e-01;Pipeline { filter(PT08.S2(NMHC) > 0.0043) };8.38116e-01;9.19684e-01;Pipeline { filter(PT08.S2(NMHC) > 0.0043) }
datasets/airQuality_parallel.csv;nsga2;1;10;1000;1000;2.90270e+01;100;100;100;1.00000e+00;9.90000e-01;1.00000e-02;8.38116e-01;9.19684e-01;Pipeline { filter(PT08.S5(O3) > 0.0053) };8.38116e-01;9.19684e-01;Pipeline { filter(PT08.S5(O3) > 0.0053) };8.38116e-01;9.19684e-01;Pipeline { filter(C6H6(GT) > 0.0000) };8.38116e-01;9.19684e-01;Pipeline { filter(C6H6(GT) > 0.0000) }
