problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→results-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→results-similarity;100]→quality→privacy";"all→percentile[quality→results-similarity;100]→quality→results-similarity";"all→percentile[quality→results-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→results-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→results-similarity;75]→quality→privacy";"all→percentile[quality→results-similarity;75]→quality→results-similarity";"all→percentile[quality→results-similarity;75]→solution"
datasets/airQuality_parallel.csv;nsga2;1;1;100;100;1.06400e+01;100;6;55;9.40000e-01;9.40000e-01;3.70000e-01;7.43071e-01;9.91243e-01;Pipeline { map_noise(attribute=CO(GT), percentage=0.01) };5.75026e-01;1.00000e+00;Pipeline { filter(CO(GT) > 0.0000) | filter(NO2(GT) > 0.0005) | map_noise(attribute=T, percentage=0.05) };4.20869e-01;9.11111e-01;Pipeline { map_duplicate(probability=0.90) | filter(RH > 0.0073) | map_noise(attribute=NO2(GT), percentage=0.01) | map_noise(attribute=AH, percentage=0.05) };7.39254e-01;9.36567e-01;Pipeline { filter(PT08.S1(CO) < 8150000000.0000) }
datasets/airQuality_parallel.csv;nsga2;1;2;200;200;1.73540e+01;100;18;1;9.40000e-01;9.30000e-01;7.60000e-01;7.51746e-01;8.57143e-01;Pipeline { map_noise(attribute=CO(GT), percentage=0.10) };5.74867e-01;1.00000e+00;Pipeline { filter(CO(GT) > 0.0000) | filter(NO2(GT) > 3.5000) | map_noise(attribute=T, percentage=0.05) };7.39254e-01;9.36567e-01;Pipeline { filter(AH > 0.0954) };3.70661e-01;9.96503e-01;Pipeline { map_duplicate(probability=1.00) }
datasets/airQuality_parallel.csv;nsga2;1;3;300;300;2.17610e+01;100;2;4;1.00000e+00;9.90000e-01;3.80000e-01;7.51746e-01;8.57143e-01;Pipeline { map_noise(attribute=CO(GT), percentage=0.10) };5.74939e-01;1.00000e+00;Pipeline { filter(CO(GT) > 0.0000) | filter(NO2(GT) > 0.0005) | map_noise(attribute=NO2(GT), percentage=0.01) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=C6H6(GT), percentage=0.25) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S2(NMHC), percentage=0.25) }
datasets/airQuality_parallel.csv;nsga2;1;4;400;400;2.59440e+01;100;5;4;1.00000e+00;1.00000e+00;3.10000e-01;7.75486e-01;8.58252e-01;Pipeline { filter(C6H6(GT) < 41.6000) };7.39008e-01;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.10) };7.42292e-01;9.36567e-01;Pipeline { filter(T < 7170000.0000) | map_noise(attribute=PT08.S2(NMHC), percentage=0.05) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) }
datasets/airQuality_parallel.csv;nsga2;1;5;500;500;3.39000e+01;100;5;77;1.00000e+00;1.00000e+00;3.00000e-01;7.75832e-01;8.64865e-01;Pipeline { filter(C6H6(GT) < 43.6000) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S4(NO2), percentage=0.10) };7.43477e-01;9.82456e-01;Pipeline { map_noise(attribute=NO2(GT), percentage=0.10) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=RH, percentage=0.25) }
datasets/airQuality_parallel.csv;nsga2;1;6;600;600;3.86030e+01;100;4;71;1.00000e+00;1.00000e+00;3.60000e-01;7.75832e-01;8.64865e-01;Pipeline { filter(C6H6(GT) < 43.6000) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=T, percentage=0.01) };7.45968e-01;9.21053e-01;Pipeline { map_noise(attribute=PT08.S4(NO2), percentage=0.05) | filter(AH < 807000.0000) | map_noise(attribute=PT08.S5(O3), percentage=0.05) | map_noise(attribute=CO(GT), percentage=0.01) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) | map_noise(attribute=C6H6(GT), percentage=0.10) | map_noise(attribute=PT08.S4(NO2), percentage=0.25) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=RH, percentage=0.10) }
datasets/airQuality_parallel.csv;nsga2;1;7;700;700;4.27280e+01;100;3;52;1.00000e+00;1.00000e+00;4.90000e-01;7.75832e-01;8.64865e-01;Pipeline { filter(C6H6(GT) < 43.6000) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=NMHC(GT), percentage=0.01) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.05) | map_noise(attribute=AH, percentage=0.10) | map_noise(attribute=RH, percentage=0.10) };7.51746e-01;8.57143e-01;Pipeline { map_noise(attribute=CO(GT), percentage=0.10) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S4(NO2), percentage=0.05) }
datasets/airQuality_parallel.csv;nsga2;1;8;800;800;4.74300e+01;100;3;29;1.00000e+00;1.00000e+00;7.30000e-01;7.75832e-01;8.64865e-01;Pipeline { filter(C6H6(GT) < 43.6000) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) | map_noise(attribute=T, percentage=0.05) | map_noise(attribute=T, percentage=0.25) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=PT08.S4(NO2), percentage=0.05) };7.54707e-01;9.36567e-01;Pipeline { map_noise(attribute=PT08.S4(NO2), percentage=0.05) | filter(T < 848000.0000) | filter(RH < 867000.0000) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=NMHC(GT), percentage=0.01) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.05) | map_noise(attribute=AH, percentage=0.10) | map_noise(attribute=RH, percentage=0.10) }
datasets/airQuality_parallel.csv;nsga2;1;9;900;900;5.20980e+01;100;3;19;1.00000e+00;1.00000e+00;8.50000e-01;7.75832e-01;8.64865e-01;Pipeline { filter(C6H6(GT) < 43.6000) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.10) | map_noise(attribute=C6H6(GT), percentage=0.10) | map_noise(attribute=PT08.S3(NOx), percentage=0.25) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=RH, percentage=0.25) };7.56395e-01;9.29825e-01;Pipeline { map_noise(attribute=NMHC(GT), percentage=0.25) | map_noise(attribute=CO(GT), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.25) | map_noise(attribute=AH, percentage=0.10) | map_noise(attribute=RH, percentage=0.10) };7.51258e-01;1.00000e+00;Pipeline { map_noise(attribute=NO2(GT), percentage=0.01) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.25) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=NOx(GT), percentage=0.05) }
datasets/airQuality_parallel.csv;nsga2;1;10;1000;1000;5.62240e+01;100;3;6;1.00000e+00;1.00000e+00;9.60000e-01;7.75832e-01;8.64865e-01;Pipeline { filter(C6H6(GT) < 43.6000) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.10) | map_noise(attribute=C6H6(GT), percentage=0.10) | map_noise(attribute=PT08.S3(NOx), percentage=0.25) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=RH, percentage=0.25) };7.57711e-01;6.47727e-01;Pipeline { map_noise(attribute=NO2(GT), percentage=0.25) | filter(T < 806000.0000) | map_noise(attribute=PT08.S5(O3), percentage=0.05) | map_noise(attribute=NOx(GT), percentage=0.01) };7.43071e-01;9.91243e-01;Pipeline { map_noise(attribute=CO(GT), percentage=0.01) }
