problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→results-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→results-similarity;100]→quality→privacy";"all→percentile[quality→results-similarity;100]→quality→results-similarity";"all→percentile[quality→results-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→results-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→results-similarity;75]→quality→privacy";"all→percentile[quality→results-similarity;75]→quality→results-similarity";"all→percentile[quality→results-similarity;75]→solution"
datasets/airQuality_parallel.csv;nsga2;1;1;100;100;1.25520e+01;100;10;60;9.80000e-01;9.80000e-01;3.30000e-01;7.84603e-01;9.36567e-01;Pipeline { map_noise(attribute=PT08.S1(CO), percentage=0.05) | map_aggregate(attribute=C6H6(GT), function=avg, window=10) | filter(PT08.S2(NMHC) > 0.0000) | map_aggregate(attribute=PT08.S4(NO2), function=max, window=3) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S4(NO2), percentage=0.05) };4.91118e-01;9.35652e-01;Pipeline { map_duplicate(probability=0.50) };7.63429e-01;9.09434e-01;Pipeline { map_aggregate(attribute=RH, function=min, window=6) | map_noise(attribute=CO(GT), percentage=0.01) | map_noise(attribute=NMHC(GT), percentage=0.10) | map_noise(attribute=AH, percentage=0.01) | filter(PT08.S5(O3) > 0.0000) }
datasets/airQuality_parallel.csv;nsga2;1;2;200;200;1.99190e+01;100;25;1;9.80000e-01;9.80000e-01;7.20000e-01;7.86971e-01;9.36567e-01;Pipeline { map_noise(attribute=C6H6(GT), percentage=0.05) | map_aggregate(attribute=C6H6(GT), function=avg, window=10) | filter(PT08.S2(NMHC) > 0.0000) | map_aggregate(attribute=PT08.S4(NO2), function=max, window=3) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.01) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=NMHC(GT), percentage=0.25) };3.70661e-01;9.96503e-01;Pipeline { map_duplicate(probability=1.00) }
datasets/airQuality_parallel.csv;nsga2;1;3;300;300;2.51850e+01;100;3;1;9.80000e-01;9.80000e-01;4.50000e-01;8.16501e-01;5.60224e-02;Pipeline { map_aggregate(attribute=CO(GT), function=avg, window=6) };6.11232e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S4(NO2), percentage=0.10) | filter(NO2(GT) < 9800.0000) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S4(NO2), percentage=0.25) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=T, percentage=0.25) }
datasets/airQuality_parallel.csv;nsga2;1;4;400;400;2.95490e+01;100;4;82;1.00000e+00;1.00000e+00;2.00000e-01;8.16501e-01;5.60224e-02;Pipeline { map_aggregate(attribute=CO(GT), function=avg, window=6) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S4(NO2), function=min, window=3) | map_noise(attribute=NMHC(GT), percentage=0.25) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S2(NMHC), function=min, window=6) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=NMHC(GT), percentage=0.01) }
datasets/airQuality_parallel.csv;nsga2;1;5;500;500;3.34670e+01;100;5;75;1.00000e+00;1.00000e+00;2.70000e-01;8.16501e-01;5.60224e-02;Pipeline { map_aggregate(attribute=CO(GT), function=avg, window=6) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) };7.44509e-01;9.78947e-01;Pipeline { map_noise(attribute=NO2(GT), percentage=0.10) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S1(CO), function=avg, window=3) }
datasets/airQuality_parallel.csv;nsga2;1;6;600;600;3.71190e+01;100;5;65;1.00000e+00;1.00000e+00;3.60000e-01;8.16501e-01;5.60224e-02;Pipeline { map_aggregate(attribute=CO(GT), function=avg, window=6) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S4(NO2), percentage=0.05) };7.60445e-01;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.10) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S2(NMHC), function=avg, window=3) }
datasets/airQuality_parallel.csv;nsga2;1;7;700;700;4.26430e+01;100;6;61;1.00000e+00;1.00000e+00;3.90000e-01;8.16501e-01;5.60224e-02;Pipeline { map_aggregate(attribute=CO(GT), function=avg, window=6) };7.41322e-01;1.00000e+00;Pipeline { map_noise(attribute=RH, percentage=0.25) };7.84876e-01;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=avg, window=6) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S2(NMHC), function=max, window=9) }
datasets/airQuality_parallel.csv;nsga2;1;8;800;800;4.66750e+01;100;6;50;1.00000e+00;1.00000e+00;4.70000e-01;8.16501e-01;5.60224e-02;Pipeline { map_aggregate(attribute=CO(GT), function=avg, window=6) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S5(O3), function=avg, window=8) };7.88608e-01;9.36567e-01;Pipeline { map_noise(attribute=PT08.S5(O3), percentage=0.05) | map_aggregate(attribute=C6H6(GT), function=avg, window=8) | filter(PT08.S2(NMHC) > 0.0832) | map_aggregate(attribute=PT08.S4(NO2), function=max, window=3) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=C6H6(GT), function=max, window=4) }
datasets/airQuality_parallel.csv;nsga2;1;9;900;900;5.19950e+01;100;6;36;1.00000e+00;1.00000e+00;5.30000e-01;8.16501e-01;5.60224e-02;Pipeline { map_aggregate(attribute=CO(GT), function=avg, window=6) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S3(NOx), function=min, window=8) };7.89739e-01;9.36567e-01;Pipeline { map_noise(attribute=PT08.S4(NO2), percentage=0.05) | map_aggregate(attribute=C6H6(GT), function=avg, window=8) | filter(PT08.S2(NMHC) > 0.0832) | map_noise(attribute=NMHC(GT), percentage=0.01) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=AH, function=min, window=10) }
datasets/airQuality_parallel.csv;nsga2;1;10;1000;1000;5.59900e+01;100;8;14;1.00000e+00;1.00000e+00;6.60000e-01;8.16501e-01;5.60224e-02;Pipeline { map_aggregate(attribute=CO(GT), function=avg, window=6) };7.41322e-01;1.00000e+00;Pipeline { map_aggregate(attribute=RH, function=avg, window=6) };7.90726e-01;9.36567e-01;Pipeline { map_noise(attribute=PT08.S1(CO), percentage=0.05) | map_aggregate(attribute=C6H6(GT), function=avg, window=8) | filter(PT08.S2(NMHC) > 0.0000) | map_noise(attribute=RH, percentage=0.05) };7.53536e-01;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S2(NMHC), function=min, window=6) | map_aggregate(attribute=NOx(GT), function=avg, window=6) }
