problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→results-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→results-similarity;100]→quality→privacy";"all→percentile[quality→results-similarity;100]→quality→results-similarity";"all→percentile[quality→results-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→results-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→results-similarity;75]→quality→privacy";"all→percentile[quality→results-similarity;75]→quality→results-similarity";"all→percentile[quality→results-similarity;75]→solution"
datasets/airQuality_parallel.csv;nsga2;1;1;100;100;7.13700e+00;100;4;83;1.00000e+00;1.00000e+00;1.40000e-01;7.39254e-01;9.36567e-01;Pipeline { filter(RH > 0.0000) };5.05940e-01;1.00000e+00;Pipeline { filter(NO2(GT) > 66.9000) };0.00000e+00;0.00000e+00;Pipeline { filter(PT08.S3(NOx) < 96.5000) | filter(PT08.S4(NO2) > 43.3000) | filter(C6H6(GT) > 4.7100) | filter(PT08.S1(CO) < 336.0000) | filter(CO(GT) < 0.0000) | filter(RH > 0.0000) };0.00000e+00;0.00000e+00;Pipeline { filter(PT08.S4(NO2) < 578.0000) | filter(NOx(GT) < 0.6130) | filter(PT08.S2(NMHC) > 0.0022) | filter(NMHC(GT) > 40.1000) }
datasets/airQuality_parallel.csv;nsga2;1;2;200;200;9.08100e+00;100;10;65;1.00000e+00;1.00000e+00;1.70000e-01;7.39254e-01;9.36567e-01;Pipeline { filter(PT08.S5(O3) > 17.6000) };5.05940e-01;1.00000e+00;Pipeline { filter(NO2(GT) > 66.9000) };8.24266e-02;2.13166e-01;Pipeline { filter(NMHC(GT) > 0.0001) };7.97212e-02;2.13166e-01;Pipeline { filter(NMHC(GT) < 8370000000.0000) | filter(PT08.S4(NO2) > 3.1800) | filter(NMHC(GT) > 9.5100) }
datasets/airQuality_parallel.csv;nsga2;1;3;300;300;1.13900e+01;100;22;18;1.00000e+00;1.00000e+00;2.80000e-01;7.39254e-01;9.36567e-01;Pipeline { filter(PT08.S3(NOx) < 24500000.0000) };5.05940e-01;1.00000e+00;Pipeline { filter(NO2(GT) > 66.9000) };7.38103e-01;9.36567e-01;Pipeline { filter(T > 0.0001) };7.34814e-01;9.36567e-01;Pipeline { filter(PT08.S2(NMHC) > 0.0037) | filter(C6H6(GT) > 0.5490) }
datasets/airQuality_parallel.csv;nsga2;1;4;400;400;1.38360e+01;100;51;1;1.00000e+00;1.00000e+00;1.60000e-01;7.39254e-01;9.36567e-01;Pipeline { filter(AH > 0.0000) };5.05940e-01;1.00000e+00;Pipeline { filter(NO2(GT) > 66.9000) };7.39254e-01;9.36567e-01;Pipeline { filter(PT08.S5(O3) < 249000.0000) | filter(AH > 0.0000) };6.07042e-01;9.36567e-01;Pipeline { filter(NOx(GT) > 0.1400) | filter(T > 0.0007) }
datasets/airQuality_parallel.csv;nsga2;1;5;500;500;1.61090e+01;100;90;10;1.00000e+00;1.00000e+00;4.00000e-02;7.39254e-01;9.36567e-01;Pipeline { filter(PT08.S5(O3) > 0.0000) | filter(PT08.S4(NO2) > 8.8000) | filter(C6H6(GT) < 422000.0000) | filter(RH > 4.0500) };6.11232e-01;1.00000e+00;Pipeline { filter(NOx(GT) > 0.5400) | filter(NO2(GT) > 0.0000) };7.39254e-01;9.36567e-01;Pipeline { filter(PT08.S3(NOx) < 82700000.0000) };7.39254e-01;9.36567e-01;Pipeline { filter(PT08.S5(O3) > 0.0000) | filter(PT08.S4(NO2) > 6.8100) | filter(C6H6(GT) < 422000.0000) | filter(RH > 4.0500) }
datasets/airQuality_parallel.csv;nsga2;1;6;600;600;1.84610e+01;100;100;100;1.00000e+00;1.00000e+00;2.00000e-02;7.39254e-01;9.36567e-01;Pipeline { filter(T < 310000.0000) };6.11470e-01;1.00000e+00;Pipeline { filter(NOx(GT) > 0.0000) };7.39254e-01;9.36567e-01;Pipeline { filter(AH > 0.0006) };7.39254e-01;9.36567e-01;Pipeline { filter(PT08.S3(NOx) < 4600000.0000) }
datasets/airQuality_parallel.csv;nsga2;1;7;700;700;2.07570e+01;100;100;100;1.00000e+00;1.00000e+00;3.00000e-02;7.75313e-01;8.45401e-01;Pipeline { filter(C6H6(GT) < 40.8000) };6.11470e-01;1.00000e+00;Pipeline { filter(NOx(GT) > 0.0000) };7.39254e-01;9.36567e-01;Pipeline { filter(PT08.S3(NOx) > 0.0949) };7.39254e-01;9.36567e-01;Pipeline { filter(PT08.S3(NOx) < 6440000000.0000) }
datasets/airQuality_parallel.csv;nsga2;1;8;800;800;2.35940e+01;100;100;100;1.00000e+00;1.00000e+00;3.00000e-02;7.75313e-01;8.45401e-01;Pipeline { filter(C6H6(GT) < 40.8000) };6.11470e-01;1.00000e+00;Pipeline { filter(NOx(GT) > 0.0000) };7.39254e-01;9.36567e-01;Pipeline { filter(PT08.S3(NOx) < 6470000000.0000) };7.39254e-01;9.36567e-01;Pipeline { filter(T < 6430000000.0000) }
datasets/airQuality_parallel.csv;nsga2;1;9;900;900;2.61220e+01;100;100;100;1.00000e+00;1.00000e+00;3.00000e-02;7.75313e-01;8.45401e-01;Pipeline { filter(C6H6(GT) < 40.8000) };6.11470e-01;1.00000e+00;Pipeline { filter(NOx(GT) > 0.0000) };7.39254e-01;9.36567e-01;Pipeline { filter(PT08.S2(NMHC) < 17600000.0000) };7.39254e-01;9.36567e-01;Pipeline { filter(PT08.S2(NMHC) < 96600000.0000) }
datasets/airQuality_parallel.csv;nsga2;1;10;1000;1000;2.85740e+01;100;100;100;1.00000e+00;1.00000e+00;3.00000e-02;7.75313e-01;8.45401e-01;Pipeline { filter(C6H6(GT) < 40.8000) };6.11470e-01;1.00000e+00;Pipeline { filter(NOx(GT) > 0.0000) };7.39254e-01;9.36567e-01;Pipeline { filter(AH > 0.0000) };7.39254e-01;9.36567e-01;Pipeline { filter(PT08.S2(NMHC) < 9400000000.0000) }
datasets/airQuality_parallel.csv;nsga2;1;11;1100;1100;3.11140e+01;100;100;100;1.00000e+00;1.00000e+00;4.00000e-02;7.75313e-01;8.45401e-01;Pipeline { filter(C6H6(GT) < 40.8000) };6.11470e-01;1.00000e+00;Pipeline { filter(NOx(GT) > 0.0000) };7.39254e-01;9.36567e-01;Pipeline { filter(PT08.S3(NOx) > 0.0000) };7.39254e-01;9.36567e-01;Pipeline { filter(PT08.S3(NOx) > 0.0000) }
datasets/airQuality_parallel.csv;nsga2;1;12;1200;1200;3.35420e+01;100;100;100;1.00000e+00;1.00000e+00;4.00000e-02;7.75313e-01;8.45401e-01;Pipeline { filter(C6H6(GT) < 40.8000) };6.11470e-01;1.00000e+00;Pipeline { filter(NOx(GT) > 0.0000) };7.39254e-01;9.36567e-01;Pipeline { filter(RH < 73000000.0000) | filter(C6H6(GT) < 324000000.0000) };7.39254e-01;9.36567e-01;Pipeline { filter(RH < 73000000.0000) | filter(C6H6(GT) < 324000000.0000) }
datasets/airQuality_parallel.csv;nsga2;1;13;1300;1300;3.63710e+01;100;100;100;1.00000e+00;9.90000e-01;4.00000e-02;7.75313e-01;8.45401e-01;Pipeline { filter(C6H6(GT) < 40.8000) };6.11470e-01;1.00000e+00;Pipeline { filter(NOx(GT) > 0.0000) };7.39254e-01;9.36567e-01;Pipeline { filter(PT08.S2(NMHC) < 5530000.0000) };7.39254e-01;9.36567e-01;Pipeline { filter(PT08.S2(NMHC) < 5530000.0000) }
