problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→results-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→results-similarity;100]→quality→privacy";"all→percentile[quality→results-similarity;100]→quality→results-similarity";"all→percentile[quality→results-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→results-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→results-similarity;75]→quality→privacy";"all→percentile[quality→results-similarity;75]→quality→results-similarity";"all→percentile[quality→results-similarity;75]→solution"
datasets/airQuality_parallel.csv;nsga2;1;1;100;100;1.14060e+01;100;2;55;9.40000e-01;9.40000e-01;4.10000e-01;8.73146e-01;4.97710e-01;Pipeline { map_noise(attribute=AH, percentage=0.10) | map_noise(attribute=CO(GT), percentage=0.25) };6.68839e-01;1.00000e+00;Pipeline { filter(CO(GT) > 0.0000) | filter(NO2(GT) > 0.0005) | map_noise(attribute=T, percentage=0.05) };4.80980e-01;9.05380e-01;Pipeline { map_duplicate(probability=0.90) | filter(RH > 0.0073) | map_noise(attribute=NO2(GT), percentage=0.01) | map_noise(attribute=AH, percentage=0.05) };8.38116e-01;9.36567e-01;Pipeline { filter(AH > 0.0954) }
datasets/airQuality_parallel.csv;nsga2;1;2;200;200;1.66550e+01;100;4;5;9.40000e-01;9.40000e-01;8.60000e-01;8.74894e-01;4.85030e-01;Pipeline { map_noise(attribute=CO(GT), percentage=0.25) };6.68839e-01;1.00000e+00;Pipeline { filter(CO(GT) > 0.0000) | filter(NO2(GT) > 0.0005) | map_noise(attribute=T, percentage=0.05) };8.45100e-01;6.69173e-01;Pipeline { map_noise(attribute=NO2(GT), percentage=0.25) | map_noise(attribute=NMHC(GT), percentage=0.25) | filter(C6H6(GT) > 0.0009) | map_noise(attribute=RH, percentage=0.05) };7.13560e-01;9.96491e-01;Pipeline { filter(NO2(GT) < 7370000.0000) | map_noise(attribute=NO2(GT), percentage=0.05) }
datasets/airQuality_parallel.csv;nsga2;1;3;300;300;2.29990e+01;100;3;1;9.90000e-01;9.90000e-01;8.50000e-01;8.74894e-01;4.85030e-01;Pipeline { map_noise(attribute=CO(GT), percentage=0.25) };6.68839e-01;1.00000e+00;Pipeline { filter(CO(GT) > 0.0000) | filter(NO2(GT) > 0.0005) | map_noise(attribute=T, percentage=0.05) };8.70607e-01;9.98243e-01;Pipeline { map_noise(attribute=NO2(GT), percentage=0.05) | map_noise(attribute=RH, percentage=0.05) };8.69144e-01;1.00000e+00;Pipeline { map_noise(attribute=C6H6(GT), percentage=0.05) }
datasets/airQuality_parallel.csv;nsga2;1;4;400;400;2.78160e+01;100;2;1;1.00000e+00;1.00000e+00;9.40000e-01;8.76273e-01;6.56140e-01;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.10) | map_noise(attribute=NO2(GT), percentage=0.25) };8.67693e-01;1.00000e+00;Pipeline { map_noise(attribute=NMHC(GT), percentage=0.05) };8.72327e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S5(O3), percentage=0.10) | map_noise(attribute=RH, percentage=0.05) };8.69791e-01;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.10) | map_noise(attribute=NOx(GT), percentage=0.05) }
datasets/airQuality_parallel.csv;nsga2;1;5;500;500;3.19200e+01;100;2;1;1.00000e+00;1.00000e+00;9.30000e-01;8.77245e-01;5.15924e-01;Pipeline { map_noise(attribute=PT08.S5(O3), percentage=0.05) | map_noise(attribute=CO(GT), percentage=0.25) };8.70258e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S5(O3), percentage=0.05) };8.73299e-01;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.25) };8.71449e-01;1.00000e+00;Pipeline { map_noise(attribute=RH, percentage=0.25) | map_noise(attribute=PT08.S2(NMHC), percentage=0.01) }
datasets/airQuality_parallel.csv;nsga2;1;6;600;600;3.64360e+01;100;2;1;1.00000e+00;1.00000e+00;9.80000e-01;8.77245e-01;5.15924e-01;Pipeline { map_noise(attribute=PT08.S5(O3), percentage=0.05) | map_noise(attribute=CO(GT), percentage=0.25) };8.71328e-01;1.00000e+00;Pipeline { map_noise(attribute=RH, percentage=0.25) };8.73843e-01;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.05) | map_noise(attribute=NOx(GT), percentage=0.25) };8.72697e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S5(O3), percentage=0.10) | map_noise(attribute=NOx(GT), percentage=0.05) }
datasets/airQuality_parallel.csv;nsga2;1;7;700;700;4.09050e+01;100;2;2;1.00000e+00;1.00000e+00;9.80000e-01;8.77245e-01;5.15924e-01;Pipeline { map_noise(attribute=PT08.S5(O3), percentage=0.05) | map_noise(attribute=CO(GT), percentage=0.25) };8.72153e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.10) | map_noise(attribute=PT08.S1(CO), percentage=0.05) };8.74543e-01;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.01) | map_noise(attribute=C6H6(GT), percentage=0.25) };8.73299e-01;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.25) }
datasets/airQuality_parallel.csv;nsga2;1;8;800;800;4.54310e+01;100;1;1;1.00000e+00;1.00000e+00;9.70000e-01;8.78576e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S5(O3), percentage=0.10) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=AH, percentage=0.01) | map_noise(attribute=C6H6(GT), percentage=0.10) | map_noise(attribute=NOx(GT), percentage=0.25) };8.72942e-01;1.00000e+00;Pipeline { map_noise(attribute=C6H6(GT), percentage=0.10) | map_noise(attribute=C6H6(GT), percentage=0.10) | map_noise(attribute=NMHC(GT), percentage=0.01) };8.74859e-01;5.39157e-01;Pipeline { map_noise(attribute=PT08.S2(NMHC), percentage=0.10) | map_noise(attribute=CO(GT), percentage=0.25) };8.73646e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) | map_noise(attribute=T, percentage=0.05) | map_noise(attribute=AH, percentage=0.01) | map_noise(attribute=C6H6(GT), percentage=0.10) | map_noise(attribute=NOx(GT), percentage=0.10) }
datasets/airQuality_parallel.csv;nsga2;1;9;900;900;4.96360e+01;100;1;2;1.00000e+00;1.00000e+00;9.70000e-01;8.78576e-01;1.00000e+00;Pipeline { map_noise(attribute=PT08.S5(O3), percentage=0.10) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=AH, percentage=0.01) | map_noise(attribute=C6H6(GT), percentage=0.10) | map_noise(attribute=NOx(GT), percentage=0.25) };8.73190e-01;1.00000e+00;Pipeline { map_noise(attribute=NMHC(GT), percentage=0.05) | map_noise(attribute=AH, percentage=0.25) };8.75096e-01;9.98243e-01;Pipeline { map_noise(attribute=AH, percentage=0.25) | map_noise(attribute=NO2(GT), percentage=0.05) };8.74125e-01;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.25) | map_noise(attribute=AH, percentage=0.10) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) }
datasets/airQuality_parallel.csv;nsga2;1;10;1000;1000;5.38370e+01;100;1;1;1.00000e+00;1.00000e+00;9.60000e-01;8.79594e-01;1.00000e+00;Pipeline { map_noise(attribute=C6H6(GT), percentage=0.10) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=AH, percentage=0.01) | map_noise(attribute=C6H6(GT), percentage=0.10) | map_noise(attribute=NOx(GT), percentage=0.25) };8.73402e-01;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.25) | map_noise(attribute=C6H6(GT), percentage=0.01) };8.75420e-01;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.25) | map_noise(attribute=AH, percentage=0.10) };8.74256e-01;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.10) | map_noise(attribute=PT08.S1(CO), percentage=0.10) }
