problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→results-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→results-similarity;100]→quality→privacy";"all→percentile[quality→results-similarity;100]→quality→results-similarity";"all→percentile[quality→results-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→results-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→results-similarity;75]→quality→privacy";"all→percentile[quality→results-similarity;75]→quality→results-similarity";"all→percentile[quality→results-similarity;75]→solution"
datasets/airQuality_parallel.csv;nsga2;1;1;100;100;5.70200e+00;100;4;83;1.00000e+00;1.00000e+00;1.40000e-01;8.38116e-01;9.36567e-01;Pipeline { filter(RH > 0.0000) };5.84076e-01;1.00000e+00;Pipeline { filter(NO2(GT) > 66.9000) };0.00000e+00;0.00000e+00;Pipeline { filter(PT08.S3(NOx) < 96.5000) | filter(PT08.S4(NO2) > 43.3000) | filter(C6H6(GT) > 4.7100) | filter(PT08.S1(CO) < 336.0000) | filter(CO(GT) < 0.0000) | filter(RH > 0.0000) };0.00000e+00;0.00000e+00;Pipeline { filter(PT08.S4(NO2) < 578.0000) | filter(NOx(GT) < 0.6130) | filter(PT08.S2(NMHC) > 0.0022) | filter(NMHC(GT) > 40.1000) }
datasets/airQuality_parallel.csv;nsga2;1;2;200;200;8.56200e+00;100;10;65;1.00000e+00;1.00000e+00;1.70000e-01;8.38116e-01;9.36567e-01;Pipeline { filter(PT08.S5(O3) > 17.6000) };5.84076e-01;1.00000e+00;Pipeline { filter(NO2(GT) > 66.9000) };8.54353e-02;2.13166e-01;Pipeline { filter(NMHC(GT) > 0.0001) };8.24707e-02;2.13166e-01;Pipeline { filter(NMHC(GT) < 8370000000.0000) | filter(PT08.S4(NO2) > 3.1800) | filter(NMHC(GT) > 9.5100) }
datasets/airQuality_parallel.csv;nsga2;1;3;300;300;1.09080e+01;100;22;18;1.00000e+00;1.00000e+00;2.80000e-01;8.38116e-01;9.36567e-01;Pipeline { filter(PT08.S3(NOx) < 24500000.0000) };5.84076e-01;1.00000e+00;Pipeline { filter(NO2(GT) > 66.9000) };8.36811e-01;9.36567e-01;Pipeline { filter(T > 0.0001) };8.33150e-01;9.36567e-01;Pipeline { filter(PT08.S2(NMHC) > 0.0037) | filter(C6H6(GT) > 0.5490) }
datasets/airQuality_parallel.csv;nsga2;1;4;400;400;1.35120e+01;100;54;1;1.00000e+00;1.00000e+00;1.70000e-01;8.38116e-01;9.36567e-01;Pipeline { filter(AH > 0.0000) };6.03107e-01;1.00000e+00;Pipeline { filter(NOx(GT) > 66.9000) };8.38116e-01;9.36567e-01;Pipeline { filter(PT08.S2(NMHC) > 0.4200) };7.11560e-01;1.00000e+00;Pipeline { filter(NOx(GT) > 0.0000) }
datasets/airQuality_parallel.csv;nsga2;1;5;500;500;1.60150e+01;100;100;100;1.00000e+00;9.90000e-01;2.00000e-02;8.38116e-01;9.36567e-01;Pipeline { filter(PT08.S5(O3) > 0.0000) | filter(PT08.S4(NO2) > 8.8000) | filter(C6H6(GT) < 422000.0000) | filter(RH > 4.0500) };7.11560e-01;1.00000e+00;Pipeline { filter(NOx(GT) > 0.0000) };8.38116e-01;9.36567e-01;Pipeline { filter(AH < 3600000.0000) };8.38116e-01;9.36567e-01;Pipeline { filter(C6H6(GT) < 3600000.0000) }
datasets/airQuality_parallel.csv;nsga2;1;6;600;600;1.85350e+01;100;100;100;1.00000e+00;1.00000e+00;2.00000e-02;8.38116e-01;9.36567e-01;Pipeline { filter(C6H6(GT) < 88500.0000) };7.11560e-01;1.00000e+00;Pipeline { filter(NOx(GT) > 0.0000) };8.38116e-01;9.36567e-01;Pipeline { filter(T < 2310000.0000) };8.38116e-01;9.36567e-01;Pipeline { filter(PT08.S1(CO) > 0.0046) }
datasets/airQuality_parallel.csv;nsga2;1;7;700;700;2.07960e+01;100;100;100;1.00000e+00;1.00000e+00;2.00000e-02;8.38116e-01;9.36567e-01;Pipeline { filter(PT08.S2(NMHC) < 300000.0000) };7.11560e-01;1.00000e+00;Pipeline { filter(NOx(GT) > 0.0000) };8.38116e-01;9.36567e-01;Pipeline { filter(C6H6(GT) > 0.0006) };8.38116e-01;9.36567e-01;Pipeline { filter(RH < 88600.0000) }
datasets/airQuality_parallel.csv;nsga2;1;8;800;800;2.31750e+01;100;100;100;1.00000e+00;9.90000e-01;2.00000e-02;8.38116e-01;9.36567e-01;Pipeline { filter(AH < 20.8000) };7.11560e-01;1.00000e+00;Pipeline { filter(NOx(GT) > 0.0000) };8.38116e-01;9.36567e-01;Pipeline { filter(PT08.S5(O3) > 0.0000) };8.38116e-01;9.36567e-01;Pipeline { filter(AH < 390000.0000) }
datasets/airQuality_parallel.csv;nsga2;1;9;900;900;2.54760e+01;100;100;100;1.00000e+00;9.90000e-01;2.00000e-02;8.38116e-01;9.36567e-01;Pipeline { filter(C6H6(GT) < 70.3000) };7.11560e-01;1.00000e+00;Pipeline { filter(NOx(GT) > 0.0000) };8.38116e-01;9.36567e-01;Pipeline { filter(PT08.S2(NMHC) > 0.0037) | filter(PT08.S5(O3) > 0.0013) };8.38116e-01;9.36567e-01;Pipeline { filter(PT08.S5(O3) > 0.0000) }
datasets/airQuality_parallel.csv;nsga2;1;10;1000;1000;2.79140e+01;100;100;100;1.00000e+00;9.90000e-01;2.00000e-02;8.38116e-01;9.36567e-01;Pipeline { filter(PT08.S3(NOx) < 4200.0000) };7.11560e-01;1.00000e+00;Pipeline { filter(NOx(GT) > 0.0000) };8.38116e-01;9.36567e-01;Pipeline { filter(PT08.S5(O3) < 129000.0000) };8.38116e-01;9.36567e-01;Pipeline { filter(PT08.S2(NMHC) > 0.0000) }
