problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→results-similarity";"all→percentile[quality→privacy;100]→quality→performance-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→results-similarity;100]→quality→privacy";"all→percentile[quality→results-similarity;100]→quality→results-similarity";"all→percentile[quality→results-similarity;100]→quality→performance-similarity";"all→percentile[quality→results-similarity;100]→solution";"all→percentile[quality→performance-similarity;100]→quality→privacy";"all→percentile[quality→performance-similarity;100]→quality→results-similarity";"all→percentile[quality→performance-similarity;100]→quality→performance-similarity";"all→percentile[quality→performance-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→results-similarity";"all→percentile[quality→privacy;75]→quality→performance-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→results-similarity;75]→quality→privacy";"all→percentile[quality→results-similarity;75]→quality→results-similarity";"all→percentile[quality→results-similarity;75]→quality→performance-similarity";"all→percentile[quality→results-similarity;75]→solution";"all→percentile[quality→performance-similarity;75]→quality→privacy";"all→percentile[quality→performance-similarity;75]→quality→results-similarity";"all→percentile[quality→performance-similarity;75]→quality→performance-similarity";"all→percentile[quality→performance-similarity;75]→solution"
datasets/airQuality_parallel.csv;nsga2;1;1;100;100;1.06340e+01;100;6;55;9.40000e-01;9.40000e-01;3.70000e-01;7.46083e-01;9.85866e-01;9.58051e-01;Pipeline { map_noise(attribute=CO(GT), percentage=0.01) };5.75026e-01;1.00000e+00;9.08835e-01;Pipeline { filter(CO(GT) > 0.0000) | filter(NO2(GT) > 0.0005) | map_noise(attribute=T, percentage=0.05) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.25) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=RH, percentage=0.25) };4.21221e-01;9.22222e-01;7.31313e-01;Pipeline { map_duplicate(probability=0.90) | filter(RH > 0.0073) | map_noise(attribute=NO2(GT), percentage=0.01) | map_noise(attribute=AH, percentage=0.05) };4.35797e-01;9.34744e-01;7.77653e-01;Pipeline { map_duplicate(probability=0.70) | map_noise(attribute=CO(GT), percentage=0.01) | map_noise(attribute=PT08.S2(NMHC), percentage=0.01) };4.21221e-01;9.22222e-01;7.31313e-01;Pipeline { map_duplicate(probability=0.90) | filter(RH > 0.0073) | map_noise(attribute=NO2(GT), percentage=0.01) | map_noise(attribute=AH, percentage=0.05) }
datasets/airQuality_parallel.csv;nsga2;1;2;200;200;1.88560e+01;100;22;1;9.40000e-01;9.40000e-01;7.20000e-01;8.35593e-01;4.04040e-02;6.35559e-01;Pipeline { filter(NOx(GT) < 322.0000) | map_duplicate(probability=0.60) | map_noise(attribute=NO2(GT), percentage=0.25) };5.75026e-01;1.00000e+00;9.08835e-01;Pipeline { filter(CO(GT) > 0.0000) | filter(NO2(GT) > 0.0005) | map_noise(attribute=T, percentage=0.05) };7.33048e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.10) };7.39254e-01;9.36567e-01;9.49204e-01;Pipeline { filter(PT08.S3(NOx) > 0.9000) };6.06478e-01;9.98249e-01;9.22746e-01;Pipeline { filter(NO2(GT) < 7370000.0000) | map_noise(attribute=NO2(GT), percentage=0.05) };6.70457e-01;9.63351e-01;9.57422e-01;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_duplicate(probability=0.10) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=RH, percentage=0.25) }
datasets/airQuality_parallel.csv;nsga2;1;3;300;300;2.48330e+01;100;4;3;1.00000e+00;1.00000e+00;4.40000e-01;8.38604e-01;7.33333e-02;6.41821e-01;Pipeline { filter(NOx(GT) < 322.0000) | map_duplicate(probability=0.60) | map_noise(attribute=AH, percentage=0.25) };5.75026e-01;1.00000e+00;9.08835e-01;Pipeline { filter(CO(GT) > 0.0000) | filter(NO2(GT) > 0.0005) | map_noise(attribute=T, percentage=0.01) };7.08076e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.25) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.25) | map_noise(attribute=NMHC(GT), percentage=0.10) | map_noise(attribute=RH, percentage=0.25) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=C6H6(GT), percentage=0.01) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.10) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.25) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.25) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=NMHC(GT), percentage=0.25) }
datasets/airQuality_parallel.csv;nsga2;1;4;400;400;2.89120e+01;100;7;1;1.00000e+00;1.00000e+00;3.70000e-01;8.38604e-01;7.33333e-02;6.41821e-01;Pipeline { filter(NOx(GT) < 322.0000) | map_duplicate(probability=0.60) | map_noise(attribute=AH, percentage=0.25) };7.35542e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S2(NMHC), percentage=0.25) };7.35542e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S2(NMHC), percentage=0.25) };7.43504e-01;5.51084e-01;5.81986e-01;Pipeline { map_noise(attribute=CO(GT), percentage=0.25) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) | map_noise(attribute=C6H6(GT), percentage=0.01) | map_noise(attribute=PT08.S4(NO2), percentage=0.25) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=RH, percentage=0.25) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) | map_noise(attribute=C6H6(GT), percentage=0.01) | map_noise(attribute=PT08.S4(NO2), percentage=0.25) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=RH, percentage=0.25) }
datasets/airQuality_parallel.csv;nsga2;1;5;500;500;3.39980e+01;100;9;56;1.00000e+00;1.00000e+00;4.80000e-01;8.52558e-01;7.26073e-02;6.45051e-01;Pipeline { filter(NOx(GT) < 322.0000) | map_duplicate(probability=0.60) | map_noise(attribute=PT08.S3(NOx), percentage=0.25) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.25) | map_noise(attribute=NMHC(GT), percentage=0.10) | map_noise(attribute=AH, percentage=0.25) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.25) | map_noise(attribute=NMHC(GT), percentage=0.10) | map_noise(attribute=AH, percentage=0.25) };7.48982e-01;9.36567e-01;9.49204e-01;Pipeline { map_noise(attribute=PT08.S5(O3), percentage=0.10) | filter(AH > 0.0177) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.25) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=T, percentage=0.10) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.25) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=T, percentage=0.10) }
datasets/airQuality_parallel.csv;nsga2;1;6;600;600;3.92230e+01;100;7;34;1.00000e+00;1.00000e+00;6.80000e-01;8.62439e-01;8.66667e-02;6.41546e-01;Pipeline { filter(NOx(GT) < 329.0000) | map_duplicate(probability=0.60) | map_noise(attribute=AH, percentage=0.05) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.05) | map_noise(attribute=NMHC(GT), percentage=0.25) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.05) | map_noise(attribute=NMHC(GT), percentage=0.25) };7.55008e-01;9.36567e-01;9.49204e-01;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.25) | filter(PT08.S2(NMHC) > 0.0000) | map_noise(attribute=NMHC(GT), percentage=0.01) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S4(NO2), percentage=0.05) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S4(NO2), percentage=0.05) }
datasets/airQuality_parallel.csv;nsga2;1;7;700;700;4.36910e+01;100;6;4;1.00000e+00;1.00000e+00;9.90000e-01;8.62439e-01;8.66667e-02;6.41546e-01;Pipeline { filter(NOx(GT) < 329.0000) | map_duplicate(probability=0.60) | map_noise(attribute=AH, percentage=0.05) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.05) | map_noise(attribute=NMHC(GT), percentage=0.25) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.05) | map_noise(attribute=NMHC(GT), percentage=0.25) };7.63391e-01;9.36567e-01;9.49204e-01;Pipeline { map_noise(attribute=RH, percentage=0.10) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.25) | filter(AH < 527000000.0000) };7.50558e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.10) | map_noise(attribute=NMHC(GT), percentage=0.05) | map_noise(attribute=C6H6(GT), percentage=0.25) | map_noise(attribute=PT08.S5(O3), percentage=0.01) | map_noise(attribute=RH, percentage=0.25) };7.50558e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.10) | map_noise(attribute=NMHC(GT), percentage=0.05) | map_noise(attribute=C6H6(GT), percentage=0.25) | map_noise(attribute=PT08.S5(O3), percentage=0.01) | map_noise(attribute=RH, percentage=0.25) }
datasets/airQuality_parallel.csv;nsga2;1;8;800;800;4.83480e+01;100;8;2;1.00000e+00;1.00000e+00;1.00000e+00;8.62439e-01;8.66667e-02;6.41546e-01;Pipeline { filter(NOx(GT) < 329.0000) | map_duplicate(probability=0.60) | map_noise(attribute=AH, percentage=0.05) };7.45348e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.01) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S2(NMHC), percentage=0.25) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=NMHC(GT), percentage=0.10) };7.45348e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.01) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S2(NMHC), percentage=0.25) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=NMHC(GT), percentage=0.10) };8.01158e-01;1.73913e-01;6.78711e-01;Pipeline { filter(NOx(GT) < 392.0000) | map_duplicate(probability=0.50) | map_noise(attribute=PT08.S1(CO), percentage=0.25) };7.52982e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.10) | map_noise(attribute=NOx(GT), percentage=0.25) };7.52982e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.10) | map_noise(attribute=NOx(GT), percentage=0.25) }
datasets/airQuality_parallel.csv;nsga2;1;9;900;900;5.25880e+01;100;10;1;1.00000e+00;1.00000e+00;1.00000e+00;8.62439e-01;8.66667e-02;6.41546e-01;Pipeline { filter(NOx(GT) < 329.0000) | map_duplicate(probability=0.60) | map_noise(attribute=AH, percentage=0.05) };7.48014e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.05) | map_noise(attribute=AH, percentage=0.01) | map_noise(attribute=NOx(GT), percentage=0.01) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=RH, percentage=0.25) };7.48014e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.05) | map_noise(attribute=AH, percentage=0.01) | map_noise(attribute=NOx(GT), percentage=0.01) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=RH, percentage=0.25) };8.48050e-01;1.87500e-01;6.78867e-01;Pipeline { filter(NOx(GT) < 392.0000) | map_duplicate(probability=0.50) | map_noise(attribute=T, percentage=0.05) };7.60146e-01;9.36567e-01;9.49204e-01;Pipeline { map_noise(attribute=AH, percentage=0.10) | map_noise(attribute=NOx(GT), percentage=0.01) | map_noise(attribute=PT08.S4(NO2), percentage=0.25) | filter(PT08.S2(NMHC) > 0.0000) | map_noise(attribute=NMHC(GT), percentage=0.01) };7.59199e-01;9.36567e-01;9.49204e-01;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | filter(PT08.S2(NMHC) > 0.0000) | map_noise(attribute=NMHC(GT), percentage=0.01) }
datasets/airQuality_parallel.csv;nsga2;1;10;1000;1000;5.70910e+01;100;11;3;1.00000e+00;1.00000e+00;1.00000e+00;8.62439e-01;8.66667e-02;6.41546e-01;Pipeline { filter(NOx(GT) < 329.0000) | map_duplicate(probability=0.60) | map_noise(attribute=AH, percentage=0.05) };7.50558e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.10) | map_noise(attribute=NMHC(GT), percentage=0.05) | map_noise(attribute=C6H6(GT), percentage=0.25) | map_noise(attribute=PT08.S5(O3), percentage=0.01) | map_noise(attribute=RH, percentage=0.25) };7.50558e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.10) | map_noise(attribute=NMHC(GT), percentage=0.05) | map_noise(attribute=C6H6(GT), percentage=0.25) | map_noise(attribute=PT08.S5(O3), percentage=0.01) | map_noise(attribute=RH, percentage=0.25) };8.52281e-01;7.35786e-02;6.40432e-01;Pipeline { filter(NOx(GT) < 322.0000) | map_duplicate(probability=0.60) | map_noise(attribute=NOx(GT), percentage=0.10) };8.24856e-01;1.96923e-01;6.86211e-01;Pipeline { filter(NOx(GT) < 397.0000) | map_duplicate(probability=0.50) | map_noise(attribute=PT08.S5(O3), percentage=0.25) };7.79963e-01;1.79567e-01;6.84674e-01;Pipeline { filter(NOx(GT) < 397.0000) | map_duplicate(probability=0.60) | map_noise(attribute=RH, percentage=0.25) }
