problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→results-similarity";"all→percentile[quality→privacy;100]→quality→performance-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→results-similarity;100]→quality→privacy";"all→percentile[quality→results-similarity;100]→quality→results-similarity";"all→percentile[quality→results-similarity;100]→quality→performance-similarity";"all→percentile[quality→results-similarity;100]→solution";"all→percentile[quality→performance-similarity;100]→quality→privacy";"all→percentile[quality→performance-similarity;100]→quality→results-similarity";"all→percentile[quality→performance-similarity;100]→quality→performance-similarity";"all→percentile[quality→performance-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→results-similarity";"all→percentile[quality→privacy;75]→quality→performance-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→results-similarity;75]→quality→privacy";"all→percentile[quality→results-similarity;75]→quality→results-similarity";"all→percentile[quality→results-similarity;75]→quality→performance-similarity";"all→percentile[quality→results-similarity;75]→solution";"all→percentile[quality→performance-similarity;75]→quality→privacy";"all→percentile[quality→performance-similarity;75]→quality→results-similarity";"all→percentile[quality→performance-similarity;75]→quality→performance-similarity";"all→percentile[quality→performance-similarity;75]→solution"
datasets/airQuality_parallel.csv;nsga2;1;1;100;100;2.74550e+01;100;11;60;9.80000e-01;9.80000e-01;3.30000e-01;7.83910e-01;9.36567e-01;9.49204e-01;Pipeline { map_noise(attribute=PT08.S1(CO), percentage=0.05) | map_aggregate(attribute=C6H6(GT), function=avg, window=10) | filter(PT08.S2(NMHC) > 0.0000) | map_aggregate(attribute=PT08.S4(NO2), function=max, window=3) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S4(NO2), percentage=0.05) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S4(NO2), percentage=0.05) };4.91616e-01;6.99275e-01;6.01698e-01;Pipeline { filter(AH > 0.0000) | map_aggregate(attribute=AH, function=max, window=5) | map_aggregate(attribute=C6H6(GT), function=min, window=7) | filter(PT08.S3(NOx) < 598.0000) | map_duplicate(probability=0.30) | map_aggregate(attribute=PT08.S4(NO2), function=min, window=10) | map_noise(attribute=AH, percentage=0.01) | map_duplicate(probability=0.70) | filter(PT08.S1(CO) > 0.0918) | map_duplicate(probability=0.80) };4.33201e-01;9.13124e-01;7.29206e-01;Pipeline { map_aggregate(attribute=T, function=min, window=3) | map_duplicate(probability=0.90) | filter(PT08.S5(O3) > 0.0021) | map_noise(attribute=AH, percentage=0.25) };4.23284e-01;9.18819e-01;7.29361e-01;Pipeline { map_duplicate(probability=0.90) | filter(PT08.S2(NMHC) > 0.0003) | map_noise(attribute=RH, percentage=0.10) }
datasets/airQuality_parallel.csv;nsga2;1;2;200;200;4.04080e+01;100;31;4;9.80000e-01;9.70000e-01;6.80000e-01;7.87038e-01;5.05747e-02;7.87839e-01;Pipeline { map_aggregate(attribute=NO2(GT), function=min, window=8) };6.11312e-01;1.00000e+00;9.22879e-01;Pipeline { filter(NOx(GT) > 4.2500) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.01) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=C6H6(GT), percentage=0.10) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=RH, percentage=0.05) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=RH, percentage=0.01) | map_noise(attribute=AH, percentage=0.05) }
datasets/airQuality_parallel.csv;nsga2;1;3;300;300;6.40990e+01;100;6;4;9.80000e-01;9.80000e-01;4.40000e-01;8.00138e-01;1.24352e-01;6.72845e-01;Pipeline { map_aggregate(attribute=CO(GT), function=avg, window=5) };6.11312e-01;1.00000e+00;9.22879e-01;Pipeline { filter(NOx(GT) > 4.2500) };7.22201e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.25) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S4(NO2), function=min, window=3) | map_noise(attribute=PT08.S5(O3), percentage=0.01) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S2(NMHC), percentage=0.25) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=AH, function=avg, window=10) }
datasets/airQuality_parallel.csv;nsga2;1;4;400;400;7.33370e+01;100;6;80;1.00000e+00;1.00000e+00;2.00000e-01;8.16501e-01;5.60224e-02;6.65588e-01;Pipeline { map_aggregate(attribute=CO(GT), function=avg, window=6) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S2(NMHC), percentage=0.10) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S2(NMHC), percentage=0.10) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S5(O3), function=avg, window=5) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=AH, function=avg, window=7) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=AH, function=avg, window=7) }
datasets/airQuality_parallel.csv;nsga2;1;5;500;500;8.34800e+01;100;4;67;1.00000e+00;1.00000e+00;3.20000e-01;8.16501e-01;5.60224e-02;6.65588e-01;Pipeline { map_aggregate(attribute=CO(GT), function=avg, window=6) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=AH, function=min, window=7) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=AH, function=min, window=7) };7.68445e-01;9.09761e-01;9.51842e-01;Pipeline { map_noise(attribute=PT08.S1(CO), percentage=0.05) | map_aggregate(attribute=PT08.S2(NMHC), function=avg, window=3) | filter(PT08.S2(NMHC) > 0.0454) | map_duplicate(probability=0.10) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=PT08.S1(CO), percentage=0.01) | map_aggregate(attribute=PT08.S2(NMHC), function=avg, window=10) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=PT08.S1(CO), percentage=0.01) | map_aggregate(attribute=PT08.S2(NMHC), function=avg, window=10) }
datasets/airQuality_parallel.csv;nsga2;1;6;600;600;9.31890e+01;100;4;57;1.00000e+00;1.00000e+00;3.90000e-01;8.16501e-01;5.60224e-02;6.65588e-01;Pipeline { map_aggregate(attribute=CO(GT), function=avg, window=6) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=RH, percentage=0.05) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=RH, percentage=0.05) };7.79352e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=avg, window=8) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S5(O3), function=avg, window=3) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S5(O3), function=avg, window=3) }
datasets/airQuality_parallel.csv;nsga2;1;7;700;700;1.02886e+02;100;6;45;1.00000e+00;1.00000e+00;4.70000e-01;8.16501e-01;5.60224e-02;6.65588e-01;Pipeline { map_aggregate(attribute=CO(GT), function=avg, window=6) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=RH, function=min, window=7) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=RH, function=min, window=7) };7.87189e-01;9.36567e-01;9.49204e-01;Pipeline { map_noise(attribute=PT08.S1(CO), percentage=0.01) | map_aggregate(attribute=C6H6(GT), function=avg, window=10) | filter(PT08.S2(NMHC) > 0.0000) | map_aggregate(attribute=PT08.S4(NO2), function=max, window=3) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S4(NO2), function=avg, window=8) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S4(NO2), function=avg, window=8) }
datasets/airQuality_parallel.csv;nsga2;1;8;800;800;1.14120e+02;100;7;24;1.00000e+00;1.00000e+00;6.30000e-01;8.16501e-01;5.60224e-02;6.65588e-01;Pipeline { map_aggregate(attribute=CO(GT), function=avg, window=6) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=NMHC(GT), percentage=0.10) | map_noise(attribute=T, percentage=0.05) | map_noise(attribute=AH, percentage=0.25) };7.41322e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=NMHC(GT), percentage=0.10) | map_noise(attribute=T, percentage=0.05) | map_noise(attribute=AH, percentage=0.25) };7.87937e-01;9.36567e-01;9.49204e-01;Pipeline { map_noise(attribute=PT08.S1(CO), percentage=0.05) | map_aggregate(attribute=C6H6(GT), function=avg, window=10) | filter(PT08.S2(NMHC) > 0.0434) | map_noise(attribute=T, percentage=0.25) };7.41928e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=NO2(GT), percentage=0.01) };7.41928e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=NO2(GT), percentage=0.01) }
datasets/airQuality_parallel.csv;nsga2;1;9;900;900;1.24100e+02;100;8;1;1.00000e+00;1.00000e+00;7.60000e-01;8.16501e-01;5.60224e-02;6.65588e-01;Pipeline { map_aggregate(attribute=CO(GT), function=avg, window=6) };7.41499e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.10) | map_noise(attribute=NO2(GT), percentage=0.01) | map_aggregate(attribute=C6H6(GT), function=min, window=10) };7.41499e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.10) | map_noise(attribute=NO2(GT), percentage=0.01) | map_aggregate(attribute=C6H6(GT), function=min, window=10) };7.88780e-01;9.36567e-01;9.49204e-01;Pipeline { map_noise(attribute=AH, percentage=0.10) | map_aggregate(attribute=C6H6(GT), function=avg, window=10) | filter(RH > 0.0004) | map_aggregate(attribute=PT08.S5(O3), function=max, window=3) };7.56866e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=5) | map_aggregate(attribute=PT08.S5(O3), function=min, window=7) };7.56866e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=5) | map_aggregate(attribute=PT08.S5(O3), function=min, window=7) }
datasets/airQuality_parallel.csv;nsga2;1;10;1000;1000;1.34786e+02;100;10;3;1.00000e+00;1.00000e+00;5.70000e-01;8.16501e-01;5.60224e-02;6.65588e-01;Pipeline { map_aggregate(attribute=CO(GT), function=avg, window=6) };7.44540e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S1(CO), function=avg, window=7) | map_noise(attribute=NOx(GT), percentage=0.05) };7.44540e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S1(CO), function=avg, window=7) | map_noise(attribute=NOx(GT), percentage=0.05) };7.89786e-01;9.36567e-01;9.49204e-01;Pipeline { map_noise(attribute=PT08.S1(CO), percentage=0.10) | map_aggregate(attribute=C6H6(GT), function=avg, window=10) | filter(PT08.S2(NMHC) > 0.0000) | map_aggregate(attribute=PT08.S4(NO2), function=max, window=3) };7.56866e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=3) | map_aggregate(attribute=PT08.S1(CO), function=min, window=10) };7.56866e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=3) | map_aggregate(attribute=PT08.S1(CO), function=min, window=10) }
