problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→results-similarity";"all→percentile[quality→privacy;100]→quality→performance-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→results-similarity;100]→quality→privacy";"all→percentile[quality→results-similarity;100]→quality→results-similarity";"all→percentile[quality→results-similarity;100]→quality→performance-similarity";"all→percentile[quality→results-similarity;100]→solution";"all→percentile[quality→performance-similarity;100]→quality→privacy";"all→percentile[quality→performance-similarity;100]→quality→results-similarity";"all→percentile[quality→performance-similarity;100]→quality→performance-similarity";"all→percentile[quality→performance-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→results-similarity";"all→percentile[quality→privacy;75]→quality→performance-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→results-similarity;75]→quality→privacy";"all→percentile[quality→results-similarity;75]→quality→results-similarity";"all→percentile[quality→results-similarity;75]→quality→performance-similarity";"all→percentile[quality→results-similarity;75]→solution";"all→percentile[quality→performance-similarity;75]→quality→privacy";"all→percentile[quality→performance-similarity;75]→quality→results-similarity";"all→percentile[quality→performance-similarity;75]→quality→performance-similarity";"all→percentile[quality→performance-similarity;75]→solution"
datasets/airQuality_parallel.csv;nsga2;1;1;100;100;1.10070e+01;100;2;55;9.40000e-01;9.40000e-01;4.10000e-01;8.74212e-01;5.08744e-01;7.35957e-01;Pipeline { map_noise(attribute=AH, percentage=0.10) | map_noise(attribute=CO(GT), percentage=0.25) };6.68833e-01;1.00000e+00;9.08835e-01;Pipeline { filter(CO(GT) > 0.0000) | filter(NO2(GT) > 0.0005) | map_noise(attribute=T, percentage=0.05) };8.54895e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.25) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=RH, percentage=0.25) };4.79819e-01;9.05380e-01;7.32130e-01;Pipeline { map_duplicate(probability=0.90) | filter(RH > 0.0073) | map_noise(attribute=NO2(GT), percentage=0.01) | map_noise(attribute=AH, percentage=0.05) };8.38116e-01;9.36567e-01;9.49204e-01;Pipeline { filter(AH > 0.0954) };4.79819e-01;9.05380e-01;7.32130e-01;Pipeline { map_duplicate(probability=0.90) | filter(RH > 0.0073) | map_noise(attribute=NO2(GT), percentage=0.01) | map_noise(attribute=AH, percentage=0.05) }
datasets/airQuality_parallel.csv;nsga2;1;2;200;200;1.77200e+01;100;2;2;9.40000e-01;9.40000e-01;9.00000e-01;8.74212e-01;5.08744e-01;7.35957e-01;Pipeline { map_noise(attribute=AH, percentage=0.10) | map_noise(attribute=CO(GT), percentage=0.25) };6.68833e-01;1.00000e+00;9.08835e-01;Pipeline { filter(CO(GT) > 0.0000) | filter(NO2(GT) > 0.0005) | map_noise(attribute=T, percentage=0.05) };8.54895e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.25) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=RH, percentage=0.25) };8.42234e-01;6.64165e-01;9.42448e-01;Pipeline { map_noise(attribute=NO2(GT), percentage=0.25) | map_noise(attribute=NMHC(GT), percentage=0.25) | filter(C6H6(GT) > 0.0000) | map_noise(attribute=RH, percentage=0.05) };4.81424e-01;9.77470e-01;7.34018e-01;Pipeline { map_duplicate(probability=0.80) };8.38116e-01;9.36567e-01;9.49204e-01;Pipeline { filter(PT08.S1(CO) < 9150000000.0000) }
datasets/airQuality_parallel.csv;nsga2;1;3;300;300;2.35580e+01;100;4;11;9.80000e-01;9.80000e-01;8.30000e-01;8.77456e-01;5.22581e-01;6.33570e-01;Pipeline { map_noise(attribute=C6H6(GT), percentage=0.10) | map_noise(attribute=CO(GT), percentage=0.25) };6.68833e-01;1.00000e+00;9.08835e-01;Pipeline { filter(CO(GT) > 0.0000) | filter(NO2(GT) > 0.0005) | map_noise(attribute=T, percentage=0.05) };8.54895e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.25) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=RH, percentage=0.25) };8.69320e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.05) };8.69586e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=RH, percentage=0.05) };8.69864e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.10) | map_noise(attribute=NOx(GT), percentage=0.01) | map_noise(attribute=RH, percentage=0.01) | map_noise(attribute=PT08.S1(CO), percentage=0.01) }
datasets/airQuality_parallel.csv;nsga2;1;4;400;400;2.75720e+01;100;5;12;1.00000e+00;1.00000e+00;9.60000e-01;8.77456e-01;5.22581e-01;6.33570e-01;Pipeline { map_noise(attribute=C6H6(GT), percentage=0.10) | map_noise(attribute=CO(GT), percentage=0.25) };7.14884e-01;1.00000e+00;9.22858e-01;Pipeline { filter(NO2(GT) < 7320000.0000) | map_noise(attribute=NO2(GT), percentage=0.05) };8.40921e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S1(CO), percentage=0.25) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.25) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=RH, percentage=0.25) };8.70800e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S5(O3), percentage=0.10) };8.68569e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) };8.68614e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S5(O3), percentage=0.25) }
datasets/airQuality_parallel.csv;nsga2;1;5;500;500;3.28960e+01;100;3;1;1.00000e+00;1.00000e+00;9.60000e-01;8.77456e-01;5.22581e-01;6.33570e-01;Pipeline { map_noise(attribute=C6H6(GT), percentage=0.10) | map_noise(attribute=CO(GT), percentage=0.25) };8.68734e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.01) | map_noise(attribute=C6H6(GT), percentage=0.05) };8.68734e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.01) | map_noise(attribute=C6H6(GT), percentage=0.05) };8.73319e-01;5.40031e-01;7.19878e-01;Pipeline { map_noise(attribute=PT08.S5(O3), percentage=0.01) | map_noise(attribute=CO(GT), percentage=0.25) };8.70128e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.10) };8.70128e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.10) }
datasets/airQuality_parallel.csv;nsga2;1;6;600;600;3.78890e+01;100;3;1;1.00000e+00;1.00000e+00;1.00000e+00;8.77456e-01;5.22581e-01;6.33570e-01;Pipeline { map_noise(attribute=C6H6(GT), percentage=0.10) | map_noise(attribute=CO(GT), percentage=0.25) };8.70800e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S2(NMHC), percentage=0.01) | map_noise(attribute=RH, percentage=0.10) };8.70800e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S2(NMHC), percentage=0.01) | map_noise(attribute=RH, percentage=0.10) };8.73779e-01;6.96113e-01;9.54024e-01;Pipeline { map_noise(attribute=NO2(GT), percentage=0.25) | map_noise(attribute=PT08.S5(O3), percentage=0.10) };8.72115e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S2(NMHC), percentage=0.05) | map_noise(attribute=PT08.S5(O3), percentage=0.05) };8.72115e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S2(NMHC), percentage=0.05) | map_noise(attribute=PT08.S5(O3), percentage=0.05) }
datasets/airQuality_parallel.csv;nsga2;1;7;700;700;4.23940e+01;100;3;1;1.00000e+00;1.00000e+00;9.80000e-01;8.77456e-01;5.22581e-01;6.33570e-01;Pipeline { map_noise(attribute=C6H6(GT), percentage=0.10) | map_noise(attribute=CO(GT), percentage=0.25) };8.72349e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S4(NO2), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) };8.72349e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S4(NO2), percentage=0.05) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) };8.74456e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S2(NMHC), percentage=0.10) | map_noise(attribute=RH, percentage=0.10) };8.73441e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S5(O3), percentage=0.10) | map_noise(attribute=T, percentage=0.10) };8.73441e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S5(O3), percentage=0.10) | map_noise(attribute=T, percentage=0.10) }
datasets/airQuality_parallel.csv;nsga2;1;8;800;800;4.70400e+01;100;3;2;1.00000e+00;1.00000e+00;9.70000e-01;8.77456e-01;5.22581e-01;6.33570e-01;Pipeline { map_noise(attribute=C6H6(GT), percentage=0.10) | map_noise(attribute=CO(GT), percentage=0.25) };8.73128e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=C6H6(GT), percentage=0.25) | map_noise(attribute=NMHC(GT), percentage=0.10) };8.73128e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=C6H6(GT), percentage=0.25) | map_noise(attribute=NMHC(GT), percentage=0.10) };8.74622e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S3(NOx), percentage=0.25) | map_noise(attribute=PT08.S2(NMHC), percentage=0.05) | map_noise(attribute=AH, percentage=0.01) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=PT08.S5(O3), percentage=0.05) };8.73631e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.10) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) };8.73631e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.10) | map_noise(attribute=PT08.S4(NO2), percentage=0.10) }
datasets/airQuality_parallel.csv;nsga2;1;9;900;900;5.23180e+01;100;3;1;1.00000e+00;1.00000e+00;9.50000e-01;8.77456e-01;5.22581e-01;6.33570e-01;Pipeline { map_noise(attribute=C6H6(GT), percentage=0.10) | map_noise(attribute=CO(GT), percentage=0.25) };8.73361e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=T, percentage=0.25) };8.73361e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=T, percentage=0.25) };8.74935e-01;5.22581e-01;8.08572e-01;Pipeline { map_noise(attribute=NMHC(GT), percentage=0.10) | map_noise(attribute=CO(GT), percentage=0.25) };8.73774e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=C6H6(GT), percentage=0.25) | map_noise(attribute=PT08.S3(NOx), percentage=0.05) };8.73774e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=C6H6(GT), percentage=0.25) | map_noise(attribute=PT08.S3(NOx), percentage=0.05) }
datasets/airQuality_parallel.csv;nsga2;1;10;1000;1000;5.67570e+01;100;3;1;1.00000e+00;1.00000e+00;1.00000e+00;8.77456e-01;5.22581e-01;6.33570e-01;Pipeline { map_noise(attribute=C6H6(GT), percentage=0.10) | map_noise(attribute=CO(GT), percentage=0.25) };8.73619e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.25) };8.73619e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=NOx(GT), percentage=0.25) };8.75222e-01;8.69110e-01;9.02212e-01;Pipeline { map_noise(attribute=NO2(GT), percentage=0.10) | map_noise(attribute=C6H6(GT), percentage=0.05) | map_noise(attribute=AH, percentage=0.25) | map_noise(attribute=CO(GT), percentage=0.10) | map_noise(attribute=PT08.S5(O3), percentage=0.05) };8.74196e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=C6H6(GT), percentage=0.25) | map_noise(attribute=T, percentage=0.01) };8.74196e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=C6H6(GT), percentage=0.25) | map_noise(attribute=T, percentage=0.01) }
