problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→results-similarity";"all→percentile[quality→privacy;100]→quality→performance-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→results-similarity;100]→quality→privacy";"all→percentile[quality→results-similarity;100]→quality→results-similarity";"all→percentile[quality→results-similarity;100]→quality→performance-similarity";"all→percentile[quality→results-similarity;100]→solution";"all→percentile[quality→performance-similarity;100]→quality→privacy";"all→percentile[quality→performance-similarity;100]→quality→results-similarity";"all→percentile[quality→performance-similarity;100]→quality→performance-similarity";"all→percentile[quality→performance-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→results-similarity";"all→percentile[quality→privacy;75]→quality→performance-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→results-similarity;75]→quality→privacy";"all→percentile[quality→results-similarity;75]→quality→results-similarity";"all→percentile[quality→results-similarity;75]→quality→performance-similarity";"all→percentile[quality→results-similarity;75]→solution";"all→percentile[quality→performance-similarity;75]→quality→privacy";"all→percentile[quality→performance-similarity;75]→quality→results-similarity";"all→percentile[quality→performance-similarity;75]→quality→performance-similarity";"all→percentile[quality→performance-similarity;75]→solution"
datasets/airQuality_parallel.csv;nsga2;1;1;100;100;1.21010e+01;100;2;60;9.80000e-01;9.80000e-01;4.10000e-01;8.79455e-01;4.50355e-01;9.23203e-01;Pipeline { map_aggregate(attribute=NO2(GT), function=avg, window=10) };8.46251e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S1(CO), function=min, window=7) };8.46251e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S1(CO), function=min, window=7) };5.41298e-01;9.32642e-01;7.97871e-01;Pipeline { map_duplicate(probability=0.60) };5.81999e-01;9.15541e-01;8.16029e-01;Pipeline { map_noise(attribute=PT08.S4(NO2), percentage=0.10) | map_noise(attribute=RH, percentage=0.01) | map_duplicate(probability=0.50) };8.32092e-01;4.83221e-01;7.48121e-01;Pipeline { map_aggregate(attribute=PT08.S3(NOx), function=avg, window=7) | map_aggregate(attribute=RH, function=max, window=5) | map_noise(attribute=PT08.S3(NOx), percentage=0.01) | map_noise(attribute=CO(GT), percentage=0.25) | map_aggregate(attribute=PT08.S5(O3), function=max, window=6) | filter(PT08.S1(CO) > 0.0000) | map_noise(attribute=C6H6(GT), percentage=0.10) }
datasets/airQuality_parallel.csv;nsga2;1;2;200;200;1.66960e+01;100;1;1;9.80000e-01;9.80000e-01;9.90000e-01;8.79699e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S5(O3), function=avg, window=3) };8.45876e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S2(NMHC), function=min, window=6) };8.45876e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S2(NMHC), function=min, window=6) };8.65819e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=PT08.S5(O3), percentage=0.25) };8.75298e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=C6H6(GT), percentage=0.25) };8.75298e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=C6H6(GT), percentage=0.25) }
datasets/airQuality_parallel.csv;nsga2;1;3;300;300;2.16690e+01;100;1;4;9.90000e-01;9.90000e-01;9.90000e-01;8.82217e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S4(NO2), function=avg, window=9) };8.45876e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S2(NMHC), function=min, window=6) };8.45876e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S2(NMHC), function=min, window=6) };8.72119e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S4(NO2), function=min, window=3) | map_noise(attribute=PT08.S5(O3), percentage=0.01) };8.67928e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S3(NOx), function=min, window=10) };8.67928e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S3(NOx), function=min, window=10) }
datasets/airQuality_parallel.csv;nsga2;1;4;400;400;2.56600e+01;100;1;1;1.00000e+00;1.00000e+00;9.10000e-01;8.84307e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=3) | map_noise(attribute=NMHC(GT), percentage=0.25) };8.69061e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=RH, percentage=0.05) };8.69061e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=RH, percentage=0.05) };8.78678e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S2(NMHC), function=avg, window=3) | map_noise(attribute=NMHC(GT), percentage=0.25) };8.71466e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=C6H6(GT), percentage=0.10) };8.71466e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=C6H6(GT), percentage=0.10) }
datasets/airQuality_parallel.csv;nsga2;1;5;500;500;2.95330e+01;100;1;1;1.00000e+00;1.00000e+00;9.10000e-01;8.85839e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=3) | map_noise(attribute=C6H6(GT), percentage=0.10) };8.71605e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S4(NO2), function=min, window=3) | map_aggregate(attribute=NMHC(GT), function=max, window=10) };8.71605e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S4(NO2), function=min, window=3) | map_aggregate(attribute=NMHC(GT), function=max, window=10) };8.79472e-01;4.82270e-01;9.23203e-01;Pipeline { map_aggregate(attribute=NO2(GT), function=avg, window=8) };8.73557e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=RH, percentage=0.25) };8.73557e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=RH, percentage=0.25) }
datasets/airQuality_parallel.csv;nsga2;1;6;600;600;3.38670e+01;100;1;4;1.00000e+00;1.00000e+00;9.70000e-01;8.85839e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=3) | map_noise(attribute=C6H6(GT), percentage=0.10) };8.73928e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=RH, function=min, window=5) };8.73928e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=RH, function=min, window=5) };8.80691e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S5(O3), function=avg, window=8) };8.78477e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S2(NMHC), function=avg, window=4) };8.78477e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S2(NMHC), function=avg, window=4) }
datasets/airQuality_parallel.csv;nsga2;1;7;700;700;3.82880e+01;100;1;1;1.00000e+00;1.00000e+00;9.40000e-01;8.86609e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=3) | map_noise(attribute=PT08.S2(NMHC), percentage=0.10) };8.76784e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S2(NMHC), function=avg, window=6) | map_noise(attribute=PT08.S1(CO), percentage=0.05) };8.76784e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S2(NMHC), function=avg, window=6) | map_noise(attribute=PT08.S1(CO), percentage=0.05) };8.81364e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=C6H6(GT), function=avg, window=5) };8.79161e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S1(CO), function=avg, window=10) };8.79161e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S1(CO), function=avg, window=10) }
datasets/airQuality_parallel.csv;nsga2;1;8;800;800;4.31800e+01;100;2;1;1.00000e+00;1.00000e+00;9.50000e-01;8.88139e-01;4.83126e-01;9.18060e-01;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=3) | map_aggregate(attribute=NO2(GT), function=avg, window=9) };8.78678e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S2(NMHC), function=avg, window=3) | map_noise(attribute=NMHC(GT), percentage=0.25) };8.78678e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S2(NMHC), function=avg, window=3) | map_noise(attribute=NMHC(GT), percentage=0.25) };8.81955e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S4(NO2), function=avg, window=7) };8.79705e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=8) };8.79705e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=8) }
datasets/airQuality_parallel.csv;nsga2;1;9;900;900;4.73460e+01;100;2;1;1.00000e+00;1.00000e+00;9.50000e-01;8.88139e-01;4.83126e-01;9.18060e-01;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=3) | map_aggregate(attribute=NO2(GT), function=avg, window=9) };8.79482e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.01) | map_aggregate(attribute=PT08.S1(CO), function=avg, window=6) };8.79482e-01;1.00000e+00;1.00000e+00;Pipeline { map_noise(attribute=AH, percentage=0.01) | map_aggregate(attribute=PT08.S1(CO), function=avg, window=6) };8.82492e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=NMHC(GT), function=avg, window=6) | map_aggregate(attribute=NOx(GT), function=min, window=5) };8.80414e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=AH, function=avg, window=7) | map_aggregate(attribute=NOx(GT), function=avg, window=5) };8.80414e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=AH, function=avg, window=7) | map_aggregate(attribute=NOx(GT), function=avg, window=5) }
datasets/airQuality_parallel.csv;nsga2;1;10;1000;1000;5.15880e+01;100;2;1;1.00000e+00;1.00000e+00;9.60000e-01;8.88139e-01;4.83126e-01;9.18060e-01;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=3) | map_aggregate(attribute=NO2(GT), function=avg, window=9) };8.80206e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=6) | map_noise(attribute=C6H6(GT), percentage=0.01) };8.80206e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=6) | map_noise(attribute=C6H6(GT), percentage=0.01) };8.82986e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=5) | map_noise(attribute=PT08.S2(NMHC), percentage=0.10) };8.81377e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=9) | map_aggregate(attribute=AH, function=avg, window=8) };8.81377e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=9) | map_aggregate(attribute=AH, function=avg, window=8) }
datasets/airQuality_parallel.csv;nsga2;1;11;1100;1100;5.55780e+01;100;2;2;1.00000e+00;1.00000e+00;9.40000e-01;8.88139e-01;4.83126e-01;9.18060e-01;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=3) | map_aggregate(attribute=NO2(GT), function=avg, window=9) };8.80851e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=C6H6(GT), function=avg, window=10) };8.80851e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=C6H6(GT), function=avg, window=10) };8.84183e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=4) };8.81960e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S4(NO2), function=avg, window=10) | map_noise(attribute=AH, percentage=0.10) };8.81960e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S4(NO2), function=avg, window=10) | map_noise(attribute=AH, percentage=0.10) }
datasets/airQuality_parallel.csv;nsga2;1;12;1200;1200;5.97960e+01;100;2;2;1.00000e+00;1.00000e+00;9.10000e-01;8.88328e-01;4.83126e-01;9.18060e-01;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=10) | map_aggregate(attribute=NO2(GT), function=avg, window=9) };8.81955e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S4(NO2), function=avg, window=7) };8.81955e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=PT08.S4(NO2), function=avg, window=7) };8.84564e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=3) | map_noise(attribute=AH, percentage=0.10) };8.82798e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=5) | map_aggregate(attribute=AH, function=avg, window=8) };8.82798e-01;1.00000e+00;1.00000e+00;Pipeline { map_aggregate(attribute=NOx(GT), function=min, window=5) | map_aggregate(attribute=AH, function=avg, window=8) }
