problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→results-similarity";"all→percentile[quality→privacy;100]→quality→performance-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→results-similarity;100]→quality→privacy";"all→percentile[quality→results-similarity;100]→quality→results-similarity";"all→percentile[quality→results-similarity;100]→quality→performance-similarity";"all→percentile[quality→results-similarity;100]→solution";"all→percentile[quality→performance-similarity;100]→quality→privacy";"all→percentile[quality→performance-similarity;100]→quality→results-similarity";"all→percentile[quality→performance-similarity;100]→quality→performance-similarity";"all→percentile[quality→performance-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→results-similarity";"all→percentile[quality→privacy;75]→quality→performance-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→results-similarity;75]→quality→privacy";"all→percentile[quality→results-similarity;75]→quality→results-similarity";"all→percentile[quality→results-similarity;75]→quality→performance-similarity";"all→percentile[quality→results-similarity;75]→solution";"all→percentile[quality→performance-similarity;75]→quality→privacy";"all→percentile[quality→performance-similarity;75]→quality→results-similarity";"all→percentile[quality→performance-similarity;75]→quality→performance-similarity";"all→percentile[quality→performance-similarity;75]→solution"
datasets/airQuality_parallel.csv;nsga2;1;1;100;100;6.64100e+00;100;5;83;1.00000e+00;1.00000e+00;1.40000e-01;8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(RH > 0.0000) };5.84076e-01;1.00000e+00;7.61586e-01;Pipeline { filter(NO2(GT) > 66.9000) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(RH > 0.0000) };0.00000e+00;0.00000e+00;0.00000e+00;Pipeline { filter(PT08.S3(NOx) < 96.5000) | filter(PT08.S4(NO2) > 43.3000) | filter(C6H6(GT) > 4.7100) | filter(PT08.S1(CO) < 336.0000) | filter(CO(GT) < 0.0000) | filter(RH > 0.0000) };0.00000e+00;0.00000e+00;0.00000e+00;Pipeline { filter(PT08.S4(NO2) < 578.0000) | filter(NOx(GT) < 0.6130) | filter(PT08.S2(NMHC) > 0.0022) | filter(NMHC(GT) > 40.1000) };0.00000e+00;0.00000e+00;0.00000e+00;Pipeline { filter(PT08.S3(NOx) < 96.5000) | filter(PT08.S4(NO2) > 43.3000) | filter(C6H6(GT) > 4.7100) | filter(PT08.S1(CO) < 336.0000) | filter(CO(GT) < 0.0000) | filter(RH > 0.0000) }
datasets/airQuality_parallel.csv;nsga2;1;2;200;200;9.51900e+00;100;11;58;1.00000e+00;9.90000e-01;2.40000e-01;8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(PT08.S5(O3) > 17.6000) };5.84076e-01;1.00000e+00;7.61586e-01;Pipeline { filter(NO2(GT) > 66.9000) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(PT08.S5(O3) > 17.6000) };9.47535e-02;8.06510e-01;2.85636e-01;Pipeline { filter(NOx(GT) > 462.0000) };9.47535e-02;8.06510e-01;2.85636e-01;Pipeline { filter(NOx(GT) > 462.0000) };9.47535e-02;8.06510e-01;2.85636e-01;Pipeline { filter(NOx(GT) > 462.0000) }
datasets/airQuality_parallel.csv;nsga2;1;3;300;300;1.17220e+01;100;39;6;1.00000e+00;9.90000e-01;3.40000e-01;8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(PT08.S3(NOx) < 24500000.0000) };5.84076e-01;1.00000e+00;7.61586e-01;Pipeline { filter(NO2(GT) > 66.9000) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(PT08.S3(NOx) < 24500000.0000) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(PT08.S3(NOx) < 27000000.0000) };7.07174e-01;1.00000e+00;8.99054e-01;Pipeline { filter(CO(GT) > 0.0116) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(PT08.S3(NOx) < 27000000.0000) }
datasets/airQuality_parallel.csv;nsga2;1;4;400;400;1.41930e+01;100;78;2;1.00000e+00;1.00000e+00;1.00000e-01;8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(RH > 4.9200) };7.10915e-01;1.00000e+00;8.77892e-01;Pipeline { filter(NO2(GT) > 6.6800) | filter(NO2(GT) > 0.0003) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(RH > 4.9200) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(PT08.S3(NOx) < 4530000000.0000) };7.11560e-01;1.00000e+00;8.78132e-01;Pipeline { filter(NOx(GT) > 0.5200) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(PT08.S3(NOx) < 4530000000.0000) }
datasets/airQuality_parallel.csv;nsga2;1;5;500;500;1.66540e+01;100;100;100;1.00000e+00;1.00000e+00;3.00000e-02;8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(PT08.S5(O3) > 0.0000) };7.11560e-01;1.00000e+00;8.78132e-01;Pipeline { filter(NOx(GT) < 1710.0000) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(PT08.S5(O3) > 0.0000) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(PT08.S3(NOx) < 453000000.0000) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(PT08.S5(O3) < 27500000.0000) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(PT08.S3(NOx) < 453000000.0000) }
datasets/airQuality_parallel.csv;nsga2;1;6;600;600;1.88960e+01;100;100;100;1.00000e+00;9.90000e-01;3.00000e-02;8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(RH > 0.0000) };7.07174e-01;1.00000e+00;8.99054e-01;Pipeline { filter(CO(GT) > 0.0000) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(RH > 0.0000) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(PT08.S2(NMHC) > 0.0000) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(C6H6(GT) < 73400000.0000) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(PT08.S2(NMHC) > 0.0000) }
datasets/airQuality_parallel.csv;nsga2;1;7;700;700;2.13080e+01;100;100;100;1.00000e+00;9.90000e-01;3.00000e-02;8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(PT08.S3(NOx) < 37500000.0000) };7.07174e-01;1.00000e+00;8.99054e-01;Pipeline { filter(CO(GT) > 0.0005) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(PT08.S3(NOx) < 37500000.0000) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(RH > 4.6400) | filter(PT08.S5(O3) < 1970000000.0000) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(RH < 11600000.0000) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(RH > 4.6400) | filter(PT08.S5(O3) < 1970000000.0000) }
datasets/airQuality_parallel.csv;nsga2;1;8;800;800;2.41780e+01;100;100;100;1.00000e+00;1.00000e+00;3.00000e-02;8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(PT08.S1(CO) > 0.0000) };7.07174e-01;1.00000e+00;8.99054e-01;Pipeline { filter(CO(GT) < 11600000.0000) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(PT08.S1(CO) > 0.0000) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(PT08.S2(NMHC) < 3160000.0000) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(PT08.S3(NOx) > 0.0000) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(PT08.S2(NMHC) < 3160000.0000) }
datasets/airQuality_parallel.csv;nsga2;1;9;900;900;2.65750e+01;100;100;100;1.00000e+00;1.00000e+00;3.00000e-02;8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(PT08.S4(NO2) > 0.5400) | filter(RH > 0.0000) };7.11560e-01;1.00000e+00;8.78132e-01;Pipeline { filter(NOx(GT) < 5400000.0000) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(PT08.S4(NO2) > 0.5400) | filter(RH > 0.0000) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(RH > 1.5400) | filter(PT08.S4(NO2) > 0.0000) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(RH > 0.0000) | filter(PT08.S1(CO) < 8950000.0000) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(RH > 1.5400) | filter(PT08.S4(NO2) > 0.0000) }
datasets/airQuality_parallel.csv;nsga2;1;10;1000;1000;2.90490e+01;100;100;100;1.00000e+00;9.90000e-01;3.00000e-02;8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(C6H6(GT) < 26700000.0000) };7.11560e-01;1.00000e+00;8.78132e-01;Pipeline { filter(NOx(GT) < 145000000.0000) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(C6H6(GT) < 26700000.0000) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(RH > 0.0000) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(C6H6(GT) < 64100000.0000) };8.38116e-01;9.36567e-01;9.19684e-01;Pipeline { filter(RH > 0.0000) }
