problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→performance-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→performance-similarity;100]→quality→privacy";"all→percentile[quality→performance-similarity;100]→quality→performance-similarity";"all→percentile[quality→performance-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→performance-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→performance-similarity;75]→quality→privacy";"all→percentile[quality→performance-similarity;75]→quality→performance-similarity";"all→percentile[quality→performance-similarity;75]→solution"
datasets/geolife_60mins.csv;nsga2;1;1;100;100;8.60800e+00;100;5;39;9.20000e-01;9.20000e-01;6.10000e-01;7.31639e-01;7.42985e-01;Pipeline { filter(avg_X > 0.0000) | filter(avg_X > 0.0005) | map_noise(attribute=avg_X, percentage=0.05) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_X < 8150000000.0000) };2.96416e-01;4.17605e-01;Pipeline { filter(avg_Y > 0.0000) | filter(avg_Y > 0.0000) | map_duplicate(probability=0.80) | filter(avg_X < 81100000.0000) | map_noise(attribute=avg_X, percentage=0.01) | filter(avg_Y < 1370000000.0000) | map_duplicate(probability=0.60) | filter(avg_Y > 0.0257) | filter(avg_X > 0.0005) };6.67936e-01;7.16758e-01;Pipeline { map_noise(attribute=avg_X, percentage=0.10) | map_duplicate(probability=0.20) | filter(avg_X > 0.0041) }
datasets/geolife_60mins.csv;nsga2;1;2;200;200;1.46350e+01;100;9;2;9.20000e-01;9.10000e-01;9.30000e-01;7.99200e-01;7.23327e-01;Pipeline { map_noise(attribute=avg_X, percentage=0.05) | filter(avg_X > 0.0000) | filter(avg_X < 642000.0000) | filter(avg_X > 3.4000) | filter(avg_X < 7310000.0000) | filter(avg_X > 0.0000) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_X < 8150000000.0000) };4.52843e-01;8.18177e-01;Pipeline { map_noise(attribute=avg_X, percentage=0.01) };2.66384e-01;7.67487e-01;Pipeline { map_duplicate(probability=0.70) }
datasets/geolife_60mins.csv;nsga2;1;3;300;300;2.05420e+01;100;20;1;9.50000e-01;9.40000e-01;8.40000e-01;7.99200e-01;7.23327e-01;Pipeline { map_noise(attribute=avg_X, percentage=0.05) | filter(avg_X > 0.0000) | filter(avg_X < 642000.0000) | filter(avg_X > 3.4000) | filter(avg_X < 7310000.0000) | filter(avg_X > 0.0000) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_X < 8350000000.0000) };7.05811e-01;7.32820e-01;Pipeline { map_noise(attribute=avg_X, percentage=0.05) | filter(avg_X > 1910.0000) | map_noise(attribute=avg_Y, percentage=0.25) | map_noise(attribute=avg_Y, percentage=0.01) };4.14168e-01;8.28148e-01;Pipeline { filter(avg_Y > 0.0000) | filter(avg_Y > 0.5080) }
datasets/geolife_60mins.csv;nsga2;1;4;400;400;2.47850e+01;100;43;2;9.60000e-01;9.40000e-01;5.70000e-01;7.99619e-01;7.22278e-01;Pipeline { map_noise(attribute=avg_X, percentage=0.05) | filter(avg_X > 0.0000) | filter(avg_X < 642000.0000) | filter(avg_X > 3.4000) | filter(avg_X < 7310000.0000) | filter(avg_X > 0.0315) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_X < 8150000000.0000) };7.31092e-01;8.85427e-01;Pipeline { filter(avg_X > 56.2000) | filter(avg_X > 0.8410) };7.31092e-01;8.85427e-01;Pipeline { filter(avg_X > 0.0745) | filter(avg_X > 0.5080) }
datasets/geolife_60mins.csv;nsga2;1;5;500;500;2.82980e+01;100;76;2;1.00000e+00;9.90000e-01;3.80000e-01;8.03535e-01;7.16538e-01;Pipeline { map_noise(attribute=avg_X, percentage=0.25) | filter(avg_X > 0.0000) | filter(avg_X < 642000.0000) | filter(avg_X > 3.4000) | filter(avg_X < 7310000.0000) | filter(avg_X > 0.0000) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_Y < 8150000000.0000) };7.31092e-01;8.85427e-01;Pipeline { filter(avg_X > 6.8600) | filter(avg_X > 0.0000) };7.31092e-01;8.85427e-01;Pipeline { filter(avg_X > 0.0000) }
datasets/geolife_60mins.csv;nsga2;1;6;600;600;3.09690e+01;100;100;100;1.00000e+00;9.90000e-01;1.70000e-01;8.03535e-01;7.16538e-01;Pipeline { map_noise(attribute=avg_X, percentage=0.25) | filter(avg_X > 0.0000) | filter(avg_X < 642000.0000) | filter(avg_X > 3.4000) | filter(avg_X < 7310000.0000) | filter(avg_X > 0.0000) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_Y < 8150000000.0000) };7.31092e-01;8.85427e-01;Pipeline { filter(avg_X > 56.2000) | filter(avg_X > 0.8410) };7.31092e-01;8.85427e-01;Pipeline { filter(avg_X > 6.8600) | filter(avg_X > 0.0000) }
datasets/geolife_60mins.csv;nsga2;1;7;700;700;3.40680e+01;100;100;100;1.00000e+00;1.00000e+00;1.20000e-01;8.08655e-01;7.31785e-01;Pipeline { map_noise(attribute=avg_X, percentage=0.25) | filter(avg_X > 0.0000) | filter(avg_Y < 642000.0000) | filter(avg_X > 3.4000) | filter(avg_X < 7310000.0000) | filter(avg_X > 0.0000) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_Y < 8150000000.0000) };7.31092e-01;8.85427e-01;Pipeline { filter(avg_X > 0.0000) | filter(avg_X < 5800000000.0000) };7.31092e-01;8.85427e-01;Pipeline { filter(avg_X > 0.0000) }
datasets/geolife_60mins.csv;nsga2;1;8;800;800;3.72710e+01;100;100;100;1.00000e+00;1.00000e+00;1.00000e-01;8.11272e-01;7.32430e-01;Pipeline { map_noise(attribute=avg_X, percentage=0.25) | filter(avg_X > 0.0000) | filter(avg_Y < 642000.0000) | filter(avg_X > 3400.0000) | filter(avg_X < 7310000.0000) | filter(avg_X > 0.0000) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_Y < 8150000000.0000) };7.31092e-01;8.85427e-01;Pipeline { filter(avg_X > 0.3700) | filter(avg_X > 0.0000) };7.31092e-01;8.85427e-01;Pipeline { filter(avg_X > 0.8600) | filter(avg_X > 0.0000) }
datasets/geolife_60mins.csv;nsga2;1;9;900;900;4.05080e+01;100;100;100;1.00000e+00;9.90000e-01;1.00000e-01;8.11272e-01;7.32430e-01;Pipeline { map_noise(attribute=avg_X, percentage=0.25) | filter(avg_X > 0.0000) | filter(avg_Y < 642000.0000) | filter(avg_X > 3400.0000) | filter(avg_X < 7310000.0000) | filter(avg_X > 0.0000) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_Y < 8150000000.0000) };7.31092e-01;8.85427e-01;Pipeline { filter(avg_X > 8.8600) | filter(avg_X > 0.0000) };7.31092e-01;8.85427e-01;Pipeline { filter(avg_X > 9.5200) | filter(avg_X > 0.0000) }
datasets/geolife_60mins.csv;nsga2;1;10;1000;1000;4.39400e+01;100;100;100;1.00000e+00;9.90000e-01;1.00000e-01;8.11272e-01;7.32430e-01;Pipeline { map_noise(attribute=avg_X, percentage=0.25) | filter(avg_X > 0.0000) | filter(avg_Y < 642000.0000) | filter(avg_X > 3400.0000) | filter(avg_X < 7310000.0000) | filter(avg_X > 0.0000) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_Y < 8150000000.0000) };7.31092e-01;8.85427e-01;Pipeline { filter(avg_X < 83700000.0000) | filter(avg_X > 0.6410) };7.31092e-01;8.85427e-01;Pipeline { filter(avg_X > 594.0000) }
