problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→performance-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→performance-similarity;100]→quality→privacy";"all→percentile[quality→performance-similarity;100]→quality→performance-similarity";"all→percentile[quality→performance-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→performance-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→performance-similarity;75]→quality→privacy";"all→percentile[quality→performance-similarity;75]→quality→performance-similarity";"all→percentile[quality→performance-similarity;75]→solution"
datasets/geolife_60mins.csv;nsga2;1;1;100;100;6.01400e+00;100;2;34;9.60000e-01;9.60000e-01;6.70000e-01;8.19151e-01;7.49488e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_X, percentage=0.25) | map_aggregate(attribute=avg_Y, function=max, window=6) | filter(avg_X > 0.0000) | map_noise(attribute=avg_Y, percentage=0.10) };6.49494e-01;8.99166e-01;Pipeline { filter(avg_Y < 165000.0000) };3.78121e-01;8.83462e-01;Pipeline { map_duplicate(probability=0.20) };3.05384e-01;6.86517e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.10) | map_duplicate(probability=0.50) | map_aggregate(attribute=avg_Y, function=max, window=3) | map_aggregate(attribute=avg_Y, function=max, window=10) | map_aggregate(attribute=avg_Y, function=avg, window=9) | map_noise(attribute=avg_Y, percentage=0.25) | map_aggregate(attribute=avg_X, function=avg, window=3) | map_aggregate(attribute=avg_X, function=min, window=6) | filter(avg_Y > 9.7600) }
datasets/geolife_60mins.csv;nsga2;1;2;200;200;1.17360e+01;100;3;5;9.60000e-01;9.60000e-01;1.00000e+00;8.19151e-01;7.49488e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_X, percentage=0.25) | map_aggregate(attribute=avg_Y, function=max, window=6) | filter(avg_X > 0.0000) | map_noise(attribute=avg_Y, percentage=0.10) };6.70776e-01;9.70329e-01;Pipeline { filter(avg_Y < 965000.0000) };4.73575e-01;7.59692e-01;Pipeline { map_noise(attribute=avg_X, percentage=0.25) };6.73652e-01;7.69670e-01;Pipeline { map_aggregate(attribute=avg_Y, function=min, window=10) }
datasets/geolife_60mins.csv;nsga2;1;3;300;300;1.85610e+01;100;5;6;9.70000e-01;9.70000e-01;9.90000e-01;8.19151e-01;7.49488e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_X, percentage=0.25) | map_aggregate(attribute=avg_Y, function=max, window=6) | filter(avg_X > 0.0000) | map_noise(attribute=avg_Y, percentage=0.10) };6.70776e-01;9.70329e-01;Pipeline { filter(avg_Y < 965000.0000) };5.77591e-01;7.57814e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=10) };4.52743e-01;7.91729e-01;Pipeline { map_aggregate(attribute=avg_X, function=min, window=4) }
datasets/geolife_60mins.csv;nsga2;1;4;400;400;2.34560e+01;100;7;13;9.80000e-01;9.80000e-01;9.40000e-01;8.30282e-01;5.94409e-01;Pipeline { map_aggregate(attribute=avg_X, function=avg, window=9) | map_duplicate(probability=0.40) | filter(avg_X > 0.5210) | map_aggregate(attribute=avg_Y, function=avg, window=5) | filter(avg_Y > 0.0000) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_Y < 5970000.0000) };7.15235e-01;7.30562e-01;Pipeline { map_aggregate(attribute=avg_Y, function=min, window=6) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_X, percentage=0.10) | map_noise(attribute=avg_Y, percentage=0.01) | filter(avg_X > 0.0000) };6.87456e-01;8.14382e-01;Pipeline { filter(avg_Y > 88.1000) | filter(avg_X > 0.9800) }
datasets/geolife_60mins.csv;nsga2;1;5;500;500;2.79340e+01;100;14;1;9.80000e-01;9.80000e-01;8.20000e-01;8.30282e-01;5.94409e-01;Pipeline { map_aggregate(attribute=avg_X, function=avg, window=9) | map_duplicate(probability=0.40) | filter(avg_X > 0.5210) | map_aggregate(attribute=avg_Y, function=avg, window=5) | filter(avg_Y > 0.0000) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_Y < 165000000.0000) };7.43509e-01;7.49506e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_X, percentage=0.25) | map_aggregate(attribute=avg_Y, function=max, window=6) | filter(avg_X > 0.0935) | map_noise(attribute=avg_Y, percentage=0.25) };3.78121e-01;8.83462e-01;Pipeline { map_duplicate(probability=0.20) }
datasets/geolife_60mins.csv;nsga2;1;6;600;600;3.23070e+01;100;26;5;1.00000e+00;1.00000e+00;7.30000e-01;8.46286e-01;5.67132e-01;Pipeline { map_aggregate(attribute=avg_X, function=avg, window=9) | map_duplicate(probability=0.40) | filter(avg_X > 0.5210) | map_aggregate(attribute=avg_Y, function=avg, window=10) | filter(avg_Y > 0.0000) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_X < 8400000000.0000) };8.05712e-01;5.92431e-01;Pipeline { map_aggregate(attribute=avg_X, function=avg, window=9) | map_duplicate(probability=0.40) | filter(avg_X > 0.5310) | map_aggregate(attribute=avg_Y, function=avg, window=5) | filter(avg_Y > 0.0000) };7.31092e-01;8.85427e-01;Pipeline { filter(avg_X > 0.8810) | filter(avg_X > 6.9800) }
datasets/geolife_60mins.csv;nsga2;1;7;700;700;3.63570e+01;100;49;20;1.00000e+00;1.00000e+00;5.00000e-01;8.56905e-01;5.95259e-01;Pipeline { map_aggregate(attribute=avg_X, function=min, window=9) | map_duplicate(probability=0.40) | filter(avg_X > 0.7210) | map_aggregate(attribute=avg_Y, function=avg, window=5) | filter(avg_Y > 0.0000) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_X < 965000000.0000) };8.20562e-01;7.54703e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=9) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_X, percentage=0.25) | map_aggregate(attribute=avg_Y, function=max, window=6) | filter(avg_X > 0.0000) | map_noise(attribute=avg_Y, percentage=0.10) };6.68123e-01;9.54125e-01;Pipeline { filter(avg_Y < 927000.0000) }
datasets/geolife_60mins.csv;nsga2;1;8;800;800;3.97800e+01;100;78;14;1.00000e+00;9.90000e-01;3.20000e-01;8.63518e-01;6.18709e-01;Pipeline { map_aggregate(attribute=avg_Y, function=min, window=4) | map_duplicate(probability=0.40) | filter(avg_X > 0.5260) | map_aggregate(attribute=avg_Y, function=avg, window=5) | filter(avg_Y > 0.0000) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_Y < 5970000.0000) };7.67512e-01;7.55672e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=10) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_X, percentage=0.25) | map_aggregate(attribute=avg_X, function=max, window=6) | filter(avg_X > 0.0000) | map_noise(attribute=avg_Y, percentage=0.10) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_Y < 188000000.0000) }
datasets/geolife_60mins.csv;nsga2;1;9;900;900;4.31610e+01;100;100;100;1.00000e+00;9.80000e-01;1.20000e-01;8.63518e-01;6.18709e-01;Pipeline { map_aggregate(attribute=avg_Y, function=min, window=4) | map_duplicate(probability=0.40) | filter(avg_X > 0.5260) | map_aggregate(attribute=avg_Y, function=avg, window=5) | filter(avg_Y > 0.0000) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_Y < 13200000.0000) };7.31092e-01;8.85427e-01;Pipeline { filter(avg_X > 0.0003) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_X < 105000000.0000) }
datasets/geolife_60mins.csv;nsga2;1;10;1000;1000;4.57190e+01;100;100;100;1.00000e+00;9.60000e-01;1.30000e-01;8.63518e-01;6.18709e-01;Pipeline { map_aggregate(attribute=avg_Y, function=min, window=4) | map_duplicate(probability=0.40) | filter(avg_X > 0.5260) | map_aggregate(attribute=avg_Y, function=avg, window=5) | filter(avg_Y > 0.0000) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_Y < 766000000.0000) };7.31092e-01;8.85427e-01;Pipeline { filter(avg_X > 0.0003) };7.31092e-01;8.85427e-01;Pipeline { filter(avg_X > 0.8840) | filter(avg_X > 6.9000) }
