problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→performance-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→performance-similarity;100]→quality→privacy";"all→percentile[quality→performance-similarity;100]→quality→performance-similarity";"all→percentile[quality→performance-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→performance-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→performance-similarity;75]→quality→privacy";"all→percentile[quality→performance-similarity;75]→quality→performance-similarity";"all→percentile[quality→performance-similarity;75]→solution"
datasets/geolife_60mins.csv;nsga2;1;1;100;100;4.32700e+00;100;8;67;1.00000e+00;1.00000e+00;1.50000e-01;7.31092e-01;8.17732e-01;Pipeline { filter(avg_X > 0.0000) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_Y < 3410000.0000) };2.02007e-02;2.70142e-02;Pipeline { filter(avg_X < 0.0108) | filter(avg_X < 0.0010) };2.02007e-02;2.70142e-02;Pipeline { filter(avg_X < 0.0108) | filter(avg_X < 0.0010) }
datasets/geolife_60mins.csv;nsga2;1;2;200;200;7.01400e+00;100;19;11;1.00000e+00;1.00000e+00;2.30000e-01;7.31092e-01;8.17732e-01;Pipeline { filter(avg_X > 1220.0000) | filter(avg_X > 0.0006) | filter(avg_X > 2.4800) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_Y < 24500000.0000) };6.87470e-01;7.04727e-01;Pipeline { filter(avg_Y > 0.0037) | filter(avg_X > 0.5490) };4.14168e-01;7.26608e-01;Pipeline { filter(avg_Y > 0.3200) }
datasets/geolife_60mins.csv;nsga2;1;3;300;300;9.56400e+00;100;41;1;1.00000e+00;9.90000e-01;1.70000e-01;7.31092e-01;8.17732e-01;Pipeline { filter(avg_X > 17.6000) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_Y < 23500000.0000) };7.31092e-01;8.17732e-01;Pipeline { filter(avg_X > 0.0460) };7.31092e-01;8.17732e-01;Pipeline { filter(avg_X > 0.0000) }
datasets/geolife_60mins.csv;nsga2;1;4;400;400;1.25740e+01;100;77;11;1.00000e+00;1.00000e+00;1.10000e-01;8.08523e-01;8.13756e-01;Pipeline { filter(avg_Y < 830000.0000) | filter(avg_X > 3.1800) | filter(avg_X > 9.5100) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_Y < 3410000.0000) };7.31092e-01;8.17732e-01;Pipeline { filter(avg_X > 0.0460) };7.31092e-01;8.17732e-01;Pipeline { filter(avg_X > 3.4000) }
datasets/geolife_60mins.csv;nsga2;1;5;500;500;1.54590e+01;100;100;100;1.00000e+00;1.00000e+00;4.00000e-02;8.08523e-01;8.13756e-01;Pipeline { filter(avg_Y < 830000.0000) | filter(avg_X > 3.1800) | filter(avg_X > 9.5100) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_Y < 14500000.0000) };7.31092e-01;8.17732e-01;Pipeline { filter(avg_X > 2.4000) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_Y < 23000000.0000) }
datasets/geolife_60mins.csv;nsga2;1;6;600;600;1.80120e+01;100;100;100;1.00000e+00;9.90000e-01;5.00000e-02;8.09858e-01;8.14703e-01;Pipeline { filter(avg_Y < 850000.0000) | filter(avg_X > 3.1800) | filter(avg_X > 9.5100) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_X < 763000000.0000) };7.31092e-01;8.17732e-01;Pipeline { filter(avg_X > 3.4000) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_Y < 63900000.0000) }
datasets/geolife_60mins.csv;nsga2;1;7;700;700;2.05670e+01;100;100;100;1.00000e+00;9.90000e-01;6.00000e-02;8.09858e-01;8.14703e-01;Pipeline { filter(avg_Y < 850000.0000) | filter(avg_X > 3.1800) | filter(avg_X > 9.5100) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_Y < 21200000.0000) };7.31092e-01;8.17732e-01;Pipeline { filter(avg_X > 108.0000) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_Y < 825000000.0000) }
datasets/geolife_60mins.csv;nsga2;1;8;800;800;2.31520e+01;100;100;100;1.00000e+00;1.00000e+00;6.00000e-02;8.09858e-01;8.14703e-01;Pipeline { filter(avg_Y < 850000.0000) | filter(avg_X > 3.1800) | filter(avg_X > 9.5100) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_Y < 14500000.0000) };7.31092e-01;8.17732e-01;Pipeline { filter(avg_X > 0.0000) | filter(avg_X > 0.0006) | filter(avg_X > 2.5800) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_X < 72100000.0000) }
datasets/geolife_60mins.csv;nsga2;1;9;900;900;2.55640e+01;100;100;100;1.00000e+00;1.00000e+00;8.00000e-02;8.24433e-01;7.02729e-01;Pipeline { filter(avg_Y < 850000.0000) | filter(avg_X > 3.1800) | filter(avg_Y > 9.5000) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_Y < 3500000.0000) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_Y < 70200000.0000) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_X < 29700000.0000) }
datasets/geolife_60mins.csv;nsga2;1;10;1000;1000;2.79470e+01;100;100;100;1.00000e+00;1.00000e+00;8.00000e-02;8.24433e-01;7.02729e-01;Pipeline { filter(avg_Y < 850000.0000) | filter(avg_X > 3.1800) | filter(avg_Y > 9.5000) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_Y < 73200000.0000) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_X < 749000000.0000) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_X < 88300000.0000) }
