problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→performance-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→performance-similarity;100]→quality→privacy";"all→percentile[quality→performance-similarity;100]→quality→performance-similarity";"all→percentile[quality→performance-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→performance-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→performance-similarity;75]→quality→privacy";"all→percentile[quality→performance-similarity;75]→quality→performance-similarity";"all→percentile[quality→performance-similarity;75]→solution"
datasets/geolife_60mins.csv;nsga2;1;1;100;100;8.27600e+00;100;6;1;9.20000e-01;9.20000e-01;6.10000e-01;9.29568e-01;7.33882e-01;Pipeline { map_noise(attribute=avg_X, percentage=0.25) | filter(avg_X > 12700.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_X < 8150000000.0000) };5.54310e-01;6.25333e-01;Pipeline { map_duplicate(probability=0.90) | filter(avg_Y > 0.0073) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_X, percentage=0.05) };8.48316e-01;7.17482e-01;Pipeline { map_noise(attribute=avg_X, percentage=0.10) | map_duplicate(probability=0.20) | filter(avg_X > 0.0041) }
datasets/geolife_60mins.csv;nsga2;1;2;200;200;1.49640e+01;100;12;2;9.20000e-01;9.10000e-01;9.00000e-01;9.29573e-01;7.33589e-01;Pipeline { map_noise(attribute=avg_X, percentage=0.25) | filter(avg_X > 0.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_X < 8150000000.0000) };9.20270e-01;7.78517e-01;Pipeline { filter(avg_Y < 7370000.0000) | map_noise(attribute=avg_Y, percentage=0.10) };9.20937e-01;7.95691e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.05) }
datasets/geolife_60mins.csv;nsga2;1;3;300;300;1.99440e+01;100;25;2;9.60000e-01;9.50000e-01;7.60000e-01;9.30384e-01;7.33844e-01;Pipeline { filter(avg_X > 0.0000) | map_noise(attribute=avg_X, percentage=0.25) | map_noise(attribute=avg_Y, percentage=0.01) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_X < 8150000000.0000) };9.26629e-01;8.85427e-01;Pipeline { filter(avg_X > 9.5400) };7.65257e-01;8.81610e-01;Pipeline { map_duplicate(probability=0.20) }
datasets/geolife_60mins.csv;nsga2;1;4;400;400;2.33190e+01;100;46;14;9.80000e-01;9.70000e-01;5.80000e-01;9.30384e-01;7.33844e-01;Pipeline { filter(avg_X > 0.0000) | map_noise(attribute=avg_X, percentage=0.25) | map_noise(attribute=avg_Y, percentage=0.01) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 7670000000.0000) };9.27359e-01;7.41328e-01;Pipeline { map_noise(attribute=avg_X, percentage=0.05) | filter(avg_X > 12700.0000) };9.26629e-01;8.85427e-01;Pipeline { filter(avg_X > 0.0954) }
datasets/geolife_60mins.csv;nsga2;1;5;500;500;2.66580e+01;100;11;2;1.00000e+00;9.80000e-01;3.50000e-01;9.31479e-01;9.44208e-01;Pipeline { filter(avg_Y < 642000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_X < 8150000000.0000) };9.26629e-01;8.85427e-01;Pipeline { filter(avg_X > 0.9000) };9.26629e-01;8.85427e-01;Pipeline { filter(avg_X > 9.5400) }
datasets/geolife_60mins.csv;nsga2;1;6;600;600;2.98220e+01;100;23;75;1.00000e+00;9.90000e-01;1.90000e-01;9.31479e-01;9.44208e-01;Pipeline { filter(avg_Y < 642000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 8150000000.0000) };9.26629e-01;8.85427e-01;Pipeline { filter(avg_X > 80.0000) };8.32952e-01;9.17476e-01;Pipeline { map_duplicate(probability=0.10) }
datasets/geolife_60mins.csv;nsga2;1;7;700;700;3.31420e+01;100;48;50;1.00000e+00;1.00000e+00;2.30000e-01;9.34324e-01;9.11258e-01;Pipeline { filter(avg_Y < 271000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_X < 8150000.0000) };9.26629e-01;8.85427e-01;Pipeline { filter(avg_X > 3.7500) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_X < 8750000.0000) }
datasets/geolife_60mins.csv;nsga2;1;8;800;800;3.57630e+01;100;77;18;1.00000e+00;1.00000e+00;2.90000e-01;9.34324e-01;9.11258e-01;Pipeline { filter(avg_Y < 271000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 5100000.0000) };9.20532e-01;9.81202e-01;Pipeline { filter(avg_Y < 1250000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_X < 72200000.0000) }
datasets/geolife_60mins.csv;nsga2;1;9;900;900;3.81270e+01;100;100;100;1.00000e+00;1.00000e+00;1.50000e-01;9.36842e-01;9.28302e-01;Pipeline { filter(avg_Y < 411000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_X < 72800000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_X < 8150000000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 3150000.0000) }
datasets/geolife_60mins.csv;nsga2;1;10;1000;1000;4.10170e+01;100;100;100;1.00000e+00;1.00000e+00;1.80000e-01;9.36842e-01;9.28302e-01;Pipeline { filter(avg_Y < 411000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 5790000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_X < 9190000000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 94200000.0000) }
datasets/geolife_60mins.csv;nsga2;1;11;1100;1100;4.41900e+01;100;100;100;1.00000e+00;1.00000e+00;1.80000e-01;9.36842e-01;9.28302e-01;Pipeline { filter(avg_Y < 411000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 4150000000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_X < 93300000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 8180000000.0000) }
datasets/geolife_60mins.csv;nsga2;1;12;1200;1200;4.69220e+01;100;100;100;1.00000e+00;1.00000e+00;2.10000e-01;9.36842e-01;9.28302e-01;Pipeline { filter(avg_Y < 411000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 8120000000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 519000000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 5250000.0000) }
datasets/geolife_60mins.csv;nsga2;1;13;1300;1300;4.95440e+01;100;100;100;1.00000e+00;1.00000e+00;2.20000e-01;9.52770e-01;8.11938e-01;Pipeline { filter(avg_Y > 91.4000) | map_duplicate(probability=0.10) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 71900000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 86200000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_X < 920000000.0000) }
