problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→performance-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→performance-similarity;100]→quality→privacy";"all→percentile[quality→performance-similarity;100]→quality→performance-similarity";"all→percentile[quality→performance-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→performance-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→performance-similarity;75]→quality→privacy";"all→percentile[quality→performance-similarity;75]→quality→performance-similarity";"all→percentile[quality→performance-similarity;75]→solution"
datasets/geolife_60mins.csv;nsga2;1;1;100;100;9.25400e+00;100;2;34;9.60000e-01;9.60000e-01;6.70000e-01;9.53124e-01;7.49735e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_X, percentage=0.25) | map_aggregate(attribute=avg_Y, function=max, window=6) | filter(avg_X > 0.0000) | map_noise(attribute=avg_Y, percentage=0.10) };9.26721e-01;8.99166e-01;Pipeline { filter(avg_Y < 165000.0000) };6.11294e-01;8.06890e-01;Pipeline { map_duplicate(probability=0.50) };5.98077e-01;6.85761e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.10) | map_duplicate(probability=0.50) | map_aggregate(attribute=avg_Y, function=max, window=3) | map_aggregate(attribute=avg_Y, function=max, window=10) | map_aggregate(attribute=avg_Y, function=avg, window=9) | map_noise(attribute=avg_Y, percentage=0.25) | map_aggregate(attribute=avg_X, function=avg, window=3) | map_aggregate(attribute=avg_X, function=min, window=6) | filter(avg_Y > 9.7600) }
datasets/geolife_60mins.csv;nsga2;1;2;200;200;1.80030e+01;100;4;5;9.60000e-01;9.50000e-01;1.00000e+00;9.55054e-01;7.51295e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_Y, percentage=0.01) | map_aggregate(attribute=avg_Y, function=max, window=6) | filter(avg_X > 0.0000) | map_noise(attribute=avg_Y, percentage=0.10) };8.35717e-01;9.17370e-01;Pipeline { map_duplicate(probability=0.10) };9.00060e-01;7.20214e-01;Pipeline { map_noise(attribute=avg_X, percentage=0.05) | filter(avg_X > 0.0026) | map_noise(attribute=avg_Y, percentage=0.05) | map_aggregate(attribute=avg_Y, function=max, window=6) | map_noise(attribute=avg_X, percentage=0.10) | filter(avg_Y > 0.0000) };9.17617e-01;7.68169e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.25) }
datasets/geolife_60mins.csv;nsga2;1;3;300;300;2.67780e+01;100;5;4;9.60000e-01;9.60000e-01;9.70000e-01;9.61228e-01;7.58853e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.05) | map_aggregate(attribute=avg_Y, function=avg, window=10) | filter(avg_Y < 705000000.0000) | map_aggregate(attribute=avg_X, function=max, window=3) };8.35717e-01;9.17370e-01;Pipeline { map_duplicate(probability=0.10) };9.22367e-01;7.72886e-01;Pipeline { map_aggregate(attribute=avg_Y, function=min, window=8) };5.70792e-01;7.86674e-01;Pipeline { map_duplicate(probability=0.60) }
datasets/geolife_60mins.csv;nsga2;1;4;400;400;3.43890e+01;100;12;4;9.80000e-01;9.80000e-01;8.60000e-01;9.61928e-01;7.57559e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.05) | map_aggregate(attribute=avg_Y, function=avg, window=10) | filter(avg_Y < 705000000.0000) | map_aggregate(attribute=avg_X, function=max, window=9) };8.35717e-01;9.17370e-01;Pipeline { map_duplicate(probability=0.10) };9.49875e-01;7.55561e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=4) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_Y, percentage=0.01) | map_aggregate(attribute=avg_Y, function=max, window=6) | filter(avg_X > 0.0000) | map_noise(attribute=avg_Y, percentage=0.01) };8.77344e-01;8.28148e-01;Pipeline { filter(avg_Y > 4.0400) }
datasets/geolife_60mins.csv;nsga2;1;5;500;500;4.07110e+01;100;9;21;9.80000e-01;9.70000e-01;7.90000e-01;9.61928e-01;7.57559e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.05) | map_aggregate(attribute=avg_Y, function=avg, window=10) | filter(avg_Y < 705000000.0000) | map_aggregate(attribute=avg_X, function=max, window=9) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_X < 8110000.0000) };9.54638e-01;7.50748e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_X, percentage=0.25) | map_aggregate(attribute=avg_Y, function=max, window=6) | filter(avg_X > 0.0000) | map_aggregate(attribute=avg_X, function=avg, window=3) };7.65340e-01;8.82528e-01;Pipeline { map_duplicate(probability=0.20) }
datasets/geolife_60mins.csv;nsga2;1;6;600;600;4.88540e+01;100;17;1;9.90000e-01;9.80000e-01;7.10000e-01;9.62040e-01;7.56647e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.05) | map_aggregate(attribute=avg_Y, function=avg, window=10) | filter(avg_Y < 705000000.0000) | map_aggregate(attribute=avg_X, function=max, window=8) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_X < 811000000.0000) };9.56196e-01;7.53792e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=8) | map_noise(attribute=avg_X, percentage=0.10) | filter(avg_X > 4.8200) | map_aggregate(attribute=avg_Y, function=avg, window=6) | map_aggregate(attribute=avg_X, function=max, window=3) | map_noise(attribute=avg_Y, percentage=0.01) };9.26629e-01;8.85427e-01;Pipeline { filter(avg_X > 0.0000) }
datasets/geolife_60mins.csv;nsga2;1;7;700;700;5.48310e+01;100;27;30;1.00000e+00;9.90000e-01;6.20000e-01;9.62582e-01;7.57853e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.05) | map_aggregate(attribute=avg_Y, function=avg, window=10) | filter(avg_Y < 1930000.0000) | map_aggregate(attribute=avg_X, function=max, window=3) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_X < 158000000.0000) };9.58906e-01;7.59176e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.05) | map_aggregate(attribute=avg_Y, function=avg, window=3) | filter(avg_Y < 709000000.0000) | map_aggregate(attribute=avg_X, function=max, window=10) };9.26721e-01;8.99166e-01;Pipeline { filter(avg_Y < 165000.0000) }
datasets/geolife_60mins.csv;nsga2;1;8;800;800;6.08000e+01;100;39;1;1.00000e+00;1.00000e+00;7.30000e-01;9.62582e-01;7.57853e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.05) | map_aggregate(attribute=avg_Y, function=avg, window=10) | filter(avg_Y < 1930000.0000) | map_aggregate(attribute=avg_X, function=max, window=3) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 4940000.0000) };9.60016e-01;7.57498e-01;Pipeline { map_noise(attribute=avg_X, percentage=0.10) | map_aggregate(attribute=avg_Y, function=avg, window=10) | filter(avg_Y < 705000000.0000) | map_aggregate(attribute=avg_X, function=max, window=3) };9.18779e-01;9.99137e-01;Pipeline { filter(avg_X < 2110000.0000) }
datasets/geolife_60mins.csv;nsga2;1;9;900;900;6.63260e+01;100;59;11;1.00000e+00;1.00000e+00;5.50000e-01;9.62582e-01;7.57853e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.05) | map_aggregate(attribute=avg_Y, function=avg, window=10) | filter(avg_Y < 1930000.0000) | map_aggregate(attribute=avg_X, function=max, window=3) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_X < 8110000.0000) };9.60157e-01;7.71864e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.05) | map_aggregate(attribute=avg_Y, function=avg, window=3) | filter(avg_Y < 709000000.0000) | map_aggregate(attribute=avg_X, function=max, window=3) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 7590000000.0000) }
datasets/geolife_60mins.csv;nsga2;1;10;1000;1000;7.17420e+01;100;93;7;1.00000e+00;1.00000e+00;2.90000e-01;9.62582e-01;7.57853e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.05) | map_aggregate(attribute=avg_Y, function=avg, window=10) | filter(avg_Y < 1930000.0000) | map_aggregate(attribute=avg_X, function=max, window=3) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 16500000.0000) };9.19007e-01;9.92108e-01;Pipeline { filter(avg_X < 1850000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 4620000000.0000) }
