problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→performance-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→performance-similarity;100]→quality→privacy";"all→percentile[quality→performance-similarity;100]→quality→performance-similarity";"all→percentile[quality→performance-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→performance-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→performance-similarity;75]→quality→privacy";"all→percentile[quality→performance-similarity;75]→quality→performance-similarity";"all→percentile[quality→performance-similarity;75]→solution"
datasets/geolife_60mins.csv;nsga2;1;1;100;100;4.04900e+00;100;8;67;1.00000e+00;1.00000e+00;1.50000e-01;9.26629e-01;8.17732e-01;Pipeline { filter(avg_X > 0.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 3410000.0000) };2.26840e-02;2.70142e-02;Pipeline { filter(avg_X < 0.0108) | filter(avg_X < 0.0010) };2.26840e-02;2.70142e-02;Pipeline { filter(avg_X < 0.0108) | filter(avg_X < 0.0010) }
datasets/geolife_60mins.csv;nsga2;1;2;200;200;6.86700e+00;100;19;11;1.00000e+00;1.00000e+00;2.30000e-01;9.26629e-01;8.17732e-01;Pipeline { filter(avg_X > 1220.0000) | filter(avg_X > 0.0006) | filter(avg_X > 2.4800) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 24500000.0000) };8.85581e-01;7.04727e-01;Pipeline { filter(avg_X > 0.3770) | filter(avg_Y > 0.0000) | filter(avg_X > 256.0000) };8.77344e-01;7.26608e-01;Pipeline { filter(avg_Y > 0.3200) }
datasets/geolife_60mins.csv;nsga2;1;3;300;300;9.80500e+00;100;41;1;1.00000e+00;9.90000e-01;1.70000e-01;9.26629e-01;8.17732e-01;Pipeline { filter(avg_X > 17.6000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 23500000.0000) };9.26629e-01;8.17732e-01;Pipeline { filter(avg_X > 0.0460) };9.26629e-01;8.17732e-01;Pipeline { filter(avg_X > 0.0000) }
datasets/geolife_60mins.csv;nsga2;1;4;400;400;1.28020e+01;100;76;11;1.00000e+00;1.00000e+00;1.20000e-01;9.26629e-01;8.17732e-01;Pipeline { filter(avg_X > 0.0001) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 3410000.0000) };9.26629e-01;8.17732e-01;Pipeline { filter(avg_Y < 8300000000.0000) | filter(avg_X > 3.1800) | filter(avg_X > 9.5600) };9.26629e-01;8.17732e-01;Pipeline { filter(avg_X > 3.4000) }
datasets/geolife_60mins.csv;nsga2;1;5;500;500;1.58840e+01;100;100;100;1.00000e+00;9.80000e-01;3.00000e-02;9.26629e-01;8.17732e-01;Pipeline { filter(avg_X > 0.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 14500000.0000) };9.26629e-01;8.17732e-01;Pipeline { filter(avg_X > 1220.0000) | filter(avg_X > 0.0005) | filter(avg_X > 2.4800) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 572000000.0000) }
datasets/geolife_60mins.csv;nsga2;1;6;600;600;1.84530e+01;100;44;56;1.00000e+00;9.80000e-01;7.00000e-02;9.35757e-01;8.86896e-01;Pipeline { filter(avg_Y < 431000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_X < 763000000.0000) };9.26629e-01;8.17732e-01;Pipeline { filter(avg_X > 0.0001) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 9810000000.0000) }
datasets/geolife_60mins.csv;nsga2;1;7;700;700;2.10640e+01;100;70;30;1.00000e+00;1.00000e+00;9.00000e-02;9.35757e-01;8.86896e-01;Pipeline { filter(avg_Y < 431000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_X < 24500000.0000) };9.26629e-01;8.17732e-01;Pipeline { filter(avg_X > 5540.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 26500000.0000) }
datasets/geolife_60mins.csv;nsga2;1;8;800;800;2.37260e+01;100;100;100;1.00000e+00;1.00000e+00;6.00000e-02;9.35757e-01;8.86896e-01;Pipeline { filter(avg_Y < 431000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 94500000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 9810000000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 19900000.0000) }
datasets/geolife_60mins.csv;nsga2;1;9;900;900;2.62590e+01;100;100;100;1.00000e+00;1.00000e+00;9.00000e-02;9.35757e-01;8.86896e-01;Pipeline { filter(avg_Y < 431000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 23300000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 23000000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_X < 7630000.0000) }
datasets/geolife_60mins.csv;nsga2;1;10;1000;1000;2.86540e+01;100;100;100;1.00000e+00;1.00000e+00;1.00000e-01;9.36568e-01;8.84918e-01;Pipeline { filter(avg_Y < 400000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 9660000000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_X < 16200000.0000) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 912000000.0000) }
