problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→results-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→results-similarity;100]→quality→privacy";"all→percentile[quality→results-similarity;100]→quality→results-similarity";"all→percentile[quality→results-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→results-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→results-similarity;75]→quality→privacy";"all→percentile[quality→results-similarity;75]→quality→results-similarity";"all→percentile[quality→results-similarity;75]→solution"
datasets/geolife_60mins.csv;nsga2;1;1;100;100;2.36510e+01;100;4;37;9.20000e-01;9.20000e-01;6.10000e-01;7.49694e-01;4.83265e-02;Pipeline { map_noise(attribute=avg_X, percentage=0.25) | filter(avg_X > 12700.0000) };2.26479e-01;1.00000e+00;Pipeline { map_duplicate(probability=1.00) };2.95402e-01;6.88568e-01;Pipeline { filter(avg_Y > 0.0000) | filter(avg_Y > 0.0000) | map_duplicate(probability=0.80) | filter(avg_X < 81100000.0000) | map_noise(attribute=avg_X, percentage=0.01) | filter(avg_Y < 1370000000.0000) | map_duplicate(probability=0.60) | filter(avg_Y > 0.0257) | filter(avg_X > 0.0005) };4.52495e-01;4.50208e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.05) }
datasets/geolife_60mins.csv;nsga2;1;2;200;200;4.57550e+01;100;7;1;9.20000e-01;9.20000e-01;9.20000e-01;7.49694e-01;4.83265e-02;Pipeline { map_noise(attribute=avg_X, percentage=0.25) | filter(avg_X > 12700.0000) };2.26479e-01;1.00000e+00;Pipeline { map_duplicate(probability=1.00) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_X < 8150000000.0000) };3.24058e-01;9.71395e-01;Pipeline { map_duplicate(probability=0.40) }
datasets/geolife_60mins.csv;nsga2;1;3;300;300;6.56070e+01;100;19;1;9.20000e-01;9.20000e-01;7.40000e-01;7.49694e-01;4.83265e-02;Pipeline { map_noise(attribute=avg_X, percentage=0.25) | filter(avg_X > 12700.0000) };2.26479e-01;1.00000e+00;Pipeline { map_duplicate(probability=1.00) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0954) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) }
datasets/geolife_60mins.csv;nsga2;1;4;400;400;7.60950e+01;100;31;3;9.90000e-01;9.80000e-01;4.40000e-01;7.49694e-01;4.83265e-02;Pipeline { map_noise(attribute=avg_X, percentage=0.25) | filter(avg_X > 12700.0000) };2.26479e-01;1.00000e+00;Pipeline { map_duplicate(probability=1.00) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) };6.87470e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0739) | filter(avg_Y > 0.5080) }
datasets/geolife_60mins.csv;nsga2;1;5;500;500;8.60910e+01;100;57;16;1.00000e+00;9.80000e-01;3.90000e-01;7.49694e-01;4.83265e-02;Pipeline { map_noise(attribute=avg_X, percentage=0.25) | filter(avg_X > 12700.0000) };6.87470e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0734) | filter(avg_Y > 0.5080) };7.31213e-01;6.19948e-01;Pipeline { filter(avg_X > 0.0000) | filter(avg_X > 0.0005) | map_noise(attribute=avg_X, percentage=0.01) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) }
datasets/geolife_60mins.csv;nsga2;1;6;600;600;9.50380e+01;100;100;100;1.00000e+00;9.80000e-01;4.00000e-02;7.77810e-01;2.09910e-01;Pipeline { filter(avg_X > 6.4700) | map_noise(attribute=avg_Y, percentage=0.10) | map_noise(attribute=avg_Y, percentage=0.10) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0904) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 3.9100) }
datasets/geolife_60mins.csv;nsga2;1;7;700;700;1.06776e+02;100;100;100;1.00000e+00;1.00000e+00;5.00000e-02;7.77810e-01;2.09910e-01;Pipeline { filter(avg_X > 6.4700) | map_noise(attribute=avg_Y, percentage=0.10) | map_noise(attribute=avg_Y, percentage=0.10) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 0.1570) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 4.9200) }
datasets/geolife_60mins.csv;nsga2;1;8;800;800;1.18165e+02;100;100;100;1.00000e+00;1.00000e+00;5.00000e-02;7.77810e-01;2.09910e-01;Pipeline { filter(avg_X > 6.4700) | map_noise(attribute=avg_Y, percentage=0.10) | map_noise(attribute=avg_Y, percentage=0.10) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 0.9400) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0010) }
datasets/geolife_60mins.csv;nsga2;1;9;900;900;1.28438e+02;100;100;100;1.00000e+00;9.80000e-01;5.00000e-02;7.77810e-01;2.09910e-01;Pipeline { filter(avg_X > 6.4700) | map_noise(attribute=avg_Y, percentage=0.10) | map_noise(attribute=avg_Y, percentage=0.10) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 1.9400) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 652.0000) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 2.0200) }
datasets/geolife_60mins.csv;nsga2;1;10;1000;1000;1.39784e+02;100;100;100;1.00000e+00;1.00000e+00;5.00000e-02;7.77810e-01;2.09910e-01;Pipeline { filter(avg_X > 6.4700) | map_noise(attribute=avg_Y, percentage=0.10) | map_noise(attribute=avg_Y, percentage=0.10) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 6.0500) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 46.3000) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) }
