problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→results-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→results-similarity;100]→quality→privacy";"all→percentile[quality→results-similarity;100]→quality→results-similarity";"all→percentile[quality→results-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→results-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→results-similarity;75]→quality→privacy";"all→percentile[quality→results-similarity;75]→quality→results-similarity";"all→percentile[quality→results-similarity;75]→solution"
datasets/geolife_60mins.csv;nsga2;1;1;100;100;1.57290e+01;100;4;34;9.60000e-01;9.60000e-01;6.70000e-01;8.25297e-01;7.93161e-03;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_X, percentage=0.25) | map_aggregate(attribute=avg_Y, function=max, window=6) | filter(avg_X > 0.0000) | map_noise(attribute=avg_Y, percentage=0.10) };6.49494e-01;1.00000e+00;Pipeline { filter(avg_Y < 165000.0000) };3.78041e-01;9.81268e-01;Pipeline { map_duplicate(probability=0.20) };4.51284e-01;1.36243e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.25) }
datasets/geolife_60mins.csv;nsga2;1;2;200;200;3.42970e+01;100;3;1;9.60000e-01;9.60000e-01;1.00000e+00;8.29984e-01;2.67489e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.05) | map_aggregate(attribute=avg_Y, function=avg, window=10) | filter(avg_X > 41.8000) | map_aggregate(attribute=avg_X, function=max, window=3) };2.26479e-01;1.00000e+00;Pipeline { map_duplicate(probability=1.00) };5.17942e-01;2.31934e-02;Pipeline { map_aggregate(attribute=avg_Y, function=min, window=3) | map_noise(attribute=avg_X, percentage=0.25) };5.52678e-01;6.16039e-01;Pipeline { map_duplicate(probability=0.30) | map_duplicate(probability=0.40) | filter(avg_X > 0.5210) | map_aggregate(attribute=avg_Y, function=avg, window=5) | filter(avg_Y > 0.0000) }
datasets/geolife_60mins.csv;nsga2;1;3;300;300;5.00490e+01;100;4;1;9.70000e-01;9.70000e-01;9.90000e-01;8.46828e-01;7.14015e-02;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.01) | map_aggregate(attribute=avg_X, function=min, window=6) | map_aggregate(attribute=avg_Y, function=max, window=6) | filter(avg_X > 0.0000) | map_noise(attribute=avg_Y, percentage=0.10) };2.26479e-01;1.00000e+00;Pipeline { map_duplicate(probability=1.00) };6.73652e-01;2.71064e-01;Pipeline { map_aggregate(attribute=avg_Y, function=min, window=10) };3.50154e-01;9.76246e-01;Pipeline { map_duplicate(probability=0.30) }
datasets/geolife_60mins.csv;nsga2;1;4;400;400;6.30600e+01;100;6;5;9.90000e-01;9.90000e-01;9.80000e-01;8.50407e-01;9.14381e-02;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_Y, percentage=0.01) | map_aggregate(attribute=avg_X, function=min, window=6) | map_aggregate(attribute=avg_Y, function=max, window=6) | filter(avg_X > 0.0000) | map_noise(attribute=avg_Y, percentage=0.10) };2.26479e-01;1.00000e+00;Pipeline { map_duplicate(probability=1.00) };7.50503e-01;6.18593e-03;Pipeline { map_aggregate(attribute=avg_X, function=max, window=6) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_X, percentage=0.25) | map_aggregate(attribute=avg_Y, function=max, window=6) | filter(avg_X > 0.0000) | map_noise(attribute=avg_Y, percentage=0.10) };4.52632e-01;8.81944e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.01) }
datasets/geolife_60mins.csv;nsga2;1;5;500;500;7.49690e+01;100;7;17;1.00000e+00;1.00000e+00;9.70000e-01;8.54442e-01;4.96483e-02;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_aggregate(attribute=avg_X, function=avg, window=4) | map_noise(attribute=avg_X, percentage=0.01) | filter(avg_X > 266.0000) | map_aggregate(attribute=avg_X, function=avg, window=6) | map_noise(attribute=avg_Y, percentage=0.05) };4.14168e-01;1.00000e+00;Pipeline { filter(avg_Y > 0.0089) };8.18785e-01;8.59863e-02;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=4) | map_noise(attribute=avg_X, percentage=0.01) | map_aggregate(attribute=avg_X, function=min, window=6) | map_aggregate(attribute=avg_Y, function=max, window=6) | filter(avg_X > 0.0000) | map_noise(attribute=avg_Y, percentage=0.10) };6.87470e-01;4.57416e-01;Pipeline { filter(avg_Y > 84.5000) | map_noise(attribute=avg_Y, percentage=0.05) | filter(avg_Y > 0.6530) | filter(avg_X > 0.0549) }
datasets/geolife_60mins.csv;nsga2;1;6;600;600;8.61530e+01;100;14;16;1.00000e+00;9.90000e-01;9.40000e-01;8.62182e-01;7.72265e-02;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_aggregate(attribute=avg_X, function=avg, window=4) | map_aggregate(attribute=avg_Y, function=avg, window=10) | filter(avg_X > 266.0000) | map_aggregate(attribute=avg_X, function=min, window=8) | map_noise(attribute=avg_X, percentage=0.05) };6.49494e-01;1.00000e+00;Pipeline { filter(avg_Y < 165000.0000) };8.20222e-01;9.78092e-02;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_Y, function=max, window=5) | map_aggregate(attribute=avg_X, function=avg, window=4) | map_noise(attribute=avg_X, percentage=0.01) | filter(avg_X > 266.0000) | map_aggregate(attribute=avg_X, function=avg, window=6) | map_noise(attribute=avg_X, percentage=0.05) };6.99183e-01;4.58144e-01;Pipeline { filter(avg_Y > 84.5000) | map_noise(attribute=avg_Y, percentage=0.05) | filter(avg_Y > 0.6530) | filter(avg_X > 5.6100) }
datasets/geolife_60mins.csv;nsga2;1;7;700;700;9.83160e+01;100;19;5;1.00000e+00;9.90000e-01;8.90000e-01;8.62206e-01;8.67290e-02;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_aggregate(attribute=avg_X, function=avg, window=4) | map_aggregate(attribute=avg_Y, function=avg, window=10) | filter(avg_X > 266.0000) | map_aggregate(attribute=avg_X, function=min, window=10) | map_noise(attribute=avg_X, percentage=0.05) };6.51915e-01;1.00000e+00;Pipeline { filter(avg_Y < 185000.0000) };8.25686e-01;5.03092e-02;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_Y, percentage=0.01) | map_aggregate(attribute=avg_Y, function=max, window=5) | filter(avg_X > 0.0000) | map_noise(attribute=avg_Y, percentage=0.10) };7.78498e-01;5.85701e-01;Pipeline { filter(avg_Y > 84.4000) | map_aggregate(attribute=avg_Y, function=avg, window=10) | filter(avg_Y > 0.6510) | filter(avg_X > 50.6000) }
datasets/geolife_60mins.csv;nsga2;1;8;800;800;1.10783e+02;100;32;9;1.00000e+00;1.00000e+00;7.50000e-01;8.62206e-01;8.67290e-02;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_aggregate(attribute=avg_X, function=avg, window=4) | map_aggregate(attribute=avg_Y, function=avg, window=10) | filter(avg_X > 266.0000) | map_aggregate(attribute=avg_X, function=min, window=10) | map_noise(attribute=avg_X, percentage=0.05) };6.71202e-01;1.00000e+00;Pipeline { filter(avg_Y < 985000.0000) };8.29958e-01;8.39387e-02;Pipeline { map_noise(attribute=avg_Y, percentage=0.05) | map_aggregate(attribute=avg_Y, function=avg, window=10) | filter(avg_X > 41.8000) | map_aggregate(attribute=avg_X, function=max, window=9) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) | filter(avg_X > 4950.0000) }
datasets/geolife_60mins.csv;nsga2;1;9;900;900;1.21934e+02;100;38;13;1.00000e+00;1.00000e+00;5.90000e-01;8.68988e-01;4.20469e-02;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_aggregate(attribute=avg_X, function=avg, window=4) | map_aggregate(attribute=avg_Y, function=avg, window=10) | filter(avg_X > 266.0000) | map_aggregate(attribute=avg_Y, function=avg, window=8) | map_noise(attribute=avg_X, percentage=0.10) };6.87179e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) | filter(avg_Y > 4250.0000) };8.29804e-01;1.04150e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.05) | map_aggregate(attribute=avg_Y, function=avg, window=9) | filter(avg_X > 0.4110) | map_aggregate(attribute=avg_X, function=max, window=8) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) }
datasets/geolife_60mins.csv;nsga2;1;10;1000;1000;1.32139e+02;100;74;9;1.00000e+00;1.00000e+00;3.10000e-01;8.68988e-01;4.20469e-02;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_aggregate(attribute=avg_X, function=avg, window=4) | map_aggregate(attribute=avg_Y, function=avg, window=10) | filter(avg_X > 266.0000) | map_aggregate(attribute=avg_Y, function=avg, window=8) | map_noise(attribute=avg_X, percentage=0.10) };7.29586e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) | filter(avg_X > 42500.0000) };7.78513e-01;5.85701e-01;Pipeline { filter(avg_Y > 0.8840) | map_aggregate(attribute=avg_Y, function=avg, window=10) | filter(avg_Y > 0.6510) | filter(avg_X > 56.5000) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0059) | filter(avg_X > 1.1800) }
