problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→results-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→results-similarity;100]→quality→privacy";"all→percentile[quality→results-similarity;100]→quality→results-similarity";"all→percentile[quality→results-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→results-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→results-similarity;75]→quality→privacy";"all→percentile[quality→results-similarity;75]→quality→results-similarity";"all→percentile[quality→results-similarity;75]→solution"
datasets/geolife_60mins.csv;nsga2;1;1;100;100;4.42600e+00;100;6;67;1.00000e+00;1.00000e+00;1.50000e-01;7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) };4.14159e-01;1.00000e+00;Pipeline { filter(avg_Y > 66.9000) };2.02007e-02;0.00000e+00;Pipeline { filter(avg_X < 0.0108) | filter(avg_X < 0.0010) };0.00000e+00;0.00000e+00;Pipeline { filter(avg_Y > 9480000.0000) | filter(avg_Y > 39.4000) | filter(avg_X < 5870.0000) }
datasets/geolife_60mins.csv;nsga2;1;2;200;200;6.92600e+00;100;13;23;1.00000e+00;1.00000e+00;2.60000e-01;7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 1220.0000) | filter(avg_X > 0.0006) | filter(avg_X > 2.4800) };4.14159e-01;1.00000e+00;Pipeline { filter(avg_Y > 66.9000) };6.87373e-01;1.00000e+00;Pipeline { filter(avg_Y > 1220.0000) | filter(avg_X > 0.0006) | filter(avg_X > 2.4800) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0001) }
datasets/geolife_60mins.csv;nsga2;1;3;300;300;9.31400e+00;100;32;21;1.00000e+00;9.90000e-01;1.30000e-01;7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 17.6000) };4.14151e-01;1.00000e+00;Pipeline { filter(avg_Y > 0.0037) | filter(avg_Y > 153.0000) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) };6.87470e-01;1.00000e+00;Pipeline { filter(avg_Y > 2.5800) | filter(avg_X > 0.0003) }
datasets/geolife_60mins.csv;nsga2;1;4;400;400;1.18910e+01;100;1;3;1.00000e+00;1.00000e+00;1.40000e-01;8.20255e-01;1.00000e+00;Pipeline { filter(avg_X < 852000.0000) | filter(avg_X > 5.7000) };4.52957e-01;1.00000e+00;Pipeline { filter(avg_Y < 3610000.0000) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) };6.87470e-01;1.00000e+00;Pipeline { filter(avg_Y > 0.0037) | filter(avg_X > 5.7200) }
datasets/geolife_60mins.csv;nsga2;1;5;500;500;1.48110e+01;100;2;95;1.00000e+00;9.70000e-01;4.00000e-02;8.20255e-01;1.00000e+00;Pipeline { filter(avg_X < 852000.0000) | filter(avg_X > 5.7000) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0009) | filter(avg_Y < 48800000.0000) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 0.6760) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_Y < 8300000000.0000) | filter(avg_X > 3.3800) | filter(avg_X > 9.8100) }
datasets/geolife_60mins.csv;nsga2;1;6;600;600;1.76960e+01;100;2;84;1.00000e+00;9.90000e-01;9.00000e-02;8.24899e-01;1.00000e+00;Pipeline { filter(avg_Y < 930000.0000) | filter(avg_X > 3.1800) | filter(avg_Y > 0.0000) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_Y < 8400000000.0000) | filter(avg_X > 3.4800) | filter(avg_X > 9.5100) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_Y < 8400000000.0000) | filter(avg_X > 3.1400) | filter(avg_X > 0.0000) }
datasets/geolife_60mins.csv;nsga2;1;7;700;700;2.05600e+01;100;6;67;1.00000e+00;9.90000e-01;1.30000e-01;8.24899e-01;1.00000e+00;Pipeline { filter(avg_Y < 930000.0000) | filter(avg_Y > 3.1800) | filter(avg_X > 9.5400) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0001) };8.10288e-01;1.00000e+00;Pipeline { filter(avg_Y < 930000.0000) | filter(avg_X > 3.1800) | filter(avg_X > 0.4780) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0008) }
datasets/geolife_60mins.csv;nsga2;1;8;800;800;2.34720e+01;100;12;28;1.00000e+00;9.60000e-01;2.40000e-01;8.24899e-01;1.00000e+00;Pipeline { filter(avg_Y < 930000.0000) | filter(avg_Y > 1.6800) | filter(avg_X > 9.5400) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0070) };8.20255e-01;1.00000e+00;Pipeline { filter(avg_X < 852000.0000) | filter(avg_X > 0.9700) };7.31092e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) }
datasets/geolife_60mins.csv;nsga2;1;9;900;900;2.61450e+01;100;1;23;1.00000e+00;9.60000e-01;1.70000e-01;8.34111e-01;1.00000e+00;Pipeline { filter(avg_Y < 630000.0000) | filter(avg_Y > 4.1800) | filter(avg_X > 0.0001) };8.10288e-01;1.00000e+00;Pipeline { filter(avg_Y < 930000.0000) | filter(avg_Y < 41200000.0000) | filter(avg_X > 0.0000) };8.24899e-01;1.00000e+00;Pipeline { filter(avg_Y < 930000.0000) | filter(avg_Y > 3.1800) | filter(avg_X > 0.0681) };8.10303e-01;1.00000e+00;Pipeline { filter(avg_Y < 933000.0000) | filter(avg_X > 6.8700) | filter(avg_X > 0.0000) }
datasets/geolife_60mins.csv;nsga2;1;10;1000;1000;2.92500e+01;100;1;1;1.00000e+00;9.40000e-01;1.80000e-01;8.40258e-01;1.00000e+00;Pipeline { filter(avg_Y < 430000.0000) | filter(avg_X > 3.1800) | filter(avg_Y > 0.0000) };8.15951e-01;1.00000e+00;Pipeline { filter(avg_X < 822000.0000) | filter(avg_X > 0.0505) };8.24899e-01;1.00000e+00;Pipeline { filter(avg_Y < 930000.0000) | filter(avg_X > 3.1800) | filter(avg_Y > 0.0000) };8.20756e-01;1.00000e+00;Pipeline { filter(avg_X < 930000.0000) | filter(avg_X > 3.6700) | filter(avg_X > 0.0000) }
