problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→results-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→results-similarity;100]→quality→privacy";"all→percentile[quality→results-similarity;100]→quality→results-similarity";"all→percentile[quality→results-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→results-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→results-similarity;75]→quality→privacy";"all→percentile[quality→results-similarity;75]→quality→results-similarity";"all→percentile[quality→results-similarity;75]→solution"
datasets/geolife_60mins.csv;nsga2;1;1;100;100;8.59200e+00;100;4;37;9.20000e-01;9.20000e-01;6.10000e-01;9.29262e-01;4.30880e-02;Pipeline { map_noise(attribute=avg_X, percentage=0.25) | filter(avg_X > 12700.0000) };4.59304e-01;1.00000e+00;Pipeline { map_duplicate(probability=1.00) };5.53961e-01;2.59022e-01;Pipeline { map_duplicate(probability=0.90) | filter(avg_Y > 0.0073) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_X, percentage=0.05) };8.82205e-01;4.48282e-01;Pipeline { filter(avg_Y > 6.2800) | map_noise(attribute=avg_Y, percentage=0.05) }
datasets/geolife_60mins.csv;nsga2;1;2;200;200;1.58240e+01;100;12;1;9.20000e-01;9.20000e-01;9.20000e-01;9.29944e-01;4.83018e-02;Pipeline { filter(avg_X > 0.0000) | filter(avg_X > 0.0005) | map_noise(attribute=avg_X, percentage=0.25) };4.59304e-01;1.00000e+00;Pipeline { map_duplicate(probability=1.00) };9.20478e-01;4.60499e-01;Pipeline { filter(avg_Y < 7370000.0000) | map_noise(attribute=avg_Y, percentage=0.05) };6.55217e-01;9.72325e-01;Pipeline { map_duplicate(probability=0.40) }
datasets/geolife_60mins.csv;nsga2;1;3;300;300;2.11740e+01;100;24;3;9.30000e-01;9.20000e-01;7.40000e-01;9.29944e-01;4.83018e-02;Pipeline { filter(avg_X > 0.0000) | filter(avg_X > 0.0005) | map_noise(attribute=avg_X, percentage=0.25) };4.59304e-01;1.00000e+00;Pipeline { map_duplicate(probability=1.00) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0904) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) }
datasets/geolife_60mins.csv;nsga2;1;4;400;400;2.46430e+01;100;53;13;9.80000e-01;9.60000e-01;4.90000e-01;9.29944e-01;4.83018e-02;Pipeline { filter(avg_X > 0.0000) | filter(avg_X > 0.0005) | map_noise(attribute=avg_X, percentage=0.25) };8.85581e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0074) | filter(avg_Y > 5.3000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 3.2000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0904) }
datasets/geolife_60mins.csv;nsga2;1;5;500;500;2.76930e+01;100;87;3;1.00000e+00;9.80000e-01;2.20000e-01;9.29944e-01;4.83018e-02;Pipeline { filter(avg_X > 0.0000) | filter(avg_X > 0.0005) | map_noise(attribute=avg_X, percentage=0.25) };9.25129e-01;1.00000e+00;Pipeline { filter(avg_X > 42000.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.7540) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) }
datasets/geolife_60mins.csv;nsga2;1;6;600;600;3.08000e+01;100;100;100;1.00000e+00;1.00000e+00;9.00000e-02;9.29944e-01;4.83018e-02;Pipeline { filter(avg_X > 0.0000) | filter(avg_X > 0.0005) | map_noise(attribute=avg_X, percentage=0.25) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0001) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0304) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) }
datasets/geolife_60mins.csv;nsga2;1;7;700;700;3.39110e+01;100;1;99;1.00000e+00;9.90000e-01;1.00000e-01;9.33631e-01;1.00000e+00;Pipeline { filter(avg_Y < 350000.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 29.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) }
datasets/geolife_60mins.csv;nsga2;1;8;800;800;3.70390e+01;100;1;99;1.00000e+00;9.90000e-01;1.00000e-01;9.33631e-01;1.00000e+00;Pipeline { filter(avg_Y < 350000.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 376.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 5.7300) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) }
datasets/geolife_60mins.csv;nsga2;1;9;900;900;4.00090e+01;100;1;98;1.00000e+00;9.90000e-01;1.10000e-01;9.34096e-01;1.00000e+00;Pipeline { filter(avg_Y < 370000.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0064) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 9.6300) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) }
datasets/geolife_60mins.csv;nsga2;1;10;1000;1000;4.31040e+01;100;1;96;1.00000e+00;1.00000e+00;1.20000e-01;9.35015e-01;1.00000e+00;Pipeline { filter(avg_Y < 300000.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0884) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 975.0000) }
datasets/geolife_60mins.csv;nsga2;1;11;1100;1100;4.65160e+01;100;1;95;1.00000e+00;1.00000e+00;1.30000e-01;9.35509e-01;1.00000e+00;Pipeline { filter(avg_Y < 380000.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0066) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 1240.0000) }
datasets/geolife_60mins.csv;nsga2;1;12;1200;1200;4.92390e+01;100;1;95;1.00000e+00;9.90000e-01;1.30000e-01;9.35509e-01;1.00000e+00;Pipeline { filter(avg_Y < 380000.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 2000.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0334) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) }
