problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→results-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→results-similarity;100]→quality→privacy";"all→percentile[quality→results-similarity;100]→quality→results-similarity";"all→percentile[quality→results-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→results-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→results-similarity;75]→quality→privacy";"all→percentile[quality→results-similarity;75]→quality→results-similarity";"all→percentile[quality→results-similarity;75]→solution"
datasets/geolife_60mins.csv;nsga2;1;1;100;100;9.46600e+00;100;2;34;9.60000e-01;9.60000e-01;6.70000e-01;9.53429e-01;5.81754e-03;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_X, percentage=0.25) | map_aggregate(attribute=avg_Y, function=max, window=6) | filter(avg_X > 0.0000) | map_noise(attribute=avg_Y, percentage=0.10) };9.26721e-01;1.00000e+00;Pipeline { filter(avg_Y < 165000.0000) };6.12755e-01;9.70546e-01;Pipeline { map_duplicate(probability=0.50) };3.01521e-01;1.35918e-01;Pipeline { map_duplicate(probability=1.00) | filter(avg_Y > 64.6000) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_Y, percentage=0.10) | map_duplicate(probability=0.40) | filter(avg_X > 2110.0000) | map_aggregate(attribute=avg_X, function=max, window=3) | map_duplicate(probability=0.30) }
datasets/geolife_60mins.csv;nsga2;1;2;200;200;1.74310e+01;100;4;1;9.60000e-01;9.60000e-01;1.00000e+00;9.55863e-01;7.40806e-03;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_X, percentage=0.25) | map_aggregate(attribute=avg_Y, function=max, window=6) | filter(avg_Y < 291000000.0000) | map_noise(attribute=avg_Y, percentage=0.10) };8.77344e-01;1.00000e+00;Pipeline { filter(avg_Y > 0.0000) };8.87826e-01;2.15847e-01;Pipeline { filter(avg_Y > 84.4000) | map_noise(attribute=avg_X, percentage=0.05) | filter(avg_Y > 0.6510) | filter(avg_X > 5.6500) };9.19368e-01;6.21820e-01;Pipeline { map_noise(attribute=avg_X, percentage=0.01) }
datasets/geolife_60mins.csv;nsga2;1;3;300;300;2.83630e+01;100;7;7;9.60000e-01;9.60000e-01;9.90000e-01;9.65073e-01;4.68895e-02;Pipeline { map_noise(attribute=avg_Y, percentage=0.05) | map_aggregate(attribute=avg_Y, function=min, window=7) | filter(avg_Y > 0.0000) | map_duplicate(probability=0.30) };4.59304e-01;1.00000e+00;Pipeline { map_duplicate(probability=1.00) };9.24046e-01;3.43703e-01;Pipeline { map_aggregate(attribute=avg_Y, function=min, window=7) };7.06039e-01;9.74329e-01;Pipeline { map_duplicate(probability=0.30) }
datasets/geolife_60mins.csv;nsga2;1;4;400;400;3.59680e+01;100;11;6;9.90000e-01;9.90000e-01;8.60000e-01;9.65073e-01;4.68895e-02;Pipeline { map_noise(attribute=avg_Y, percentage=0.05) | map_aggregate(attribute=avg_Y, function=min, window=7) | filter(avg_Y > 0.0000) | map_duplicate(probability=0.30) };4.59304e-01;1.00000e+00;Pipeline { map_duplicate(probability=1.00) };9.42528e-01;2.23044e-01;Pipeline { map_aggregate(attribute=avg_X, function=max, window=8) };8.34068e-01;9.89355e-01;Pipeline { map_duplicate(probability=0.10) }
datasets/geolife_60mins.csv;nsga2;1;5;500;500;4.28990e+01;100;8;2;1.00000e+00;1.00000e+00;8.70000e-01;9.67784e-01;4.08615e-02;Pipeline { map_noise(attribute=avg_Y, percentage=0.05) | map_aggregate(attribute=avg_Y, function=min, window=7) | filter(avg_Y > 0.0000) | map_duplicate(probability=0.30) };9.12176e-01;1.00000e+00;Pipeline { filter(avg_X < 843000.0000) };9.54262e-01;5.11411e-02;Pipeline { map_noise(attribute=avg_Y, percentage=0.05) | map_duplicate(probability=0.10) | filter(avg_Y > 0.0000) | map_noise(attribute=avg_X, percentage=0.10) };9.27973e-01;5.63299e-01;Pipeline { filter(avg_X > 55900.0000) | map_aggregate(attribute=avg_Y, function=avg, window=10) }
datasets/geolife_60mins.csv;nsga2;1;6;600;600;4.91680e+01;100;7;3;1.00000e+00;1.00000e+00;8.10000e-01;9.67784e-01;4.08615e-02;Pipeline { map_noise(attribute=avg_Y, percentage=0.05) | map_aggregate(attribute=avg_Y, function=min, window=7) | filter(avg_Y > 0.0000) | map_duplicate(probability=0.30) };9.20795e-01;1.00000e+00;Pipeline { filter(avg_Y < 755000.0000) };9.58587e-01;5.64382e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.01) | map_duplicate(probability=0.10) | filter(avg_Y > 0.0000) | map_noise(attribute=avg_X, percentage=0.01) };9.29650e-01;5.60091e-01;Pipeline { filter(avg_X > 0.0000) | map_aggregate(attribute=avg_Y, function=avg, window=10) }
datasets/geolife_60mins.csv;nsga2;1;7;700;700;5.64260e+01;100;4;18;1.00000e+00;1.00000e+00;8.70000e-01;9.85794e-01;1.86108e-01;Pipeline { map_aggregate(attribute=avg_X, function=max, window=4) | map_duplicate(probability=0.10) | filter(avg_Y > 0.0835) | map_aggregate(attribute=avg_Y, function=min, window=9) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) };9.59239e-01;1.48161e-02;Pipeline { map_noise(attribute=avg_Y, percentage=0.10) | map_duplicate(probability=0.10) | filter(avg_Y > 0.0000) | map_aggregate(attribute=avg_Y, function=min, window=9) };9.35455e-01;5.62090e-01;Pipeline { map_aggregate(attribute=avg_X, function=max, window=3) }
datasets/geolife_60mins.csv;nsga2;1;8;800;800;6.31290e+01;100;6;7;1.00000e+00;1.00000e+00;9.70000e-01;9.86061e-01;1.26122e-01;Pipeline { map_aggregate(attribute=avg_X, function=max, window=8) | map_duplicate(probability=0.10) | filter(avg_Y > 0.0000) | map_aggregate(attribute=avg_Y, function=min, window=9) };9.30946e-01;1.00000e+00;Pipeline { filter(avg_Y < 659000.0000) };9.60082e-01;3.63501e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.05) | map_duplicate(probability=0.10) | filter(avg_Y > 580.0000) | map_noise(attribute=avg_Y, percentage=0.05) };9.38597e-01;3.62108e-01;Pipeline { map_aggregate(attribute=avg_X, function=max, window=5) }
datasets/geolife_60mins.csv;nsga2;1;9;900;900;6.99710e+01;100;7;1;1.00000e+00;1.00000e+00;9.70000e-01;9.86061e-01;1.26122e-01;Pipeline { map_aggregate(attribute=avg_X, function=max, window=8) | map_duplicate(probability=0.10) | filter(avg_Y > 0.0000) | map_aggregate(attribute=avg_Y, function=min, window=9) };9.31496e-01;1.00000e+00;Pipeline { filter(avg_Y < 657000.0000) };9.60477e-01;2.91857e-02;Pipeline { map_noise(attribute=avg_Y, percentage=0.05) | map_duplicate(probability=0.10) | filter(avg_Y > 0.0000) | map_aggregate(attribute=avg_Y, function=min, window=9) };9.59734e-01;3.66303e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.05) | map_duplicate(probability=0.10) | filter(avg_Y > 0.0000) | map_noise(attribute=avg_Y, percentage=0.05) }
datasets/geolife_60mins.csv;nsga2;1;10;1000;1000;7.63240e+01;100;6;11;1.00000e+00;1.00000e+00;1.00000e+00;9.86061e-01;1.26122e-01;Pipeline { map_aggregate(attribute=avg_X, function=max, window=8) | map_duplicate(probability=0.10) | filter(avg_Y > 0.0000) | map_aggregate(attribute=avg_Y, function=min, window=9) };9.32385e-01;1.00000e+00;Pipeline { filter(avg_Y < 327000.0000) };9.60860e-01;1.84519e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.05) | map_duplicate(probability=0.10) | filter(avg_Y > 0.0000) | map_aggregate(attribute=avg_Y, function=min, window=4) };9.59734e-01;3.66303e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.05) | map_duplicate(probability=0.10) | filter(avg_Y > 0.0000) | map_noise(attribute=avg_Y, percentage=0.05) }
