problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→results-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→results-similarity;100]→quality→privacy";"all→percentile[quality→results-similarity;100]→quality→results-similarity";"all→percentile[quality→results-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→results-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→results-similarity;75]→quality→privacy";"all→percentile[quality→results-similarity;75]→quality→results-similarity";"all→percentile[quality→results-similarity;75]→solution"
datasets/geolife_60mins.csv;nsga2;1;1;100;100;4.19900e+00;100;6;67;1.00000e+00;1.00000e+00;1.50000e-01;9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) };8.77327e-01;1.00000e+00;Pipeline { filter(avg_Y > 66.9000) };2.26840e-02;0.00000e+00;Pipeline { filter(avg_X < 0.0108) | filter(avg_X < 0.0010) };0.00000e+00;0.00000e+00;Pipeline { filter(avg_Y > 9480000.0000) | filter(avg_Y > 39.4000) | filter(avg_X < 5870.0000) }
datasets/geolife_60mins.csv;nsga2;1;2;200;200;6.69300e+00;100;12;18;1.00000e+00;1.00000e+00;2.20000e-01;9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 1220.0000) | filter(avg_X > 0.0006) | filter(avg_X > 2.4800) };8.77327e-01;1.00000e+00;Pipeline { filter(avg_Y > 60.9000) };8.85581e-01;1.00000e+00;Pipeline { filter(avg_Y > 0.1400) | filter(avg_X > 0.0001) };9.18608e-01;1.00000e+00;Pipeline { filter(avg_Y < 24500000.0000) }
datasets/geolife_60mins.csv;nsga2;1;3;300;300;9.44200e+00;100;1;1;1.00000e+00;9.80000e-01;1.90000e-01;9.32351e-01;1.00000e+00;Pipeline { filter(avg_Y < 326000.0000) };8.76720e-01;1.00000e+00;Pipeline { filter(avg_Y > 9750.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0001) };8.85457e-01;1.00000e+00;Pipeline { filter(avg_Y > 1220.0000) | filter(avg_X > 0.0006) | filter(avg_X > 2.0800) }
datasets/geolife_60mins.csv;nsga2;1;4;400;400;1.22730e+01;100;1;7;1.00000e+00;9.90000e-01;1.50000e-01;9.32351e-01;1.00000e+00;Pipeline { filter(avg_Y < 326000.0000) };8.85581e-01;1.00000e+00;Pipeline { filter(avg_X > 1220.0000) | filter(avg_Y > 0.0006) | filter(avg_X > 92.6000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_Y < 8300000000.0000) | filter(avg_X > 3.1800) | filter(avg_X > 9.5100) };9.24989e-01;1.00000e+00;Pipeline { filter(avg_X > 1220.0000) | filter(avg_X > 54300.0000) | filter(avg_X > 2.4800) }
datasets/geolife_60mins.csv;nsga2;1;5;500;500;1.51240e+01;100;1;96;1.00000e+00;1.00000e+00;5.00000e-02;9.36808e-01;1.00000e+00;Pipeline { filter(avg_Y < 426000.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 1220.0000) | filter(avg_X > 0.0000) | filter(avg_X > 2.4800) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 1220.0000) | filter(avg_X > 0.0005) | filter(avg_X > 92.6000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0057) }
datasets/geolife_60mins.csv;nsga2;1;6;600;600;1.78960e+01;100;1;94;1.00000e+00;1.00000e+00;7.00000e-02;9.36808e-01;1.00000e+00;Pipeline { filter(avg_Y < 426000.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_Y < 83000000.0000) | filter(avg_X > 3.1800) | filter(avg_X > 6.5100) }
datasets/geolife_60mins.csv;nsga2;1;7;700;700;2.05000e+01;100;1;91;1.00000e+00;1.00000e+00;9.00000e-02;9.36808e-01;1.00000e+00;Pipeline { filter(avg_Y < 426000.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 151.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0001) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 16.6000) }
datasets/geolife_60mins.csv;nsga2;1;8;800;800;2.33380e+01;100;1;84;1.00000e+00;1.00000e+00;1.60000e-01;9.36808e-01;1.00000e+00;Pipeline { filter(avg_Y < 426000.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0005) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0009) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0010) | filter(avg_X > 5.1300) | filter(avg_X > 7.0100) }
datasets/geolife_60mins.csv;nsga2;1;9;900;900;2.60030e+01;100;1;81;1.00000e+00;1.00000e+00;1.90000e-01;9.36808e-01;1.00000e+00;Pipeline { filter(avg_Y < 426000.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 2.7100) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) | filter(avg_X > 5.1300) | filter(avg_X > 7.8100) }
datasets/geolife_60mins.csv;nsga2;1;10;1000;1000;2.85230e+01;100;1;73;1.00000e+00;1.00000e+00;2.40000e-01;9.36808e-01;1.00000e+00;Pipeline { filter(avg_Y < 426000.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) | filter(avg_X > 5.1300) | filter(avg_X > 0.0000) };9.29210e-01;1.00000e+00;Pipeline { filter(avg_Y < 506000.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 371.0000) }
datasets/geolife_60mins.csv;nsga2;1;11;1100;1100;3.11550e+01;100;1;66;1.00000e+00;1.00000e+00;3.10000e-01;9.36808e-01;1.00000e+00;Pipeline { filter(avg_Y < 426000.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) | filter(avg_X > 0.0000) | filter(avg_X > 5.4800) };9.30016e-01;1.00000e+00;Pipeline { filter(avg_Y < 496000.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 66.0000) | filter(avg_Y < 498000000.0000) }
datasets/geolife_60mins.csv;nsga2;1;12;1200;1200;3.37400e+01;100;1;58;1.00000e+00;1.00000e+00;3.70000e-01;9.36877e-01;1.00000e+00;Pipeline { filter(avg_Y < 416000.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0000) };9.32283e-01;1.00000e+00;Pipeline { filter(avg_Y < 325000.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0022) | filter(avg_X > 0.0001) | filter(avg_X > 2.4800) }
datasets/geolife_60mins.csv;nsga2;1;13;1300;1300;3.62340e+01;100;1;44;1.00000e+00;1.00000e+00;4.80000e-01;9.36877e-01;1.00000e+00;Pipeline { filter(avg_Y < 416000.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0022) | filter(avg_X > 0.0001) | filter(avg_X > 0.4800) };9.33438e-01;1.00000e+00;Pipeline { filter(avg_Y < 451000.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X > 0.0022) | filter(avg_X < 562000000.0000) | filter(avg_Y < 855000000.0000) }
datasets/geolife_60mins.csv;nsga2;1;14;1400;1400;3.87060e+01;100;1;22;1.00000e+00;1.00000e+00;6.80000e-01;9.36877e-01;1.00000e+00;Pipeline { filter(avg_Y < 416000.0000) };9.26629e-01;1.00000e+00;Pipeline { filter(avg_X < 2560000000.0000) | filter(avg_X > 5.7900) | filter(avg_X > 2.4800) };9.34359e-01;1.00000e+00;Pipeline { filter(avg_Y < 273000.0000) };9.29210e-01;1.00000e+00;Pipeline { filter(avg_Y < 506000.0000) }
