problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→results-similarity";"all→percentile[quality→privacy;100]→quality→performance-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→results-similarity;100]→quality→privacy";"all→percentile[quality→results-similarity;100]→quality→results-similarity";"all→percentile[quality→results-similarity;100]→quality→performance-similarity";"all→percentile[quality→results-similarity;100]→solution";"all→percentile[quality→performance-similarity;100]→quality→privacy";"all→percentile[quality→performance-similarity;100]→quality→results-similarity";"all→percentile[quality→performance-similarity;100]→quality→performance-similarity";"all→percentile[quality→performance-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→results-similarity";"all→percentile[quality→privacy;75]→quality→performance-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→results-similarity;75]→quality→privacy";"all→percentile[quality→results-similarity;75]→quality→results-similarity";"all→percentile[quality→results-similarity;75]→quality→performance-similarity";"all→percentile[quality→results-similarity;75]→solution";"all→percentile[quality→performance-similarity;75]→quality→privacy";"all→percentile[quality→performance-similarity;75]→quality→results-similarity";"all→percentile[quality→performance-similarity;75]→quality→performance-similarity";"all→percentile[quality→performance-similarity;75]→solution"
datasets/geolife_60mins.csv;nsga2;1;1;100;100;8.58800e+00;100;5;38;9.20000e-01;9.20000e-01;6.10000e-01;7.43615e-01;4.92796e-02;7.33750e-01;Pipeline { map_noise(attribute=avg_X, percentage=0.25) | filter(avg_X > 12700.0000) };2.26479e-01;1.00000e+00;7.13554e-01;Pipeline { map_duplicate(probability=1.00) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 8150000000.0000) };2.96678e-01;6.93723e-01;4.18205e-01;Pipeline { filter(avg_Y > 0.0000) | filter(avg_Y > 0.0000) | map_duplicate(probability=0.80) | filter(avg_X < 81100000.0000) | map_noise(attribute=avg_X, percentage=0.01) | filter(avg_Y < 1370000000.0000) | map_duplicate(probability=0.60) | filter(avg_Y > 0.0257) | filter(avg_X > 0.0005) };4.12997e-01;4.49274e-01;7.32344e-01;Pipeline { filter(avg_Y > 6.2800) | map_noise(attribute=avg_Y, percentage=0.05) };6.68895e-01;1.15656e-01;7.18771e-01;Pipeline { map_noise(attribute=avg_X, percentage=0.10) | map_duplicate(probability=0.20) | filter(avg_X > 0.0041) }
datasets/geolife_60mins.csv;nsga2;1;2;200;200;1.82030e+01;100;9;1;9.20000e-01;9.20000e-01;9.20000e-01;7.43615e-01;4.92796e-02;7.33750e-01;Pipeline { map_noise(attribute=avg_X, percentage=0.25) | filter(avg_X > 12700.0000) };2.26479e-01;1.00000e+00;7.13554e-01;Pipeline { map_duplicate(probability=1.00) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 8150000000.0000) };4.53789e-01;6.18597e-01;8.16820e-01;Pipeline { map_noise(attribute=avg_X, percentage=0.01) };2.83470e-01;9.72459e-01;7.87686e-01;Pipeline { map_duplicate(probability=0.60) };2.83470e-01;9.72459e-01;7.87686e-01;Pipeline { map_duplicate(probability=0.60) }
datasets/geolife_60mins.csv;nsga2;1;3;300;300;2.44940e+01;100;19;8;9.20000e-01;9.10000e-01;7.30000e-01;7.43615e-01;4.92796e-02;7.33750e-01;Pipeline { map_noise(attribute=avg_X, percentage=0.25) | filter(avg_X > 12700.0000) };2.26479e-01;1.00000e+00;7.13554e-01;Pipeline { map_duplicate(probability=1.00) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 8150000.0000) };6.87470e-01;1.00000e+00;8.14393e-01;Pipeline { filter(avg_X > 0.0730) | filter(avg_Y > 0.5080) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.9000) };3.22928e-01;9.71123e-01;8.28436e-01;Pipeline { map_duplicate(probability=0.40) }
datasets/geolife_60mins.csv;nsga2;1;4;400;400;2.87820e+01;100;43;5;9.90000e-01;9.80000e-01;3.80000e-01;7.43615e-01;4.92796e-02;7.33750e-01;Pipeline { map_noise(attribute=avg_X, percentage=0.25) | filter(avg_X > 12700.0000) };4.14127e-01;1.00000e+00;8.28086e-01;Pipeline { filter(avg_Y > 558.0000) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 8150000000.0000) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0049) };6.87470e-01;1.00000e+00;8.14393e-01;Pipeline { filter(avg_X > 0.0735) | filter(avg_Y > 4.9500) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0001) }
datasets/geolife_60mins.csv;nsga2;1;5;500;500;3.17850e+01;100;72;2;1.00000e+00;9.90000e-01;2.70000e-01;7.93398e-01;1.00000e+00;8.60966e-01;Pipeline { filter(avg_Y < 166000.0000) | filter(avg_X > 0.0080) };7.28673e-01;1.00000e+00;8.82071e-01;Pipeline { filter(avg_X > 74700.0000) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 8970000000.0000) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0001) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0004) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0010) }
datasets/geolife_60mins.csv;nsga2;1;6;600;600;3.46000e+01;100;100;100;1.00000e+00;9.90000e-01;3.00000e-02;7.93398e-01;1.00000e+00;8.60966e-01;Pipeline { filter(avg_Y < 166000.0000) | filter(avg_X > 0.0080) };7.93398e-01;1.00000e+00;8.60966e-01;Pipeline { filter(avg_Y < 166000.0000) | filter(avg_X > 0.0080) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 4770000.0000) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0735) | filter(avg_X > 0.0080) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0010) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0006) }
datasets/geolife_60mins.csv;nsga2;1;7;700;700;3.80920e+01;100;100;100;1.00000e+00;1.00000e+00;3.00000e-02;7.93398e-01;1.00000e+00;8.60966e-01;Pipeline { filter(avg_Y < 166000.0000) | filter(avg_X > 0.0080) };7.93398e-01;1.00000e+00;8.60966e-01;Pipeline { filter(avg_Y < 166000.0000) | filter(avg_X > 0.0080) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 4770000.0000) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0001) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 9.2300) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0001) }
datasets/geolife_60mins.csv;nsga2;1;8;800;800;4.09370e+01;100;100;100;1.00000e+00;1.00000e+00;4.00000e-02;7.93398e-01;1.00000e+00;8.60966e-01;Pipeline { filter(avg_Y < 166000.0000) | filter(avg_X > 0.0080) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0019) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 4340000000.0000) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0000) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0635) | filter(avg_X > 0.0000) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0003) }
datasets/geolife_60mins.csv;nsga2;1;9;900;900;4.37710e+01;100;100;100;1.00000e+00;9.70000e-01;4.00000e-02;7.93505e-01;1.00000e+00;8.61131e-01;Pipeline { filter(avg_Y < 168000.0000) | filter(avg_X > 0.0080) };4.54588e-01;1.00000e+00;9.97706e-01;Pipeline { filter(avg_Y < 2610000.0000) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 4340000000.0000) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 840.0000) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 1.2500) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 4.5800) }
datasets/geolife_60mins.csv;nsga2;1;10;1000;1000;4.71110e+01;100;100;100;1.00000e+00;9.80000e-01;4.00000e-02;7.93505e-01;1.00000e+00;8.61131e-01;Pipeline { filter(avg_Y < 168000.0000) | filter(avg_X > 0.0080) };4.54588e-01;1.00000e+00;9.97706e-01;Pipeline { filter(avg_Y < 2610000.0000) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 4340000000.0000) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0003) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0150) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.8500) }
