problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→results-similarity";"all→percentile[quality→privacy;100]→quality→performance-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→results-similarity;100]→quality→privacy";"all→percentile[quality→results-similarity;100]→quality→results-similarity";"all→percentile[quality→results-similarity;100]→quality→performance-similarity";"all→percentile[quality→results-similarity;100]→solution";"all→percentile[quality→performance-similarity;100]→quality→privacy";"all→percentile[quality→performance-similarity;100]→quality→results-similarity";"all→percentile[quality→performance-similarity;100]→quality→performance-similarity";"all→percentile[quality→performance-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→results-similarity";"all→percentile[quality→privacy;75]→quality→performance-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→results-similarity;75]→quality→privacy";"all→percentile[quality→results-similarity;75]→quality→results-similarity";"all→percentile[quality→results-similarity;75]→quality→performance-similarity";"all→percentile[quality→results-similarity;75]→solution";"all→percentile[quality→performance-similarity;75]→quality→privacy";"all→percentile[quality→performance-similarity;75]→quality→results-similarity";"all→percentile[quality→performance-similarity;75]→quality→performance-similarity";"all→percentile[quality→performance-similarity;75]→solution"
datasets/geolife_60mins.csv;nsga2;1;1;100;100;5.90100e+00;100;4;34;9.60000e-01;9.60000e-01;6.70000e-01;8.20723e-01;6.34417e-03;7.49488e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_X, percentage=0.25) | map_aggregate(attribute=avg_Y, function=max, window=6) | filter(avg_X > 0.0000) | map_noise(attribute=avg_Y, percentage=0.10) };6.49494e-01;1.00000e+00;8.99166e-01;Pipeline { filter(avg_Y < 165000.0000) };6.49494e-01;1.00000e+00;8.99166e-01;Pipeline { filter(avg_Y < 165000.0000) };3.77825e-01;9.80263e-01;8.82215e-01;Pipeline { map_duplicate(probability=0.20) };4.51288e-01;1.33976e-01;7.67316e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.25) };3.05039e-01;5.04475e-02;6.84709e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.10) | map_duplicate(probability=0.50) | map_aggregate(attribute=avg_Y, function=max, window=3) | map_aggregate(attribute=avg_Y, function=max, window=10) | map_aggregate(attribute=avg_Y, function=avg, window=9) | map_noise(attribute=avg_Y, percentage=0.25) | map_aggregate(attribute=avg_X, function=avg, window=3) | map_aggregate(attribute=avg_X, function=min, window=6) | filter(avg_Y > 9.7600) }
datasets/geolife_60mins.csv;nsga2;1;2;200;200;1.21300e+01;100;6;3;9.60000e-01;9.60000e-01;9.90000e-01;8.20723e-01;6.34417e-03;7.49488e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_X, percentage=0.25) | map_aggregate(attribute=avg_Y, function=max, window=6) | filter(avg_X > 0.0000) | map_noise(attribute=avg_Y, percentage=0.10) };2.26479e-01;1.00000e+00;7.13554e-01;Pipeline { map_duplicate(probability=1.00) };6.49494e-01;1.00000e+00;8.99166e-01;Pipeline { filter(avg_Y < 165000.0000) };5.05310e-01;4.26005e-01;7.81865e-01;Pipeline { map_aggregate(attribute=avg_Y, function=min, window=5) };3.89596e-01;5.58127e-01;4.29124e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.01) | filter(avg_Y < 3460000.0000) | map_duplicate(probability=0.90) | map_duplicate(probability=0.10) | filter(avg_X > 0.0003) | map_aggregate(attribute=avg_Y, function=avg, window=4) | map_duplicate(probability=0.30) | map_aggregate(attribute=avg_Y, function=avg, window=6) | filter(avg_Y > 39600.0000) };4.51288e-01;1.33976e-01;7.67316e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.25) }
datasets/geolife_60mins.csv;nsga2;1;3;300;300;1.81170e+01;100;11;7;9.70000e-01;9.70000e-01;9.60000e-01;8.21515e-01;6.70904e-03;7.49548e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_X, percentage=0.25) | map_aggregate(attribute=avg_Y, function=max, window=6) | filter(avg_X > 0.0400) | map_noise(attribute=avg_Y, percentage=0.10) };2.26479e-01;1.00000e+00;7.13554e-01;Pipeline { map_duplicate(probability=1.00) };6.66627e-01;1.00000e+00;9.51434e-01;Pipeline { filter(avg_Y < 765000.0000) };6.89086e-01;2.03849e-01;7.03497e-01;Pipeline { filter(avg_X > 84.4000) | map_noise(attribute=avg_X, percentage=0.05) | filter(avg_Y > 0.6510) | filter(avg_X > 5.6500) };2.82671e-01;9.70827e-01;7.85817e-01;Pipeline { map_duplicate(probability=0.60) };5.00600e-01;5.67039e-01;7.89927e-01;Pipeline { map_aggregate(attribute=avg_X, function=avg, window=4) }
datasets/geolife_60mins.csv;nsga2;1;4;400;400;2.24790e+01;100;25;13;9.80000e-01;9.80000e-01;8.60000e-01;8.26899e-01;4.90797e-01;6.62276e-01;Pipeline { map_duplicate(probability=0.30) | map_noise(attribute=avg_Y, percentage=0.05) | filter(avg_X > 0.5210) | map_aggregate(attribute=avg_Y, function=avg, window=5) | filter(avg_Y > 0.0000) };2.26479e-01;1.00000e+00;7.13554e-01;Pipeline { map_duplicate(probability=1.00) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 99900000.0000) };7.62898e-01;8.67076e-02;7.57689e-01;Pipeline { map_aggregate(attribute=avg_X, function=max, window=8) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_X, percentage=0.10) | map_noise(attribute=avg_X, percentage=0.01) | filter(avg_X > 0.0000) };3.76514e-01;9.80669e-01;8.80712e-01;Pipeline { map_duplicate(probability=0.20) };4.52957e-01;6.75647e-01;8.33522e-01;Pipeline { map_aggregate(attribute=avg_Y, function=max, window=3) }
datasets/geolife_60mins.csv;nsga2;1;5;500;500;2.73210e+01;100;47;10;9.80000e-01;9.80000e-01;6.90000e-01;8.77870e-01;5.00969e-01;5.88388e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=10) | map_duplicate(probability=0.40) | filter(avg_X > 0.0000) | map_aggregate(attribute=avg_Y, function=avg, window=5) | filter(avg_Y > 95100.0000) };7.26669e-01;1.00000e+00;8.78102e-01;Pipeline { filter(avg_X > 128000.0000) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 83800000.0000) };8.16611e-01;7.05281e-03;7.49372e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_X, percentage=0.25) | map_aggregate(attribute=avg_Y, function=max, window=6) | filter(avg_X > 0.0000) | map_noise(attribute=avg_Y, percentage=0.10) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0000) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.2370) }
datasets/geolife_60mins.csv;nsga2;1;6;600;600;3.13560e+01;100;80;20;1.00000e+00;1.00000e+00;3.80000e-01;8.78758e-01;5.02390e-01;6.33265e-01;Pipeline { map_duplicate(probability=0.30) | map_aggregate(attribute=avg_Y, function=avg, window=7) | filter(avg_X > 0.0200) | map_aggregate(attribute=avg_Y, function=avg, window=6) | filter(avg_Y > 0.0000) };7.31078e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 6850.0000) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 99900000.0000) };7.71410e-01;4.64467e-02;7.47434e-01;Pipeline { map_aggregate(attribute=avg_Y, function=avg, window=7) | map_aggregate(attribute=avg_X, function=max, window=5) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_X, percentage=0.25) | map_aggregate(attribute=avg_X, function=avg, window=7) | filter(avg_X > 0.0000) | map_noise(attribute=avg_Y, percentage=0.01) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0000) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0004) }
datasets/geolife_60mins.csv;nsga2;1;7;700;700;3.47950e+01;100;100;100;1.00000e+00;1.00000e+00;2.40000e-01;8.78758e-01;5.02390e-01;6.33265e-01;Pipeline { map_duplicate(probability=0.30) | map_aggregate(attribute=avg_Y, function=avg, window=7) | filter(avg_X > 0.0200) | map_aggregate(attribute=avg_Y, function=avg, window=6) | filter(avg_Y > 0.0000) };6.73088e-01;1.00000e+00;9.84327e-01;Pipeline { filter(avg_Y < 1430000.0000) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 99900000.0000) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0000) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0010) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0010) }
datasets/geolife_60mins.csv;nsga2;1;8;800;800;3.77320e+01;100;100;100;1.00000e+00;1.00000e+00;2.40000e-01;8.78758e-01;5.02390e-01;6.33265e-01;Pipeline { map_duplicate(probability=0.30) | map_aggregate(attribute=avg_Y, function=avg, window=7) | filter(avg_X > 0.0200) | map_aggregate(attribute=avg_Y, function=avg, window=6) | filter(avg_Y > 0.0000) };6.73088e-01;1.00000e+00;9.84327e-01;Pipeline { filter(avg_Y < 1430000.0000) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 99900000.0000) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0008) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0001) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0001) }
datasets/geolife_60mins.csv;nsga2;1;9;900;900;4.12450e+01;100;100;100;1.00000e+00;9.90000e-01;2.50000e-01;8.78758e-01;5.02390e-01;6.33265e-01;Pipeline { map_duplicate(probability=0.30) | map_aggregate(attribute=avg_Y, function=avg, window=7) | filter(avg_X > 0.0200) | map_aggregate(attribute=avg_Y, function=avg, window=6) | filter(avg_Y > 0.0000) };6.73088e-01;1.00000e+00;9.84327e-01;Pipeline { filter(avg_Y < 1430000.0000) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 99900000.0000) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0000) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0001) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0001) }
datasets/geolife_60mins.csv;nsga2;1;10;1000;1000;4.43600e+01;100;100;100;1.00000e+00;9.90000e-01;2.50000e-01;8.78758e-01;5.02390e-01;6.33265e-01;Pipeline { map_duplicate(probability=0.30) | map_aggregate(attribute=avg_Y, function=avg, window=7) | filter(avg_X > 0.0200) | map_aggregate(attribute=avg_Y, function=avg, window=6) | filter(avg_Y > 0.0000) };6.73088e-01;1.00000e+00;9.84327e-01;Pipeline { filter(avg_Y < 1430000.0000) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 99900000.0000) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 4.2000) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0838) };7.31092e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0838) }
