problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→results-similarity";"all→percentile[quality→privacy;100]→quality→performance-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→results-similarity;100]→quality→privacy";"all→percentile[quality→results-similarity;100]→quality→results-similarity";"all→percentile[quality→results-similarity;100]→quality→performance-similarity";"all→percentile[quality→results-similarity;100]→solution";"all→percentile[quality→performance-similarity;100]→quality→privacy";"all→percentile[quality→performance-similarity;100]→quality→results-similarity";"all→percentile[quality→performance-similarity;100]→quality→performance-similarity";"all→percentile[quality→performance-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→results-similarity";"all→percentile[quality→privacy;75]→quality→performance-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→results-similarity;75]→quality→privacy";"all→percentile[quality→results-similarity;75]→quality→results-similarity";"all→percentile[quality→results-similarity;75]→quality→performance-similarity";"all→percentile[quality→results-similarity;75]→solution";"all→percentile[quality→performance-similarity;75]→quality→privacy";"all→percentile[quality→performance-similarity;75]→quality→results-similarity";"all→percentile[quality→performance-similarity;75]→quality→performance-similarity";"all→percentile[quality→performance-similarity;75]→solution"
datasets/geolife_60mins.csv;nsga2;1;1;100;100;4.20500e+00;100;8;67;1.00000e+00;1.00000e+00;1.50000e-01;7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0000) };4.14159e-01;1.00000e+00;7.26589e-01;Pipeline { filter(avg_Y > 66.9000) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 3410000.0000) };2.02007e-02;0.00000e+00;2.70142e-02;Pipeline { filter(avg_X < 0.0108) | filter(avg_X < 0.0010) };0.00000e+00;0.00000e+00;0.00000e+00;Pipeline { filter(avg_Y > 9480000.0000) | filter(avg_Y > 39.4000) | filter(avg_X < 5870.0000) };2.02007e-02;0.00000e+00;2.70142e-02;Pipeline { filter(avg_X < 0.0108) | filter(avg_X < 0.0010) }
datasets/geolife_60mins.csv;nsga2;1;2;200;200;6.42000e+00;100;19;11;1.00000e+00;1.00000e+00;2.30000e-01;7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 1220.0000) | filter(avg_X > 0.0006) | filter(avg_X > 2.4800) };4.13922e-01;1.00000e+00;7.26021e-01;Pipeline { filter(avg_Y > 6.5800) | filter(avg_Y > 6830.0000) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 24500000.0000) };6.87470e-01;1.00000e+00;7.04727e-01;Pipeline { filter(avg_Y > 0.0037) | filter(avg_X > 0.5490) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 17.6000) };4.14168e-01;1.00000e+00;7.26608e-01;Pipeline { filter(avg_Y > 0.3200) }
datasets/geolife_60mins.csv;nsga2;1;3;300;300;9.06100e+00;100;41;1;1.00000e+00;9.90000e-01;1.70000e-01;7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 17.6000) };4.13873e-01;1.00000e+00;7.25776e-01;Pipeline { filter(avg_Y > 9800.0000) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 23500000.0000) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0460) };4.14168e-01;1.00000e+00;7.26608e-01;Pipeline { filter(avg_Y > 0.2000) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0000) }
datasets/geolife_60mins.csv;nsga2;1;4;400;400;1.19750e+01;100;77;11;1.00000e+00;1.00000e+00;1.10000e-01;8.08523e-01;1.00000e+00;8.13756e-01;Pipeline { filter(avg_Y < 830000.0000) | filter(avg_X > 3.1800) | filter(avg_X > 9.5100) };4.14168e-01;1.00000e+00;7.26608e-01;Pipeline { filter(avg_Y > 0.8000) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 3410000.0000) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0460) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.1160) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 3.4000) }
datasets/geolife_60mins.csv;nsga2;1;5;500;500;1.48160e+01;100;100;100;1.00000e+00;1.00000e+00;4.00000e-02;8.08523e-01;1.00000e+00;8.13756e-01;Pipeline { filter(avg_Y < 830000.0000) | filter(avg_X > 3.1800) | filter(avg_X > 9.5100) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 67.6000) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 14500000.0000) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 2.4000) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0000) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 23000000.0000) }
datasets/geolife_60mins.csv;nsga2;1;6;600;600;1.74060e+01;100;100;100;1.00000e+00;9.90000e-01;5.00000e-02;8.09858e-01;1.00000e+00;8.14703e-01;Pipeline { filter(avg_Y < 850000.0000) | filter(avg_X > 3.1800) | filter(avg_X > 9.5100) };7.31646e-01;1.00000e+00;8.17731e-01;Pipeline { filter(avg_Y < 223000000.0000) | filter(avg_X > 3.1800) | filter(avg_X < 3140000.0000) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 763000000.0000) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 3.4000) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 108.0000) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 63900000.0000) }
datasets/geolife_60mins.csv;nsga2;1;7;700;700;2.00800e+01;100;100;100;1.00000e+00;9.90000e-01;6.00000e-02;8.09858e-01;1.00000e+00;8.14703e-01;Pipeline { filter(avg_Y < 850000.0000) | filter(avg_X > 3.1800) | filter(avg_X > 9.5100) };6.73100e-01;1.00000e+00;9.75087e-01;Pipeline { filter(avg_Y < 1800000.0000) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 21200000.0000) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 108.0000) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 7690000.0000) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 825000000.0000) }
datasets/geolife_60mins.csv;nsga2;1;8;800;800;2.26350e+01;100;100;100;1.00000e+00;9.90000e-01;6.00000e-02;8.09858e-01;1.00000e+00;8.14703e-01;Pipeline { filter(avg_Y < 850000.0000) | filter(avg_X > 3.1800) | filter(avg_X > 9.5100) };7.31646e-01;1.00000e+00;8.17731e-01;Pipeline { filter(avg_Y < 223000000.0000) | filter(avg_X > 3.1800) | filter(avg_X < 3140000.0000) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 21200000.0000) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 6.0800) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 108.0000) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.3750) }
datasets/geolife_60mins.csv;nsga2;1;9;900;900;2.53120e+01;100;100;100;1.00000e+00;9.90000e-01;6.00000e-02;8.09858e-01;1.00000e+00;8.14703e-01;Pipeline { filter(avg_Y < 850000.0000) | filter(avg_X > 3.1800) | filter(avg_X > 9.5100) };6.73100e-01;1.00000e+00;9.75087e-01;Pipeline { filter(avg_Y < 1800000.0000) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 21200000.0000) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 763.0000) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 66.6000) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 6.2300) }
datasets/geolife_60mins.csv;nsga2;1;10;1000;1000;2.78980e+01;100;100;100;1.00000e+00;9.90000e-01;6.00000e-02;8.09858e-01;1.00000e+00;8.14703e-01;Pipeline { filter(avg_Y < 850000.0000) | filter(avg_X > 3.1800) | filter(avg_X > 9.5100) };7.31646e-01;1.00000e+00;8.17731e-01;Pipeline { filter(avg_X < 2950000.0000) | filter(avg_X > 3.1800) | filter(avg_X > 7.5100) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 21200000.0000) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0000) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0021) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 5.2600) }
datasets/geolife_60mins.csv;nsga2;1;11;1100;1100;3.05540e+01;100;100;100;1.00000e+00;1.00000e+00;6.00000e-02;8.09858e-01;1.00000e+00;8.14703e-01;Pipeline { filter(avg_Y < 850000.0000) | filter(avg_X > 3.1800) | filter(avg_X > 9.5100) };6.73100e-01;1.00000e+00;9.75087e-01;Pipeline { filter(avg_Y < 1800000.0000) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 21200000.0000) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0006) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0001) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.6140) }
datasets/geolife_60mins.csv;nsga2;1;12;1200;1200;3.32260e+01;100;100;100;1.00000e+00;9.90000e-01;6.00000e-02;8.10242e-01;1.00000e+00;8.15240e-01;Pipeline { filter(avg_X > 0.0000) | filter(avg_X > 4300.0000) | filter(avg_Y < 869000.0000) };7.31646e-01;1.00000e+00;8.17731e-01;Pipeline { filter(avg_Y < 223000000.0000) | filter(avg_X > 3.1800) | filter(avg_X < 3140000.0000) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 21200000.0000) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0000) | filter(avg_X > 4300.0000) | filter(avg_X > 2.4600) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 5.3800) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 38.0000) }
datasets/geolife_60mins.csv;nsga2;1;13;1300;1300;3.59760e+01;100;100;100;1.00000e+00;1.00000e+00;6.00000e-02;8.10242e-01;1.00000e+00;8.15240e-01;Pipeline { filter(avg_X > 0.0000) | filter(avg_X > 4300.0000) | filter(avg_Y < 869000.0000) };6.73100e-01;1.00000e+00;9.75087e-01;Pipeline { filter(avg_Y < 1800000.0000) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 21200000.0000) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 75.5000) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 472.0000) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0007) }
datasets/geolife_60mins.csv;nsga2;1;14;1400;1400;3.86870e+01;100;100;100;1.00000e+00;9.70000e-01;6.00000e-02;8.10242e-01;1.00000e+00;8.15240e-01;Pipeline { filter(avg_X > 0.0000) | filter(avg_X > 4300.0000) | filter(avg_Y < 869000.0000) };7.31646e-01;1.00000e+00;8.17731e-01;Pipeline { filter(avg_X < 2950000.0000) | filter(avg_X > 3.1800) | filter(avg_X > 7.5100) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 21200000.0000) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0007) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0005) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0000) | filter(avg_X > 0.0000) | filter(avg_X > 2.0600) }
datasets/geolife_60mins.csv;nsga2;1;15;1500;1500;4.14790e+01;100;100;100;1.00000e+00;1.00000e+00;6.00000e-02;8.10242e-01;1.00000e+00;8.15240e-01;Pipeline { filter(avg_X > 0.0000) | filter(avg_X > 4300.0000) | filter(avg_Y < 869000.0000) };6.73100e-01;1.00000e+00;9.75087e-01;Pipeline { filter(avg_Y < 1800000.0000) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 21200000.0000) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0000) | filter(avg_X > 0.0003) | filter(avg_X > 0.0000) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0000) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0005) }
datasets/geolife_60mins.csv;nsga2;1;16;1600;1600;4.40340e+01;100;100;100;1.00000e+00;9.90000e-01;6.00000e-02;8.10242e-01;1.00000e+00;8.15240e-01;Pipeline { filter(avg_X > 0.0000) | filter(avg_X > 4300.0000) | filter(avg_Y < 869000.0000) };7.31646e-01;1.00000e+00;8.17731e-01;Pipeline { filter(avg_Y < 223000000.0000) | filter(avg_X > 3.1800) | filter(avg_X < 3140000.0000) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 21200000.0000) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0000) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0069) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0000) }
datasets/geolife_60mins.csv;nsga2;1;17;1700;1700;4.66720e+01;100;100;100;1.00000e+00;9.80000e-01;7.00000e-02;8.21849e-01;9.99598e-01;6.95525e-01;Pipeline { filter(avg_X < 376000.0000) | filter(avg_X < 38800000.0000) | filter(avg_X > 2.1800) };7.31646e-01;1.00000e+00;8.17731e-01;Pipeline { filter(avg_Y < 223000000.0000) | filter(avg_X > 3.1800) | filter(avg_X < 3140000.0000) };4.52957e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 21200000.0000) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0000) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 1.9500) };7.31092e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0000) }
