problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→results-similarity";"all→percentile[quality→privacy;100]→quality→performance-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→results-similarity;100]→quality→privacy";"all→percentile[quality→results-similarity;100]→quality→results-similarity";"all→percentile[quality→results-similarity;100]→quality→performance-similarity";"all→percentile[quality→results-similarity;100]→solution";"all→percentile[quality→performance-similarity;100]→quality→privacy";"all→percentile[quality→performance-similarity;100]→quality→results-similarity";"all→percentile[quality→performance-similarity;100]→quality→performance-similarity";"all→percentile[quality→performance-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→results-similarity";"all→percentile[quality→privacy;75]→quality→performance-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→results-similarity;75]→quality→privacy";"all→percentile[quality→results-similarity;75]→quality→results-similarity";"all→percentile[quality→results-similarity;75]→quality→performance-similarity";"all→percentile[quality→results-similarity;75]→solution";"all→percentile[quality→performance-similarity;75]→quality→privacy";"all→percentile[quality→performance-similarity;75]→quality→results-similarity";"all→percentile[quality→performance-similarity;75]→quality→performance-similarity";"all→percentile[quality→performance-similarity;75]→solution"
datasets/geolife_60mins.csv;nsga2;1;1;100;100;8.48200e+00;100;6;37;9.20000e-01;9.20000e-01;6.10000e-01;9.29526e-01;4.64243e-02;7.33673e-01;Pipeline { map_noise(attribute=avg_X, percentage=0.25) | filter(avg_X > 12700.0000) };4.59304e-01;1.00000e+00;7.13554e-01;Pipeline { map_duplicate(probability=1.00) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 8150000000.0000) };5.54829e-01;2.51077e-01;6.25027e-01;Pipeline { map_duplicate(probability=0.90) | filter(avg_Y > 0.0073) | map_noise(attribute=avg_X, percentage=0.01) | map_noise(attribute=avg_X, percentage=0.05) };9.21060e-01;4.52978e-01;7.92938e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.05) };8.47511e-01;1.12854e-01;7.17766e-01;Pipeline { map_noise(attribute=avg_X, percentage=0.10) | map_duplicate(probability=0.20) | filter(avg_X > 0.0041) }
datasets/geolife_60mins.csv;nsga2;1;2;200;200;1.33870e+01;100;14;1;9.20000e-01;9.20000e-01;8.90000e-01;9.29712e-01;4.21161e-02;7.33300e-01;Pipeline { map_noise(attribute=avg_X, percentage=0.25) | filter(avg_X > 0.0001) };4.59304e-01;1.00000e+00;7.13554e-01;Pipeline { map_duplicate(probability=1.00) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 8150000000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 8150000000.0000) };7.07964e-01;9.74740e-01;8.55131e-01;Pipeline { map_duplicate(probability=0.30) };9.22551e-01;4.55474e-01;7.93487e-01;Pipeline { filter(avg_Y < 7370000.0000) | map_noise(attribute=avg_Y, percentage=0.05) }
datasets/geolife_60mins.csv;nsga2;1;3;300;300;1.81310e+01;100;31;2;9.30000e-01;9.20000e-01;6.30000e-01;9.29895e-01;8.19542e-02;7.61208e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.05) | filter(avg_X < 85100000.0000) | map_noise(attribute=avg_X, percentage=0.05) };4.59304e-01;1.00000e+00;7.13554e-01;Pipeline { map_duplicate(probability=1.00) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 2150000000.0000) };9.26629e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 8.9000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 8150000.0000) };9.26629e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 8.9000) }
datasets/geolife_60mins.csv;nsga2;1;4;400;400;2.17880e+01;100;60;40;1.00000e+00;9.90000e-01;2.60000e-01;9.29895e-01;8.19542e-02;7.61208e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.05) | filter(avg_X < 85100000.0000) | map_noise(attribute=avg_X, percentage=0.05) };8.85581e-01;1.00000e+00;8.14393e-01;Pipeline { filter(avg_X > 0.0735) | filter(avg_Y > 8.0400) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 7150000000.0000) };9.26629e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 8.9700) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 2120000000.0000) };9.26629e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.9540) }
datasets/geolife_60mins.csv;nsga2;1;5;500;500;2.48200e+01;100;100;100;1.00000e+00;9.80000e-01;6.00000e-02;9.29895e-01;8.19542e-02;7.61208e-01;Pipeline { map_noise(attribute=avg_Y, percentage=0.05) | filter(avg_X < 85100000.0000) | map_noise(attribute=avg_X, percentage=0.05) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 8250000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 8250000.0000) };9.26629e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0010) };9.26629e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 8.9700) };9.26629e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0924) }
datasets/geolife_60mins.csv;nsga2;1;6;600;600;2.74810e+01;100;17;83;1.00000e+00;1.00000e+00;7.00000e-02;9.33631e-01;1.00000e+00;9.20224e-01;Pipeline { filter(avg_Y < 350000.0000) };9.26629e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0001) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 3120000000.0000) };9.26629e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0457) };9.26629e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 90.0000) };9.26629e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0004) }
datasets/geolife_60mins.csv;nsga2;1;7;700;700;3.05640e+01;100;36;64;1.00000e+00;1.00000e+00;9.00000e-02;9.34563e-01;1.00000e+00;9.13972e-01;Pipeline { filter(avg_Y < 310000.0000) };9.26629e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0001) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 2150000000.0000) };9.26629e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0000) };9.26629e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0735) | filter(avg_X > 814.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 23500000.0000) }
datasets/geolife_60mins.csv;nsga2;1;8;800;800;3.38570e+01;100;65;35;1.00000e+00;1.00000e+00;1.00000e-01;9.34563e-01;1.00000e+00;9.13972e-01;Pipeline { filter(avg_Y < 310000.0000) };9.26629e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0731) | filter(avg_X > 8.4400) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 6150000.0000) };9.26629e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0003) };9.26629e-01;1.00000e+00;8.85427e-01;Pipeline { filter(avg_X > 0.0074) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 332000000.0000) }
datasets/geolife_60mins.csv;nsga2;1;9;900;900;3.64790e+01;100;100;100;1.00000e+00;1.00000e+00;8.00000e-02;9.34563e-01;1.00000e+00;9.13972e-01;Pipeline { filter(avg_Y < 310000.0000) };9.18779e-01;1.00000e+00;9.99137e-01;Pipeline { filter(avg_X < 2120000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 6350000000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 3820000000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 7110000000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 302000000.0000) }
datasets/geolife_60mins.csv;nsga2;1;10;1000;1000;3.96270e+01;100;100;100;1.00000e+00;1.00000e+00;8.00000e-02;9.34563e-01;1.00000e+00;9.13972e-01;Pipeline { filter(avg_Y < 310000.0000) };9.18771e-01;1.00000e+00;9.99657e-01;Pipeline { filter(avg_X < 3790000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 5510000000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 7130000000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 7130000000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 43900000.0000) }
