problem.name;solver.name;randomGenerator.seed;n.iterations;n.evals;n.births;elapsed.secs;all→size;firsts→size;lasts→size;all→each[genotype]→uniqueness;all→each[solution]→uniqueness;all→each[quality]→uniqueness;"all→percentile[quality→privacy;100]→quality→privacy";"all→percentile[quality→privacy;100]→quality→results-similarity";"all→percentile[quality→privacy;100]→quality→performance-similarity";"all→percentile[quality→privacy;100]→solution";"all→percentile[quality→results-similarity;100]→quality→privacy";"all→percentile[quality→results-similarity;100]→quality→results-similarity";"all→percentile[quality→results-similarity;100]→quality→performance-similarity";"all→percentile[quality→results-similarity;100]→solution";"all→percentile[quality→performance-similarity;100]→quality→privacy";"all→percentile[quality→performance-similarity;100]→quality→results-similarity";"all→percentile[quality→performance-similarity;100]→quality→performance-similarity";"all→percentile[quality→performance-similarity;100]→solution";"all→percentile[quality→privacy;75]→quality→privacy";"all→percentile[quality→privacy;75]→quality→results-similarity";"all→percentile[quality→privacy;75]→quality→performance-similarity";"all→percentile[quality→privacy;75]→solution";"all→percentile[quality→results-similarity;75]→quality→privacy";"all→percentile[quality→results-similarity;75]→quality→results-similarity";"all→percentile[quality→results-similarity;75]→quality→performance-similarity";"all→percentile[quality→results-similarity;75]→solution";"all→percentile[quality→performance-similarity;75]→quality→privacy";"all→percentile[quality→performance-similarity;75]→quality→results-similarity";"all→percentile[quality→performance-similarity;75]→quality→performance-similarity";"all→percentile[quality→performance-similarity;75]→solution"
datasets/geolife_60mins.csv;nsga2;1;1;100;100;3.63600e+00;100;8;67;1.00000e+00;1.00000e+00;1.50000e-01;9.26629e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0000) };8.77327e-01;1.00000e+00;7.26589e-01;Pipeline { filter(avg_Y > 66.9000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 3410000.0000) };2.26840e-02;0.00000e+00;2.70142e-02;Pipeline { filter(avg_X < 0.0108) | filter(avg_X < 0.0010) };0.00000e+00;0.00000e+00;0.00000e+00;Pipeline { filter(avg_Y > 9480000.0000) | filter(avg_Y > 39.4000) | filter(avg_X < 5870.0000) };2.26840e-02;0.00000e+00;2.70142e-02;Pipeline { filter(avg_X < 0.0108) | filter(avg_X < 0.0010) }
datasets/geolife_60mins.csv;nsga2;1;2;200;200;5.91000e+00;100;19;11;1.00000e+00;1.00000e+00;2.30000e-01;9.26629e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 1220.0000) | filter(avg_X > 0.0006) | filter(avg_X > 2.4800) };8.76824e-01;1.00000e+00;7.26021e-01;Pipeline { filter(avg_Y > 6.5800) | filter(avg_Y > 6830.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 24500000.0000) };8.85581e-01;1.00000e+00;7.04727e-01;Pipeline { filter(avg_X > 0.3770) | filter(avg_Y > 0.0000) | filter(avg_X > 256.0000) };9.26629e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 17.6000) };8.77344e-01;1.00000e+00;7.26608e-01;Pipeline { filter(avg_Y > 0.3200) }
datasets/geolife_60mins.csv;nsga2;1;3;300;300;8.59200e+00;100;41;1;1.00000e+00;9.90000e-01;1.70000e-01;9.26629e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 17.6000) };8.76720e-01;1.00000e+00;7.25776e-01;Pipeline { filter(avg_Y > 9800.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 23500000.0000) };9.26629e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0460) };8.77344e-01;1.00000e+00;7.26608e-01;Pipeline { filter(avg_Y > 0.2000) };9.26629e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0000) }
datasets/geolife_60mins.csv;nsga2;1;4;400;400;1.15210e+01;100;76;11;1.00000e+00;1.00000e+00;1.20000e-01;9.26629e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0001) };8.77344e-01;1.00000e+00;7.26608e-01;Pipeline { filter(avg_Y > 0.8000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 3410000.0000) };9.26629e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_Y < 8300000000.0000) | filter(avg_X > 3.1800) | filter(avg_X > 9.5600) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 3410000.0000) };9.26629e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 3.4000) }
datasets/geolife_60mins.csv;nsga2;1;5;500;500;1.44260e+01;100;100;100;1.00000e+00;9.90000e-01;3.00000e-02;9.26629e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0089) };9.18779e-01;1.00000e+00;9.98627e-01;Pipeline { filter(avg_X < 2350000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 14500000.0000) };9.26629e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 17.6000) };9.26629e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0000) };9.18779e-01;1.00000e+00;9.98627e-01;Pipeline { filter(avg_X < 2350000.0000) }
datasets/geolife_60mins.csv;nsga2;1;6;600;600;1.72200e+01;100;42;58;1.00000e+00;9.90000e-01;5.00000e-02;9.34574e-01;1.00000e+00;8.55417e-01;Pipeline { filter(avg_Y < 239000.0000) };9.26629e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0000) | filter(avg_X > 0.0006) | filter(avg_X > 0.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 763000000.0000) };9.26629e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0000) | filter(avg_X > 0.0084) };9.26629e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0001) | filter(avg_Y < 46400000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 27900000.0000) }
datasets/geolife_60mins.csv;nsga2;1;7;700;700;1.96940e+01;100;68;30;1.00000e+00;1.00000e+00;1.00000e-01;9.34574e-01;1.00000e+00;8.55417e-01;Pipeline { filter(avg_Y < 239000.0000) };9.26629e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 24500000.0000) };9.26629e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0000) | filter(avg_X > 0.0067) };9.26629e-01;1.00000e+00;8.17732e-01;Pipeline { filter(avg_X > 0.0520) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 502000000.0000) }
datasets/geolife_60mins.csv;nsga2;1;8;800;800;2.23520e+01;100;100;100;1.00000e+00;1.00000e+00;9.00000e-02;9.36422e-01;1.00000e+00;8.83404e-01;Pipeline { filter(avg_Y < 395000.0000) };9.18771e-01;1.00000e+00;9.99454e-01;Pipeline { filter(avg_X < 3410000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 22500000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 21300000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 21300000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 7460000000.0000) }
datasets/geolife_60mins.csv;nsga2;1;9;900;900;2.49080e+01;100;100;100;1.00000e+00;1.00000e+00;1.10000e-01;9.36422e-01;1.00000e+00;8.83404e-01;Pipeline { filter(avg_Y < 395000.0000) };9.19829e-01;1.00000e+00;9.75087e-01;Pipeline { filter(avg_Y < 1670000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 92300000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 8720000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 8720000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 382000000.0000) }
datasets/geolife_60mins.csv;nsga2;1;10;1000;1000;2.74870e+01;100;100;100;1.00000e+00;1.00000e+00;1.10000e-01;9.36422e-01;1.00000e+00;8.83404e-01;Pipeline { filter(avg_Y < 395000.0000) };9.18771e-01;1.00000e+00;9.99454e-01;Pipeline { filter(avg_X < 4100000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_X < 33700000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 4100000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 4100000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 96400000.0000) }
datasets/geolife_60mins.csv;nsga2;1;11;1100;1100;2.97630e+01;100;100;100;1.00000e+00;9.90000e-01;1.20000e-01;9.36422e-01;1.00000e+00;8.83404e-01;Pipeline { filter(avg_Y < 395000.0000) };9.19829e-01;1.00000e+00;9.75087e-01;Pipeline { filter(avg_Y < 1670000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 239000000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 22500000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 22500000.0000) };9.18608e-01;1.00000e+00;1.00000e+00;Pipeline { filter(avg_Y < 972000000.0000) }
